FEAR DEAR
KNOW SO
GLAD SAD
DIE LIE
ANON ALONE
MINE THINE
COMPILE STYLE
TRUE VIEW
MONUMENTS CONTENTS
RIDE TIED
VIEW NEW
THEE ME
SHOW OWE
SOUNDS CONFOUNDS
KNIFE LIFE
SHINE MINE
WILL STILL
SWEAR BEAR
AWAY STAY
DEVISED SYMPATHIZED
PAST WASTE
FRAME SAME
KEEN UNSEEN
FLATTER MATTER
SIN BEGIN
ENDURED ASSURED
SHAKEN TAKEN
BLOT NOT
DIE DIGNITY
NAME SHAME
GRACE PLACE
YOU GREW
HERD BEARD
AMEN PEN
BELL DWELL
ABOVE LOVE
REPAY DAY
BROW NOW
WRITE QUITE
LOVING REPROVING
MINE DEFINE
DATE EXPIATE
WRONGS BELONGS
PEN AGAIN
YOU TRUE
STARS BARS
OPEN BROKEN
FIND WIND
MEND COMMEND
SIGHT DELIGHT
LEASE EXCESS
DEEDS BREEDS
DESERT IMPART
DAYS DECAYS
TIRED EXPIRED
HITS FITS
POVERTY INJURY
SIDE PRIDE
SLOW WOE
CREATED DEFEATED
YEAR APPEAR
RECITE QUITE
DEFACE PLACE
FEEL STEEL
PRIDE BESIDE
MAKE TAKE
DEPARTEST CONVERTEST
HANG SANG
USE ABUSE
SUN DUN
ON GONE
FIXED INTERMIXED
MAKE SAKE
WRONG YOUNG
NEAR THERE
WITHIN WIN
DAY AWAY
ACQUAINTED ATTAINTED
SPRING SING
THERE EVERYWHERE
BRIGHT LIGHT
TREASURE PLEASURE
KNIT WIT
DEBATE HATE
MADE SHADE
SUPPOSE THOSE
WOMB TOMB
SENSE DISPENSE
BE SEE
GAIN PAIN
UP CUP
ON GROAN
THEE BE
THINE MINE
REMEMBERED TENDERED
KNOWS FOES
EAST WEST
WIT SIT
AWAY PLAY
MISTAKING MAKING
BETTER GREATER
DESPISING ARISING
FIRE DESIRE
STATE RUMINATE
ME FREE
SWEARING BEARING
INCREASE DECEASE
OLD BEHOLD
ERRED TRANSFERRED
TAKE MAKE
KING SPRING
STILL QUILL
FILL KILL
FORCE HORSE
ACCIDENTS INTENTS
LIVE ACHIEVE
LEASE DECEASE
MIND KIND
THOUGHT NOUGHT
MAKE FORSAKE
ANOTHER MOTHER
HER HER
HATE RUINATE
CAR ARE
THRUST TRUST
HEARTS PARTS
YOU ADIEU
ANTICIPATE STATE
DEEDS PROCEEDS
BEHOLD BOLD
COUNTERFEIT SET
BOAST MOST
STORE YORE
BEHIND KIND
THOUGHT SOUGHT
SIGHT NIGHT
PRAISE DAYS
GEMS HEMS
LOSS CROSS
NIGHT SIGHT
FOUND GROUND
END FIEND
HEART DEPART
THEE POSTERITY
EARTH DEARTH
HID FORBID
FAULT HALT
MEET SWEET
CURSE WORSE
LAWS CAUSE
HAD MAD
DISEASE PLEASE
UNJUST TRUST
WARY CHARY
ARGUMENT SPENT
SWAY DAY
THERE WHERE
ART DEPART
THIS IS
PRIDE ASIDE
COMMITS BEFITS
GRANTING WANTING
OUTWORN BORN
SAY PAY
ROOM DOOM
WIGHTS KNIGHTS
UPON MOAN
PRESS EXPRESS
ORDERING SING
GO GROW
KILL WILL
DEARER CLEARER
ELSEWHERE NEAR
SIGHT LIGHT
TEND LEND
SHORE BEFORE
LIE DENY
IT IT
SO WOE
STRIVE ALIVE
WAY STAY
TRUTH YOUTH
HERE UPREAR
TIME CRIME
CONSTANCY SEE
PAWS JAWS
MOAN GONE
DEFENCE HENCE
INFECTION CORRECTION
NIGHT DELIGHT
ONE NONE
LIGHT FIGHT
URGE PURGE
SURVEY DECAY
THOSE GROWS
SET DEBT
IMPUTE MUTE
SOUND GROUND
BROW ALLOW
PROVED LOVED
CLAY DECAY
BREAST EXPRESSED
PLEASURE TREASURE
RESEMBLE ASSEMBLE
MUD BUD
AGE PILGRIMAGE
BROW MOW
NOW BROW
ARE CARE
SADLY GLADLY
NEED EXCEED
WANTONNESS LESS
FAIR HEIR
WRITE MIGHT
TRIM HIM
FORTIFY MEMORY
RIGHT SIGHT
SAME NAME
