 0 1 2 3 4
above 0.0 2.03454915536e-304 0.0 0.00167435669038 0.0
absence 0.00194337240107 0.0 0.0 0.0 0.0
absent 0.0 0.0 0.0 0.00167435669038 0.0
account 7.39455335235e-231 0.00170039560501 0.0 0.0 0.0
accuse 0.0 0.0 0.00221078793428 0.0 0.0
achieve 0.0 0.0 0.0 0.0 0.00341576226701
acquainted 0.0 0.0 0.0 0.0 0.00341576226701
act 0.0 0.00170039560501 0.0 0.0 0.0
actor 0.0 0.00170039560501 0.0 0.0 0.0
admitted 0.00194337240107 0.0 0.0 1.11298411757e-61 0.0
advantage 0.0 0.00170039560501 0.0 0.0 0.0
after 0.0 0.0 0.00221078793428 0.0 0.0
against 0.0 0.0 0.00663236380283 0.00334871338076 0.0
age 0.0 0.0 0.0 0.00167435669038 0.0
ah 0.0 0.0 0.00442157586855 0.0 0.0
aid 0.0 0.0 0.0 0.0 0.00341576226701
air 0.0 0.00170039560501 0.0 0.0 0.0
alack 0.0 0.0 0.00221078793428 0.0 0.0
alas 0.0 0.0 0.00221078793428 0.0 0.0
alien 0.00194337240107 0.0 0.0 0.0 0.0
alike 0.0 0.00170039560501 0.0 0.0 0.0
all 0.00363990523821 0.00126672508937 0.00691156229565 0.0104743868527 0.00683152453402
allayed 0.0 0.0 0.0 0.0 0.00341576226701
alone 0.0 0.00170039560501 0.0 0.0 0.00341576226701
alteration 0.00194337240107 0.0 0.0 8.90889407032e-120 0.0
altered 0.00194337240107 0.0 0.0 0.0 0.0
alters 0.0 0.00170039560501 0.0 0.0 0.0
am 0.0101900579966 0.00298675816967 4.23492070267e-193 0.0 0.0
amends 0.0 0.0 0.0 0.0 0.00341576226701
amis 0.0 0.0 0.0 0.0 0.00341576226701
amiss 0.0 0.0 0.0 0.0 0.00341576226701
an 0.0 0.00170039560501 0.0 0.0 0.0
and 0.000828910055189 8.22982004014e-275 0.0345823104524 0.0501150713325 0.0
angel 0.0 0.0 0.0 0.00167435669038 0.0
any 0.0 0.0 0.0 0.0 0.00341576226701
appearing 0.0 0.0 0.0 0.00167435669038 0.0
appetite 0.00194337240107 0.0 0.0 0.0 0.0
applying 0.0 0.0 0.00221078793428 0.0 0.0
are 0.0 0.0 0.00673758862455 0.0133676850386 0.00330861031913
argument 0.0 0.00340079121003 0.0 0.0 0.0
arrest 0.0 0.0 0.0 0.0 0.00341576226701
art 0.00583841861822 0.00849471452293 0.0 0.0 0.00341576226701
as 0.00670292238081 0.00593739648236 0.0239878386394 0.0103956627952 0.0
aside 0.0 0.0 0.0 0.0 0.00341576226701
asleep 0.0 0.0 0.0 0.0 0.00683152453402
at 0.0 0.00680158242005 0.0 0.0 0.0
aught 0.0 0.00170039560501 0.0 0.0 0.0
away 0.0 0.0 0.0 0.0 0.00341576226701
babe 0.0 0.00170039560501 0.0 0.0 0.0
bar 0.0 0.0 0.0 0.00167435669038 0.0
bare 1.59283261485e-147 0.00170039560501 7.21708590335e-219 0.0 0.0
barren 0.0 0.00170039560501 0.0 0.0 0.0
bars 0.0 0.0 0.0 0.0 0.00341576226701
base 0.0 0.00170039560501 0.0 0.0 0.0
bases 0.00194337240107 0.0 0.0 0.0 0.0
bastard 0.0 0.0 0.0 0.00167435669038 0.0
be 0.00237896494973 0.00622939028066 0.00226436114709 0.0168976430596 0.00681823366898
bear 0.00194337240107 0.0 0.0 0.0 0.00341576226701
bearst 0.00194337240107 0.0 2.29710913359e-292 0.0 0.0
beauteous 0.00194337240107 0.0 0.0 0.00167435669038 0.0
beauties 0.00194337240107 0.0 0.0 0.0 0.0
beautiful 0.0 0.0 0.00221078793428 0.0 0.0
beauty 5.35299511612e-272 0.0153035604451 0.0 0.0 0.0
beautys 0.0 0.0 0.0 0.00167435669038 0.0
bed 0.0 0.00170039560501 0.0 0.0 0.00341576226701
been 0.0 0.00170039560501 0.0 0.0 0.00341576226701
befits 0.0 0.0 0.0 0.0 0.00341576226701
before 0.0 0.00163493081371 0.00229590269833 0.0 0.00341576226701
befriends 0.00194337240107 0.0 0.0 0.0 0.0
begins 0.0 0.0 0.0 0.00167435669038 0.0
behold 0.0 0.00170039560501 0.0 0.0 0.00683152453402
being 0.0 0.0 0.00221078793428 0.00167435669038 0.0
believe 0.0 3.59705936463e-176 0.0 0.00167435669038 0.0
beloved 0.00194337240107 0.0 0.0 0.0 0.0
bequest 0.0 0.00170039560501 0.0 0.0 0.0
beshrew 0.0 0.0 0.00221078793428 0.0 0.0
besiege 0.0 3.44459090913e-220 0.0 0.00167435669038 0.0
best 0.00194337240107 0.0 0.0 0.0 0.0
bestowst 0.0 0.0 0.0 0.0 0.00341576226701
better 0.00185177097145 0.00348093985691 0.0 0.0 0.0
betwixt 0.0 0.0 0.00221078793428 0.0 0.0
birth 0.0 0.0 0.0 0.00167435669038 0.0
black 0.0 0.00510118681504 0.0 0.0 0.0
blame 0.0 0.0 0.0 0.0 0.00341576226701
blamed 0.0 0.0 0.0 0.00167435669038 0.0
blessed 0.00194337240107 0.0 0.0 0.0 0.0
blind 0.0 0.00170039560501 0.0 0.0 0.00341576226701
blood 0.0 0.00169223876088 0.0 0.00168238862512 0.0
bloody 0.0 0.00170039560501 0.0 0.0 0.0
blots 0.0 0.00170039560501 1.3773742248e-193 0.0 0.0
blunt 0.0 0.0 0.0 0.00167435669038 0.0
boast 0.00194337240107 2.8231675375e-304 0.0 0.0 0.0
body 0.0 0.00170039560501 3.68011649357e-188 0.0 0.0
bootless 0.0 0.00170039560501 0.0 0.0 0.0
bore 4.30559438592e-07 0.00170001887774 0.0 3.43046913813e-21 0.0
born 0.0 0.0 0.0 0.0 0.00341576226701
bosom 0.0 0.00170039560501 0.0 0.0 0.0
both 0.0 0.0 0.00442157586855 0.00167435669038 0.0
boughs 0.0 0.00170039560501 1.40717992226e-178 0.0 0.0
boundless 0.0 0.0 0.0 0.00167435669038 0.0
bow 0.0 0.0 0.0 0.0 0.00683152453402
brain 0.00388674480215 8.54832719953e-26 0.0 0.0 0.00341576226701
brand 0.0 0.00170039560501 0.0 0.0 0.0
brass 0.0 0.0 0.00221078793428 0.0 0.0
breasts 0.0 0.00170039560501 0.0 0.0 0.0
bright 0.00194337240107 0.0 0.0 0.0 0.0
bring 0.0 0.0 0.0 0.0 0.00341576226701
brings 0.0 0.0 0.0 0.00167435669038 0.0
broke 0.0 0.00170039560501 0.0 0.0 0.0
broken 0.0 0.0 0.0 0.0 0.00341576226701
brought 0.0 0.0 0.0 0.0 0.00341576226701
brow 0.0 0.0 0.0 0.0 0.00683152453402
budding 0.0 0.00170039560501 0.0 0.0 0.0
buds 0.0 0.0 0.0 0.00167435669038 0.0
but 0.0070047912996 5.179747717e-22 0.0331571569466 0.00903760381037 0.0
by 0.00580718254073 0.0 0.0 0.00839154333197 0.0
call 0.0 0.0 0.00442157586855 0.0 0.00683152453402
called 0.00194337240107 0.0 0.0 0.0 0.0
calls 0.0 0.00170039560501 0.0 0.0 0.0
can 0.00206160748189 0.00793459256222 0.00281397566268 0.0 0.0
cannot 0.00194337240107 0.0 0.0 0.0 0.0
canopy 0.0 0.0 0.0 0.0 0.00341576226701
canst 0.0 0.0 0.00221078793428 0.0 0.0
care 0.0 0.0 0.0 0.00167435669038 0.0
careful 0.0 0.00340079121003 0.0 0.0 0.0
case 0.0 0.00170039560501 0.0 0.0 0.0
cast 1.13115226055e-62 0.00170039560501 0.0 0.0 0.0
catch 0.0 0.0 0.0 0.0 0.00341576226701
centre 2.56713295665e-235 0.00170039560501 0.0 0.0 0.0
change 0.0 0.0 0.0 0.0 0.00341576226701
changing 0.0 0.00170039560501 0.0 0.0 0.0
character 0.0 0.0 0.0 0.00167435669038 0.00341576226701
charter 0.0 0.00170039560501 0.0 0.0 0.0
chaste 0.0 0.0 0.0 0.00167435669038 0.0
cheap 0.00194337240107 0.0 0.0 0.0 0.0
cheater 0.0 0.0 0.0 0.00167435669038 0.0
check 0.0 0.0 0.0 0.00167435669038 0.0
cheek 0.0 0.00170039560501 0.0 0.0 0.0
chide 0.0 0.0 0.0 0.0 0.00341576226701
chief 0.0 0.0 0.0 0.0 0.00341576226701
child 8.90930018427e-218 0.00170039560501 0.0 0.0 0.0
chronicle 2.45616382395e-226 0.00170039560501 0.0 0.0 0.0
clock 0.0 0.00170039560501 0.0 0.0 0.0
clouds 0.0 0.0 0.00221078793428 0.00167435669038 0.0
cold 0.0 0.0 0.0 0.0 0.00683152453402
come 0.0 0.00170039560501 0.0 0.0 0.00683152453402
comfort 0.0 0.00170039560501 0.0 0.0 0.0
coming 0.0 0.0 0.0 0.00167435669038 0.0
commits 0.0 0.0 0.0 0.0 0.00341576226701
compare 2.86383843732e-31 0.00340079121003 3.8094130648e-204 0.0 0.0
confess 0.0 1.53609130072e-101 0.0 0.00167435669038 0.0
confessed 0.0 0.00170039560501 0.0 0.0 0.0
confine 0.00194337240107 0.0 0.0 0.0 0.0
conscience 0.00194337240107 1.01167866359e-204 0.0 0.0 0.0
consider 0.00194337240107 0.0 2.12621522616e-226 0.0 0.0
contented 6.86124824285e-266 0.0 0.0 0.00334871338076 0.0
contents 0.0 0.0 0.0 0.0 0.00341576226701
