 0 1 2 3 4
abhor 0.00020055320895 3.34266057641e-104 3.6771539201e-104 0.000460829541066 2.59042503038e-104
abide 2.0055320895e-104 3.05366662518e-104 3.67645128306e-104 0.000921659082133 2.48445581079e-104
able 2.4015998881e-104 0.000305366662518 3.67645128306e-104 4.60829541066e-104 2.48445581079e-104
about 2.0055320895e-104 3.05366662518e-104 3.67645128306e-104 0.000460829541066 2.48445581079e-104
above 2.0055320895e-104 1.14327463899e-41 0.000367288593659 0.000462302503581 0.000496337985899
absence 0.000594395289293 0.000310018979599 3.94512436644e-104 4.6087132443e-104 0.000253659538102
absent 0.000317082544267 6.47270358505e-62 0.000889319045104 4.62035993891e-104 5.90238275771e-49
abundance 0.0008022128358 2.17978830514e-30 3.7909625202e-104 4.60829541066e-104 2.48575915845e-104
abundant 2.0055320964e-104 3.05366666861e-104 4.03708398382e-104 4.60829541066e-104 0.000248445581079
abuse 0.00020055320895 3.06326997175e-104 3.67645128306e-104 0.000921659082133 2.48445581079e-104
abused 2.0055320895e-104 3.05366662518e-104 3.67645128306e-104 0.000460829541066 2.48445581079e-104
abuses 0.00020055320895 3.08325990298e-104 3.67645128306e-104 4.60829541066e-104 2.48445581079e-104
abysm 0.00020055320895 3.05366662518e-104 3.67645128306e-104 4.60829541066e-104 2.48445581079e-104
accents 1.68268414946e-87 2.70992575971e-103 2.34573961177e-69 4.60928616098e-104 0.000248445581079
acceptable 2.0055320895e-104 0.000305366662518 3.71084374763e-104 4.60829541066e-104 2.53856621567e-104
acceptance 0.00020055320895 3.08555720862e-104 3.67645128306e-104 4.60829541066e-104 2.48445581079e-104
accessary 2.0055320895e-104 3.05550322376e-104 0.000367645128306 4.62347708663e-104 2.48449144522e-104
accident 2.0055320895e-104 3.05366662518e-104 3.67645128306e-104 0.000460829541066 2.48445581079e-104
accidents 2.0055320895e-104 3.05366662518e-104 3.67645128306e-104 0.000460829541066 2.48445581079e-104
account 0.00060154033751 1.75139900964e-87 3.88237311177e-104 0.000461103643146 3.00505763708e-104
accumulate 2.0055320895e-104 3.05366662518e-104 3.67645128306e-104 0.000460829541066 2.48445581079e-104
accuse 0.00020055320895 3.07232114731e-104 3.67645128306e-104 4.60829541066e-104 0.000248445581079
accusing 2.0055320895e-104 0.000305366662518 4.23645358904e-104 4.60829541066e-104 2.49804386048e-104
achieve 2.0055320895e-104 3.05366662518e-104 3.67645128306e-104 0.000460829541066 2.48445581079e-104
acknowledge 0.00020055320895 3.05366662518e-104 3.67645128306e-104 4.60829541066e-104 2.48445581079e-104
acquaintance 0.000305520358538 0.000450908068129 3.70231274683e-104 4.60991791947e-104 2.78093351598e-104
acquainted 2.0055320895e-104 3.05366662518e-104 3.67645128306e-104 0.000921659082133 2.48445581079e-104
act 2.0252217461e-104 0.000305366662518 2.36925810898e-36 4.60837769806e-104 2.52956660389e-104
action 0.00020425086889 1.04827129407e-32 0.000728511872611 4.61196541112e-104 2.50131286483e-104
active 0.00020055320895 4.32893938988e-104 3.6904124544e-104 4.60829541066e-104 2.7475137788e-104
actor 0.00020055320895 3.05366662518e-104 3.67645128306e-104 4.63385927421e-104 2.48445581079e-104
add 0.0008022128358 3.31979085463e-104 3.76538692077e-104 4.62177582552e-104 2.52189659363e-104
added 0.000198888777059 0.000307900962589 3.71046914743e-104 4.60829541066e-104 2.53811101794e-104
