 0 1 2 3 4 5 6 7
abhor 0.000346510400874 1.77464259682e-103 0.000461591262728 5.02583609104e-104 4.57651007987e-104 6.23094010991e-104 4.63641827873e-104 5.3556427267e-104
abide 3.46512760507e-104 4.7051810092e-104 0.000923176238944 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
able 0.000346512760507 2.23593663172e-73 4.61588119472e-104 5.01093411657e-104 4.71781709368e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
about 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
above 0.000346492268714 1.01990770153e-102 0.000461588119472 5.03424402518e-104 6.76540726095e-104 0.000623949261657 5.63324176835e-104 0.000534620055229
absence 0.00103935257212 5.91599260697e-104 4.61844335566e-104 1.11436440603e-103 0.000450234696747 0.00062314489986 6.19070650585e-104 5.3556427267e-104
absent 4.32311732316e-104 6.42002757654e-104 4.62700020675e-104 8.95086808329e-104 0.00135069698123 6.24574692451e-104 4.80934063182e-104 9.11603191692e-104
abundance 5.53486883239e-104 0.000804546021865 4.62016985245e-104 0.00114754643819 4.59978752227e-53 6.25787283272e-104 4.63641827873e-104 5.3556427267e-104
abundant 3.46512760507e-104 4.7051810092e-104 4.61588119472e-104 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 0.000463641827873 5.42770345134e-104
abuse 6.17566323073e-104 4.71464938092e-104 0.000923176238944 0.000501093411657 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
abused 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
abuses 3.46512760507e-104 4.7051810092e-104 4.61588119472e-104 5.01093411657e-104 6.01194297166e-104 2.74975380064e-103 0.000463641827873 5.3556427267e-104
abysm 3.46512760507e-104 4.7051810092e-104 4.61588119472e-104 0.000501093411657 4.50232327076e-104 6.31044621131e-104 4.63641827873e-104 5.3556427267e-104
accents 3.46512760507e-104 4.71657542835e-104 4.61588119678e-104 5.01106263269e-104 6.03301729465e-104 6.70960856963e-104 0.000463641827873 1.06178599187e-103
acceptable 3.46512760507e-104 4.7051810092e-104 4.61588119472e-104 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 1.04838287708e-103 0.00053556427267
acceptance 1.81331603286e-92 5.30545037189e-104 4.61588119472e-104 0.000501093411657 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
accessary 3.46512760507e-104 4.7051810092e-104 4.61619818484e-104 0.000501093411657 4.50232327076e-104 6.30548051208e-104 4.63641827873e-104 5.3556427267e-104
accident 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
accidents 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
account 4.57893014435e-50 5.50301876647e-104 0.000461916301886 0.00150292396487 4.56094970231e-104 6.25876444928e-104 4.63641827873e-104 5.44307449209e-104
accumulate 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
accuse 6.19261555733e-104 4.70541409001e-104 4.61588119472e-104 0.000501093411657 4.50232327076e-104 1.19555169509e-27 0.000463641827873 5.3556427267e-104
accusing 3.46512760507e-104 5.26731764046e-104 4.61588119472e-104 5.01120177704e-104 4.8845640929e-104 6.22814387895e-104 1.2442458162e-103 0.00053556427267
achieve 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
acknowledge 6.19258447518e-104 4.7051810092e-104 4.61588119472e-104 0.000501093411657 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
acquaintance 9.41054218761e-104 0.000682940371738 4.61628988519e-104 0.000775960881766 1.38449699314e-103 6.26621357778e-104 4.63641827873e-104 5.3556427267e-104
acquainted 3.46512760507e-104 4.7051810092e-104 0.000923176238944 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
act 3.46512760507e-104 7.00709656618e-104 4.61588119472e-104 5.01190711208e-104 0.000450232327076 6.22814387895e-104 6.02304028276e-104 1.19652054359e-103
action 4.56769967241e-104 0.000379092550792 4.62264223323e-104 0.000598488936504 8.70813751095e-38 6.23925909994e-104 1.53621663707e-103 0.000535533342376
active 3.47692210256e-104 4.71005013754e-104 4.61588119472e-104 5.03452502634e-104 4.50232327076e-104 6.22814387895e-104 4.63687448516e-104 0.00053556427267
