 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
above 1.35601596653e-102 1.24691028108e-102 2.56145882659e-102 3.43856265369e-102 2.13762964012e-102 2.49169540226e-102 2.55765713593e-102 2.8523684114e-102 1.04103323864e-102 2.57062766886e-102 1.67955496867e-102 1.75771617953e-102 1.6750144239e-102 3.15279593078e-102 2.99143184669e-102 9.42858049472e-103 1.78776975005e-102 2.18432813629e-102 6.49350649354e-103 1.73546366206e-102 2.71964938385e-102 7.31414409851e-103 1.83941602868e-102 8.35261761449e-103 6.04900140726e-103 1.90192626787e-102 4.16222743318e-102 1.3831153246e-102 0.0138746923749 2.08967681643e-102 1.61378551785e-102 2.24880392578e-102 2.15278746579e-102 3.46446131127e-102 4.22113696084e-102 2.01754874286e-102 1.82803365766e-102 1.44886652067e-102 1.33133215906e-102 3.27031350457e-102
absence 1.35601596653e-102 1.24691028108e-102 2.56145882659e-102 3.43845906548e-102 2.13762964012e-102 2.49169540226e-102 2.55765713593e-102 2.8523684114e-102 1.04103323864e-102 2.57062766886e-102 1.67952662203e-102 1.75758309835e-102 1.6750144239e-102 3.15279593078e-102 2.99143184669e-102 9.42858049472e-103 1.78776975005e-102 2.18432813629e-102 6.49350649354e-103 1.73546366206e-102 2.71964938385e-102 7.31414409851e-103 1.83941602868e-102 8.35261761449e-103 6.04900140726e-103 1.90192626787e-102 4.16222743318e-102 0.0138251194032 1.38746923749e-102 2.08967681643e-102 1.61378551785e-102 2.24880392578e-102 2.15278746579e-102 3.46446131127e-102 4.22113696084e-102 2.01676629015e-102 1.82803365516e-102 1.44886652067e-102 1.33132357449e-102 3.26800757383e-102
absent 1.35601596653e-102 1.24691028108e-102 2.56145882659e-102 3.43845906548e-102 2.13762964012e-102 2.49169540226e-102 2.55765713593e-102 2.8523684114e-102 1.04103323864e-102 2.57062766886e-102 1.67952662203e-102 1.75758309835e-102 1.6750144239e-102 3.15279593078e-102 0.0299143184669 9.42858049472e-103 1.78776975005e-102 2.18432813629e-102 6.49350649354e-103 1.73546366206e-102 2.71964938385e-102 7.31414409851e-103 1.83941602868e-102 8.35261761449e-103 6.04900140726e-103 1.90192626787e-102 4.16222743318e-102 1.38251194032e-102 1.38746923749e-102 2.08967681643e-102 1.61378551785e-102 2.24880392578e-102 2.15278746579e-102 3.46446131127e-102 4.22113696084e-102 2.01676629015e-102 1.82803365516e-102 1.44886739961e-102 1.33132357449e-102 3.26800757383e-102
account 1.35601596653e-102 1.24691028108e-102 2.56145882659e-102 3.43845906548e-102 2.13762964012e-102 2.49169540226e-102 2.55765713593e-102 2.8523684114e-102 1.04103323864e-102 2.57062766886e-102 1.67952662203e-102 1.75758309835e-102 1.6750144239e-102 3.15279593078e-102 2.99143184669e-102 9.42858049472e-103 1.78776975005e-102 2.18432813629e-102 6.49350649354e-103 1.73546366206e-102 2.71964938385e-102 7.31414409851e-103 1.83941602868e-102 8.35261761449e-103 6.04900140726e-103 1.90192626787e-102 4.16222743318e-102 1.38251194032e-102 1.38746923749e-102 2.08967681643e-102 1.61378551785e-102 2.24880392578e-102 2.15278746579e-102 3.46446131127e-102 4.22113696084e-102 2.01676629015e-102 1.82803365516e-102 1.44886652067e-102 0.0133132357449 3.26800757383e-102
accuse 1.35601596653e-102 1.24691028108e-102 2.56145882659e-102 3.43845906548e-102 2.13762964012e-102 2.49169540226e-102 2.55765713593e-102 2.8523684114e-102 1.04103323864e-102 2.57062766886e-102 1.53522181477e-81 1.75758309835e-102 1.6750144239e-102 3.15279593078e-102 2.99143184669e-102 9.42858049472e-103 1.78776975005e-102 2.18432813629e-102 6.49350649354e-103 1.73546366206e-102 2.71964938385e-102 7.31414409851e-103 1.83941602868e-102 8.35261761449e-103 0.00604900140726 1.90192626787e-102 4.16222743318e-102 1.38251194032e-102 1.38746923749e-102 2.08967681643e-102 1.61378551785e-102 2.24880392578e-102 2.15278746579e-102 3.46446131127e-102 4.22113696084e-102 2.01676629015e-102 1.82803365516e-102 1.44886652067e-102 1.33132357449e-102 3.26800757383e-102
achieve 1.35601596653e-102 1.24691028108e-102 2.56145882659e-102 3.43845906548e-102 2.13762964012e-102 2.49169540226e-102 2.55765713603e-102 2.8523684114e-102 1.04103323864e-102 2.57062766886e-102 1.67952662203e-102 1.75758309835e-102 1.6750144239e-102 3.15279593078e-102 2.99143184669e-102 9.42858049472e-103 1.78776975005e-102 2.18432813629e-102 0.00649350649354 1.73546366206e-102 2.71964938385e-102 7.31414409851e-103 1.83941602868e-102 8.35261761449e-103 6.04900140726e-103 1.90192626787e-102 4.16222743318e-102 1.38251194032e-102 1.38746923749e-102 2.08967681643e-102 1.61378551785e-102 2.24880392578e-102 2.15278746579e-102 3.46446131127e-102 4.22113696084e-102 2.01676629015e-102 1.82803365516e-102 1.44886652067e-102 1.33132357449e-102 3.26800757383e-102
acquainted 1.35601596653e-102 1.24691028108e-102 2.56145882659e-102 3.43845906548e-102 2.13762964012e-102 2.49169540226e-102 2.55765713594e-102 2.8523684114e-102 1.04103323864e-102 2.57062766886e-102 1.67952662203e-102 1.75758309835e-102 1.6750144239e-102 3.15279593078e-102 2.99143184669e-102 9.42858049472e-103 1.78776975005e-102 2.18432813629e-102 0.00649350649354 1.73546366206e-102 2.71964938385e-102 7.31414409851e-103 1.83941602868e-102 8.35261761449e-103 6.04900140726e-103 1.90192626787e-102 4.16222743318e-102 1.38251194032e-102 1.38746923749e-102 2.08967681643e-102 1.61378551785e-102 2.24880392578e-102 2.15278746579e-102 3.46446131127e-102 4.22113696084e-102 2.01676629015e-102 1.82803365516e-102 1.44886652067e-102 1.33132357449e-102 3.26800757383e-102
act 1.35601596653e-102 1.24691028108e-102 2.56145882659e-102 3.43845906548e-102 2.13762964012e-102 2.49169540226e-102 2.55765713593e-102 2.8523684114e-102 1.04103323864e-102 2.57062766886e-102 1.67952662203e-102 1.75758309835e-102 1.6750144239e-102 3.15279593078e-102 2.99143184669e-102 9.42858049472e-103 1.78776975005e-102 2.18432813629e-102 6.49350649354e-103 1.73546366206e-102 2.7500581952e-102 7.31414409851e-103 1.83941602868e-102 0.00835261761449 6.04900140726e-103 1.90192626787e-102 4.16222743318e-102 1.38251194032e-102 1.684931907e-102 2.08967681643e-102 1.61378551785e-102 2.24880392578e-102 2.15278746579e-102 3.46446131127e-102 4.22113696084e-102 2.01676629015e-102 1.82803365516e-102 1.44886652067e-102 1.33132357449e-102 3.26800757383e-102
actor 1.35601596653e-102 1.24691028108e-102 2.56145882659e-102 3.43845906548e-102 2.13762964012e-102 2.49169540226e-102 2.55765713593e-102 2.8523684114e-102 1.04103323864e-102 2.57062766886e-102 1.67952662203e-102 0.0175758309835 1.6750144239e-102 3.15279593078e-102 2.99143184669e-102 9.42858049472e-103 1.78776975005e-102 2.18432813629e-102 6.49350649354e-103 1.73546366206e-102 2.71964938385e-102 7.31414409851e-103 6.09731863625e-21 8.35261761449e-103 6.04900140726e-103 1.90192626787e-102 4.16222743318e-102 1.38251194032e-102 1.38746923749e-102 2.08967681644e-102 1.61378551785e-102 2.24880392578e-102 2.15278746579e-102 3.46446131127e-102 4.22113696084e-102 2.01676629015e-102 1.82803365516e-102 1.44886652067e-102 1.33132357449e-102 3.26800757383e-102
admitted 1.35601596653e-102 1.24691028108e-102 2.56145882659e-102 3.43845906548e-102 2.13762964012e-102 2.49169540226e-102 2.55765713593e-102 0.028523684114 1.04103323864e-102 2.57062766886e-102 1.67952662203e-102 1.75758309835e-102 1.6750144239e-102 3.15279593078e-102 2.99143184669e-102 9.42858049472e-103 1.78776975005e-102 2.18432813629e-102 6.49350649354e-103 1.73546366206e-102 2.71964938385e-102 7.31414409851e-103 1.83941602868e-102 8.35261761449e-103 6.04900140726e-103 1.90192626787e-102 4.16222743318e-102 1.38251194032e-102 1.38746923749e-102 2.08967681643e-102 1.61378551785e-102 2.24880392578e-102 2.15278746579e-102 3.46446131127e-102 4.22113696084e-102 2.01676629015e-102 1.82803365516e-102 1.44886652067e-102 1.33132357449e-102 3.26800780037e-102
