 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
abused 3.6976160749e-102 1.83711959176e-102 2.46911400323e-102 1.87570469163e-102 1.74857926792e-102 1.41020473708e-102 2.21055491519e-102 1.63146230981e-102 1.55935829356e-102 1.0851668014e-102 2.55175760569e-102 1.57141553746e-102 1.30035798984e-102 1.85660430606e-102 1.26856495317e-102 1.14225685203e-102 1.30037628211e-102 3.0281240895e-102 0.0112027114998 5.21108588559e-103 1.93474835467e-102 1.09467425174e-102 1.84572329129e-102 1.38146087659e-102 2.67467142156e-102 2.19507941681e-102 1.01649531461e-102 1.51376859776e-102 2.2284518911e-102 2.13462717487e-102 1.27037993456e-102 9.79326651028e-103 1.75891267757e-102 2.26270877616e-102 1.22519740653e-102 2.40440806565e-102 1.34934163822e-102 2.55279190967e-102 2.77486627439e-102 1.50081736442e-102
accessary 3.6976160749e-102 1.83711959176e-102 2.46911400323e-102 1.87570469163e-102 1.74857926792e-102 1.41020473708e-102 2.21055491519e-102 1.63146230981e-102 1.55935829356e-102 1.0851668014e-102 2.55175760569e-102 1.57141553746e-102 1.30035798984e-102 1.85660430606e-102 1.26856495317e-102 1.14225685203e-102 0.0130037628211 3.0281240895e-102 1.12027114998e-102 5.21108588559e-103 1.93474835467e-102 1.09467425174e-102 1.84572329129e-102 1.38146087659e-102 2.67467142156e-102 2.19507941681e-102 1.01649531461e-102 1.51376859776e-102 2.2284518911e-102 2.13462717487e-102 1.27037993456e-102 9.79326651028e-103 1.75891267757e-102 2.26270877616e-102 1.22519740653e-102 2.40440806565e-102 1.34934163822e-102 2.55279190967e-102 2.77486627439e-102 1.50081736442e-102
add 3.6976160749e-102 1.83711959176e-102 2.46911400323e-102 1.87570469163e-102 1.74857926792e-102 1.41020473708e-102 2.21055491519e-102 1.63146230981e-102 1.55935829356e-102 1.0851668014e-102 2.55175760569e-102 1.57141553746e-102 1.30035798984e-102 1.85660430606e-102 1.26856495317e-102 0.0114225685203 1.30037628211e-102 3.0281240895e-102 1.12027114998e-102 5.21108588559e-103 1.93474835467e-102 1.09467425174e-102 1.84572329129e-102 1.38146087659e-102 2.67467142156e-102 2.19507941681e-102 1.01649531461e-102 1.51376859776e-102 2.2284518911e-102 2.13462717487e-102 1.27037993456e-102 9.79326651028e-103 1.75891267757e-102 2.26270877616e-102 1.22519740653e-102 2.40440806565e-102 1.34934163822e-102 2.55279190967e-102 2.77486627439e-102 1.50081736442e-102
adjunct 3.6976160749e-102 1.83711959176e-102 0.0246911400323 1.87570469163e-102 1.74857926792e-102 1.41020473708e-102 2.21055491519e-102 1.63146230981e-102 1.55935829356e-102 1.0851668014e-102 2.55175760569e-102 1.57141553746e-102 1.30035798984e-102 1.85660430606e-102 1.26856495317e-102 1.14225685203e-102 1.85475217847e-25 3.0281240895e-102 1.12027114998e-102 5.21108588559e-103 1.93474835467e-102 1.09467425174e-102 1.84572329129e-102 1.38146087659e-102 2.67467142156e-102 2.19507941681e-102 1.01649531461e-102 1.51376859776e-102 2.2284518911e-102 2.13462717487e-102 1.27037993456e-102 9.79326651028e-103 1.75891267757e-102 2.26270877616e-102 1.22519740653e-102 2.40440806565e-102 1.34934163822e-102 2.55279190967e-102 2.77486627439e-102 1.50081736442e-102
admiring 3.6976160749e-102 1.3086167425e-35 2.46911400323e-102 1.87570469163e-102 1.74857926792e-102 1.41020473708e-102 2.21055491519e-102 1.63146230981e-102 1.55935829356e-102 0.010851668014 2.55175760569e-102 1.57141553746e-102 1.30035798984e-102 1.85660430606e-102 1.26856495317e-102 1.14225685203e-102 1.30037628211e-102 3.0281240895e-102 1.12027114998e-102 5.21108588559e-103 1.93474835467e-102 1.09467425174e-102 1.84572329129e-102 1.38146087659e-102 2.67467142156e-102 2.19507941681e-102 1.01649531461e-102 1.51376859776e-102 2.2284518911e-102 2.13462717487e-102 1.27037993456e-102 9.79326651028e-103 1.75891267757e-102 2.26270877616e-102 1.22519740653e-102 2.40440806565e-102 1.34934163822e-102 2.55279190967e-102 2.77486627439e-102 1.50081736442e-102
advance 3.6976160749e-102 1.83711959176e-102 2.46911400323e-102 1.87570469163e-102 1.74857926792e-102 1.41020473708e-102 2.21055491519e-102 1.63146230981e-102 1.55935829356e-102 1.0851668014e-102 2.55175760569e-102 1.57141553746e-102 1.30035798984e-102 1.85660430606e-102 1.26856495317e-102 1.14225685203e-102 1.30037628211e-102 3.0281240895e-102 0.0112027114998 5.21108588559e-103 1.93474835467e-102 1.09467425174e-102 1.84572329129e-102 1.38146087659e-102 2.67467142156e-102 2.19507941683e-102 1.01649531461e-102 1.51376859776e-102 2.2284518911e-102 2.13462717487e-102 1.27037993456e-102 9.79326651028e-103 1.75891267757e-102 2.26270877616e-102 1.22519740653e-102 2.40440806565e-102 1.34934163822e-102 2.55279190967e-102 2.77486627439e-102 1.50081736442e-102
after 3.6976160749e-102 1.83711959176e-102 2.46911400323e-102 1.87570469163e-102 1.74857926792e-102 1.41020473708e-102 2.22286726973e-102 1.63146230981e-102 1.55935829356e-102 1.0851668014e-102 2.55175760569e-102 1.57141553746e-102 1.30035798984e-102 1.85660430606e-102 1.26856495317e-102 1.14225685203e-102 1.30037628211e-102 3.0281240895e-102 1.12027114998e-102 5.21108588559e-103 1.93474835467e-102 1.09467425174e-102 1.84572329129e-102 1.38146087659e-102 2.67467142156e-102 2.19507941681e-102 1.01649531461e-102 1.51376859776e-102 2.2284518911e-102 2.13462717487e-102 1.27037993456e-102 9.79326651028e-103 1.75891267757e-102 2.26270877616e-102 1.22519740653e-102 2.40440806565e-102 1.34934163822e-102 2.55279190967e-102 0.0277486627439 1.50081736442e-102
again 0.036976160749 1.83711959176e-102 2.46911400323e-102 1.87570469163e-102 1.74857926792e-102 1.41020473708e-102 2.21055491519e-102 1.63146230981e-102 1.55935829356e-102 1.0851668014e-102 2.55175760569e-102 0.0157141553746 1.30035798984e-102 1.85660430606e-102 1.26856495317e-102 1.14225685203e-102 1.30037628211e-102 3.0281240895e-102 1.12027114998e-102 5.21108588559e-103 1.93474835467e-102 1.09467425174e-102 1.84572329129e-102 1.38146087659e-102 2.67467142156e-102 2.19507941681e-102 1.01898151809e-102 1.51376859776e-102 2.2284518911e-102 2.13462717487e-102 1.27037993456e-102 9.79326651028e-103 1.75891267757e-102 2.26270877616e-102 1.22519740653e-102 2.40440806565e-102 1.34934163822e-102 2.55279190967e-102 2.77486627439e-102 1.50081736442e-102
against 3.69761678789e-102 2.12487813361e-102 2.46911400323e-102 1.87570469163e-102 1.74857926796e-102 1.41020473708e-102 7.65018430382e-87 1.63146230981e-102 1.55935829356e-102 1.0851668014e-102 2.55175760569e-102 1.57141553746e-102 1.30035798984e-102 1.85660430606e-102 1.26856495317e-102 1.10141425508e-10 1.30037628211e-102 3.0281240895e-102 1.12027114998e-102 5.21108588559e-103 1.93474835467e-102 1.09467425174e-102 1.84572329129e-102 1.38146087659e-102 2.67467142156e-102 2.19507941681e-102 1.01649531461e-102 1.51376859776e-102 2.2284518911e-102 0.0224148493204 1.27037993456e-102 9.79326651028e-103 1.75891267757e-102 2.26270877616e-102 1.22519740653e-102 2.40440806565e-102 1.34934163822e-102 0.0242500113021 2.77486627439e-102 1.50081736442e-102
age 3.6976160749e-102 1.83720134711e-102 2.46911400323e-102 1.87570469163e-102 1.74857926792e-102 1.41020473708e-102 2.21055491519e-102 1.63146230981e-102 1.55935829356e-102 0.010851668014 2.55175760569e-102 1.57141553746e-102 1.30035798984e-102 1.85660430606e-102 1.26856495317e-102 0.0114225685203 1.30037628211e-102 3.0281240895e-102 1.12027114998e-102 5.21108588559e-103 1.93474835467e-102 1.09467425174e-102 1.84572329129e-102 1.38146087659e-102 2.67467142156e-102 2.19507941681e-102 1.01649531461e-102 1.51376859776e-102 2.2284518911e-102 2.14088313414e-41 1.27037993456e-102 9.79326651028e-103 1.75891267757e-102 2.26270877616e-102 1.22519740653e-102 2.40440806565e-102 1.34934163822e-102 2.32089990021e-54 2.77486627439e-102 1.50081736442e-102
