 0 1 2 3 4 5 6 7 8 9
above 4.38981223332e-13 2.38024457617e-103 6.32401525231e-103 3.79586025452e-103 0.00322111903084 8.58550194039e-60 5.44727869639e-103 3.66371182618e-103 6.85529635504e-103 3.62525740739e-74
absence 6.20072034018e-103 2.38288328461e-103 6.32401525231e-103 0.00379441307179 3.22111903107e-103 5.01660250524e-90 5.4470856718e-103 3.66371182618e-103 6.85529635504e-103 3.34880325137e-103
absent 6.20089180326e-103 2.38024457595e-103 6.32401525231e-103 3.79441307179e-103 3.22111903107e-103 4.33912417563e-103 5.4470856718e-103 0.00366371182618 6.85529635504e-103 3.34880325137e-103
account 1.45886587919e-39 0.00238024457595 6.32401525231e-103 6.19476391007e-63 4.05843165467e-87 1.03027470712e-52 5.4470856718e-103 3.66371182618e-103 6.85529635504e-103 3.34880325515e-103
accuse 6.20072044148e-103 2.38024457961e-103 6.32401525231e-103 3.79441307179e-103 3.22111903108e-103 4.33915839693e-103 2.66801574676e-101 3.66371182618e-103 6.85529635504e-103 0.00334880325137
achieve 6.20072034018e-103 2.38024457595e-103 0.00632401525231 3.79441307179e-103 3.22111903107e-103 4.33912417563e-103 5.4470856718e-103 3.66371182618e-103 6.85529635504e-103 3.34880325137e-103
acquainted 6.20072034018e-103 2.38024457595e-103 0.00632401525231 3.79441307179e-103 3.22111903107e-103 4.33912417563e-103 5.4470856718e-103 3.66371182618e-103 1.39229988086e-30 3.34880325137e-103
act 1.93578565815e-29 3.35482232606e-45 6.32401525231e-103 3.18042105548e-68 0.00322111903107 1.16073801191e-59 5.70792425308e-103 3.74563909705e-103 6.85529635504e-103 3.34880347246e-103
actor 2.97964819743e-89 2.38024457595e-103 6.32401525231e-103 3.79441307179e-103 3.22111903107e-103 1.01166138247e-29 0.0054470856718 3.66371182618e-103 6.85529635504e-103 3.34880325137e-103
admitted 6.20072034018e-103 2.38024457607e-103 6.32401525231e-103 3.59739770468e-53 3.22111903107e-103 4.33912417563e-103 3.06422795484e-91 0.00366371182618 6.85529635504e-103 3.34880325137e-103
advantage 6.20204501258e-103 2.38024457595e-103 6.32401525231e-103 3.79441307179e-103 3.22111903107e-103 4.90640803477e-61 0.0054470856718 3.66371182618e-103 6.85529635504e-103 3.34880325137e-103
after 6.20072034502e-103 1.25080197731e-58 6.32401525231e-103 3.79441307179e-103 3.22111903107e-103 1.1191950373e-61 8.70527302806e-88 3.66371182618e-103 6.85529635504e-103 0.00334880325137
against 4.08812687314e-23 0.00477405898994 6.32401525231e-103 3.26894406054e-61 3.22111903107e-103 7.49687225844e-47 3.13953315075e-80 3.66371182618e-103 6.85529635504e-103 0.0100273181371
age 6.20072034018e-103 2.38024457595e-103 6.32401525231e-103 3.79441307179e-103 3.22111903107e-103 0.00433912417563 4.24907016648e-29 1.73581670389e-57 6.85529635504e-103 3.34880325137e-103
ah 6.20072065903e-103 2.39473239792e-103 6.32401525231e-103 3.79441307179e-103 3.22111903107e-103 4.33912426536e-103 5.44712901889e-103 3.66371182618e-103 6.85529635504e-103 0.00669760650273
aid 6.20072034018e-103 2.38024457595e-103 0.00632401525231 3.79441307179e-103 3.22111903107e-103 4.33912417563e-103 5.4470856718e-103 3.66371182618e-103 6.85529635504e-103 3.34880325137e-103
air 6.20072034133e-103 2.38024457595e-103 6.32401525231e-103 3.79509357493e-103 1.3123037156e-55 1.37844595566e-06 5.4470856718e-103 0.00366254794413 6.85529635504e-103 3.34880325137e-103
alack 6.20072056299e-103 2.38057393484e-103 6.32401525231e-103 3.79441307179e-103 3.22111903107e-103 4.9935839973e-39 1.09175555986e-95 3.66371182618e-103 6.85529635504e-103 0.00334880325137
alas 6.200720489e-103 2.38024813263e-103 6.32401525231e-103 3.79441307179e-103 3.22111903108e-103 4.33913007e-103 3.58587540598e-53 3.66371182618e-103 6.85529635504e-103 0.00334880325137
alien 6.20072034018e-103 2.38024457595e-103 6.32401525231e-103 3.79441307179e-103 3.22111903107e-103 0.00433912417563 1.01593043016e-34 2.18366542584e-80 6.85529635504e-103 3.34880325137e-103
alike 1.33752567773e-56 0.00238024457595 6.32401525231e-103 3.79441307179e-103 8.81574349329e-97 1.91353187225e-39 5.44708570087e-103 3.66371182618e-103 6.85529635504e-103 3.3488032517e-103
all 6.16460658779e-31 0.00545675220304 0.00632401525231 1.26053160122e-09 0.0112377181637 7.77473264132e-20 9.33565815001e-65 0.0190608133064 0.00685529635504 0.00340279886168
