 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
above 1.92500130085e-102 2.17507641535e-102 3.21976268084e-102 2.79554763865e-76 2.31077592133e-102 2.48128118951e-102 1.62467949568e-102 1.62221755896e-102 7.11207698668e-103 2.20271054037e-102 1.92299602104e-102 1.61691861e-102 1.49371809678e-102 1.61325503444e-102 3.63597737607e-102 1.00206180632e-102 3.41932597734e-102 2.77667042719e-102 1.14663538034e-102 1.55333004758e-102 1.66248719613e-102 2.37952997174e-102 1.76888447829e-36 2.22656419647e-102 7.66188968703e-103 1.16286549885e-102 1.46135939347e-102 1.41619509399e-102 3.56343258021e-102 3.99855723708e-102 1.92960385653e-102 1.27365952046e-102 2.65236910953e-102 2.26577080117e-102 3.25410344103e-102 8.16996879403e-103 0.0146317293117 1.396274966e-102 1.88204418072e-102 8.79666798031e-103
absence 1.92500130085e-102 2.17507641535e-102 3.21958006127e-102 2.63225617531e-102 2.31077592133e-102 2.48128118951e-102 1.62467949568e-102 1.62109774156e-102 7.11207698668e-103 2.20249164136e-102 2.12961191279e-37 1.61691861e-102 1.49370083566e-102 1.61325503444e-102 3.63597737607e-102 1.00206180632e-102 3.41932597734e-102 2.77667042719e-102 1.14663538034e-102 1.55333004758e-102 1.66248719613e-102 2.37949509239e-102 1.42001078931e-102 2.22656419647e-102 7.66188968703e-103 1.16286549885e-102 1.46135939347e-102 1.41619509399e-102 3.56343258021e-102 3.99855723708e-102 1.92960385653e-102 0.0127365952046 2.65236910953e-102 2.26577080117e-102 3.25410344103e-102 8.16996879403e-103 1.46317293117e-102 1.39515684264e-102 1.88204418072e-102 8.79666798031e-103
absent 1.92500130085e-102 2.17507641535e-102 2.13578563059e-25 2.63225617531e-102 2.31077592133e-102 2.48128118951e-102 1.63553968629e-102 1.62109774156e-102 7.11672181132e-103 2.20249164136e-102 1.92299602104e-102 1.61691861e-102 1.49370083566e-102 1.61325503444e-102 3.63597737607e-102 1.00206180632e-102 3.41932597734e-102 2.77667042719e-102 1.14663538034e-102 1.55333004758e-102 1.66248719613e-102 2.37949509239e-102 1.42001078931e-102 2.22656419647e-102 7.66188968703e-103 1.16286549885e-102 1.46135939347e-102 1.41619509399e-102 3.56343258021e-102 3.99855723718e-102 1.94252462618e-102 1.27365952046e-102 2.65236910953e-102 2.26577080117e-102 3.25410344103e-102 8.16996879403e-103 0.0146317293117 1.39515684264e-102 1.88204418072e-102 8.79666798031e-103
account 1.92500130085e-102 2.17507641535e-102 3.21958006127e-102 2.63225617531e-102 2.31077592133e-102 2.48128118951e-102 1.62467949568e-102 1.62109774156e-102 7.11207698668e-103 2.20249164136e-102 1.92299602104e-102 1.61691861e-102 1.52229269013e-102 1.61325503444e-102 3.63597737607e-102 3.66373560192e-87 3.41932597734e-102 2.77667042719e-102 1.14663538034e-102 1.55333004758e-102 1.67479208035e-102 0.0237949509239 1.43244531717e-102 2.22656419647e-102 7.66188968703e-103 1.16286549885e-102 1.46135939347e-102 1.41619509399e-102 3.56343258021e-102 3.99855723708e-102 1.92960385653e-102 1.27365952046e-102 2.65236910953e-102 2.26577080117e-102 3.25410344103e-102 8.16996879403e-103 1.46317293117e-102 1.39515684264e-102 1.88204418072e-102 8.79666798031e-103
accuse 1.92500130085e-102 2.17507641535e-102 3.21958006127e-102 2.63225617531e-102 2.31077592133e-102 2.48128118951e-102 1.62467949568e-102 1.62109774156e-102 7.11207698668e-103 2.20249164136e-102 1.92299602104e-102 1.61691861e-102 1.49370083566e-102 1.61325503444e-102 3.63597737607e-102 1.00206180632e-102 3.41932597734e-102 2.77667042719e-102 1.14663538034e-102 1.55333004758e-102 1.66248719613e-102 2.37949509239e-102 1.42001078931e-102 2.22656419647e-102 7.66188968703e-103 1.16286549885e-102 1.46135939347e-102 1.41619509399e-102 3.56343258021e-102 3.99855723708e-102 1.92960385653e-102 1.27365952046e-102 2.65236910953e-102 2.26577080118e-102 3.25410344103e-102 8.16996879403e-103 1.46317293117e-102 1.39515684264e-102 1.88204418072e-102 0.00879666798031
achieve 1.92500130085e-102 2.17507641535e-102 3.21958006127e-102 2.63225617531e-102 2.31077592133e-102 2.48128118951e-102 1.62467949568e-102 1.62109774156e-102 7.11207698668e-103 2.20249164136e-102 1.92299602104e-102 1.61691861e-102 1.49370083566e-102 1.61325503444e-102 3.63597737607e-102 1.00206180632e-102 3.41932597734e-102 2.77667042719e-102 1.14663538034e-102 1.55333004758e-102 1.66248719613e-102 2.37949509239e-102 1.42001078931e-102 2.22656419647e-102 7.66188968703e-103 0.0116286549885 1.46135939347e-102 1.41619509399e-102 3.56343258021e-102 3.99855723708e-102 1.92960385653e-102 1.27365952046e-102 2.65236910953e-102 2.26577080117e-102 3.25410344103e-102 8.16996879403e-103 1.46317293117e-102 1.39515684264e-102 1.88204418072e-102 8.79666798031e-103
acquainted 1.92500130085e-102 2.17507641535e-102 3.21958006127e-102 2.63225617531e-102 2.31077592133e-102 2.48128118951e-102 1.62467949568e-102 1.62109774156e-102 7.11207698668e-103 2.20249164136e-102 1.92299602104e-102 1.61691861e-102 1.49370083566e-102 1.6247641082e-102 3.63597737607e-102 1.00206180632e-102 3.41932597734e-102 2.77667042719e-102 1.14663538034e-102 1.55333004758e-102 1.66248719613e-102 2.37949509239e-102 1.42001078931e-102 2.22656419647e-102 0.00766188968703 1.16286549885e-102 1.46135939347e-102 1.41619509399e-102 3.56343258021e-102 3.99855723708e-102 1.92960385653e-102 1.27365952046e-102 2.65236910953e-102 2.26577080117e-102 3.25410344103e-102 8.16996879403e-103 1.46317293117e-102 1.39515684264e-102 1.88204418072e-102 8.79666798031e-103
act 1.92500130085e-102 2.17507641535e-102 3.21958006127e-102 2.63225617531e-102 2.31077592133e-102 5.19264066097e-102 1.62467949568e-102 1.62109774156e-102 7.11207698668e-103 2.20249164136e-102 1.92299602104e-102 1.61691861e-102 1.49370083566e-102 1.61325503444e-102 3.63597737607e-102 2.95557380307e-29 3.41932597734e-102 2.77667042719e-102 1.14663538034e-102 1.55333004758e-102 0.0166248719613 2.37949509239e-102 1.42001078931e-102 2.22656419647e-102 7.66188968703e-103 1.16286549885e-102 1.46135939347e-102 1.41619509399e-102 3.56343258021e-102 3.99855723708e-102 1.92960385653e-102 1.27365952046e-102 2.65236910953e-102 2.26577080117e-102 3.25410344103e-102 8.16996879403e-103 1.46317293117e-102 1.39515684264e-102 1.88204418072e-102 8.79666798031e-103
actor 1.92500130085e-102 2.17507641535e-102 3.21958006127e-102 2.63225617531e-102 2.31077592133e-102 0.0248128118951 1.62467949568e-102 1.62109774156e-102 7.11207698668e-103 2.20249164136e-102 1.92299602104e-102 1.61691861e-102 1.49370083566e-102 1.61325503444e-102 3.63597737607e-102 1.00206180632e-102 3.41932597734e-102 2.77667042719e-102 1.14663538034e-102 1.55333004758e-102 1.66248719613e-102 2.37949509239e-102 1.42001078931e-102 2.22656419647e-102 7.66188968703e-103 1.16286549885e-102 1.46135939347e-102 1.41619509399e-102 3.56343258021e-102 3.99855723708e-102 1.92960385653e-102 1.27365952046e-102 2.65236910953e-102 2.26577080117e-102 3.25410344103e-102 8.16996879403e-103 1.46317293117e-102 1.39515684264e-102 1.88204418072e-102 8.79666798031e-103
admitted 1.92500130085e-102 2.17507641535e-102 3.28008023039e-102 2.63225617531e-102 2.31077592133e-102 2.48128118951e-102 1.62467950911e-102 1.62109774156e-102 7.11207698668e-103 2.20249164136e-102 1.92299602104e-102 1.61693906496e-102 1.49370083566e-102 1.61325503444e-102 3.63597737607e-102 1.00206180632e-102 3.41932597734e-102 2.77667042719e-102 1.14663538034e-102 1.55333004758e-102 1.66248719613e-102 2.37949509239e-102 1.42001078931e-102 2.22656419647e-102 7.66188968703e-103 1.16286549885e-102 1.46135939347e-102 1.41619509399e-102 3.56343258021e-102 3.99855723708e-102 1.92960385653e-102 1.27365952046e-102 0.0265236910953 2.26577080117e-102 3.25410344103e-102 8.16996879403e-103 1.46317293117e-102 1.39515684264e-102 1.88204418072e-102 8.79666798031e-103
