 0 1 2 3 4 5 6 7 8 9
abide 5.38374552838e-103 4.8508367556e-103 2.96971081929e-103 0.00328947368421 4.60664621329e-103 5.24036671394e-103 5.19917772794e-103 7.38486710716e-103 2.70892622394e-103 4.55438807546e-103
about 5.38374552838e-103 4.8508367556e-103 2.96971081929e-103 0.00328947368421 4.60664621329e-103 5.24036671394e-103 5.19917772794e-103 7.38486710716e-103 2.70892622394e-103 4.55438807546e-103
absence 5.38374552838e-103 4.8508367556e-103 2.96971081929e-103 3.28947368421e-103 0.00460664621329 1.3550205991e-85 5.19917772794e-103 7.38486710716e-103 2.70892622394e-103 4.55438807546e-103
absent 0.0107674910568 4.8508367556e-103 2.96971081929e-103 3.28947368421e-103 4.60664621329e-103 5.24036671394e-103 2.23926351908e-15 7.38486710716e-103 2.70892622394e-103 4.55438807546e-103
abundance 0.00538374552838 4.8508367556e-103 2.96971081929e-103 3.28947368421e-103 4.60664621329e-103 5.24036671394e-103 5.19917772794e-103 7.38486710716e-103 2.70892622394e-103 4.55438807546e-103
action 5.38374554546e-103 0.0048508367556 0.00296971081929 3.28947368421e-103 4.6066462652e-103 8.12925180364e-55 9.04475756245e-16 2.86766409396e-73 0.00270892622394 4.55438807547e-103
active 5.38374552838e-103 4.8508367556e-103 0.00296971081929 3.28947368421e-103 4.60664621329e-103 5.24036671394e-103 5.19917772796e-103 7.38486710716e-103 2.70892622394e-103 4.55438807589e-103
added 5.38374552838e-103 1.71144094011e-43 4.93519616141e-66 3.28947368421e-103 4.60664621329e-103 5.24036671394e-103 0.00512949930816 7.38527117917e-103 2.70892622394e-103 6.1037067929e-05
addition 5.38374552838e-103 4.8508367556e-103 0.00296971081929 3.28947368421e-103 4.60664621329e-103 5.24036671394e-103 5.19917772794e-103 7.38486710716e-103 2.70892622394e-103 4.55438807546e-103
admit 5.38374552845e-103 4.8508367556e-103 2.96971081929e-103 3.28947368421e-103 4.60664621329e-103 5.24036671394e-103 5.19917772794e-103 7.38486710716e-103 0.00270892622394 4.55503157028e-103
advantage 5.38374552838e-103 4.85102034909e-103 0.00296971081929 3.28947368421e-103 4.60664621329e-103 5.24036671394e-103 5.19917772794e-103 7.38486710716e-103 2.70892622394e-103 4.55733191105e-103
advised 5.38374552838e-103 4.12218321911e-25 0.00296971081929 3.28947368421e-103 4.60664621329e-103 5.24036671394e-103 5.19917772794e-103 7.38486710716e-103 2.70892622394e-103 5.56310005453e-52
affections 5.38374552838e-103 8.92291049237e-95 0.00296971081929 3.28947368421e-103 4.60664621329e-103 5.24036671394e-103 5.19917772794e-103 7.38486710716e-103 2.70892622394e-103 8.19594008487e-60
after 5.38374552838e-103 5.78758265925e-92 0.00593942163859 3.28947368421e-103 4.60664621329e-103 5.24036671394e-103 1.10614479652e-68 7.38486710716e-103 2.70892622394e-103 4.55438807546e-103
afterwards 5.38374552838e-103 4.8508367556e-103 2.97022706222e-103 3.28947368421e-103 4.60664621329e-103 5.55744456843e-62 5.19917772794e-103 5.9166739259e-05 2.70892622394e-103 0.00451789882144
against 8.05089771533e-90 4.8508367556e-103 2.96971311262e-103 3.28947368421e-103 0.0029605049832 4.58384011457e-28 7.3403952911e-86 7.38538324473e-103 0.00367693525698 4.55486188081e-103
age 5.38374552838e-103 4.8508367556e-103 2.96971081929e-103 0.00328947368421 4.60664621329e-103 5.24036671394e-103 5.19917772794e-103 7.38486710716e-103 2.70892622394e-103 4.55438807546e-103
air 5.38374552838e-103 4.8508367556e-103 2.96971081929e-103 0.00328947368421 4.60664621329e-103 5.24036671394e-103 5.19917772794e-103 7.38486710716e-103 2.70892622394e-103 4.55438807546e-103
alchemy 5.38374552838e-103 4.8508367556e-103 2.96971081929e-103 0.00657894736842 4.60664621329e-103 5.24036671394e-103 5.19917772794e-103 7.38486710716e-103 2.70892622394e-103 4.55438807546e-103
all 1.05172403794e-29 0.013467045338 0.00321238300299 3.28947368421e-103 1.78478334568e-23 0.0515803140433 1.32533146742e-43 1.32369035421e-24 0.0138445952541 0.00996699840732
allow 5.38374552838e-103 4.8508367556e-103 2.96971081929e-103 0.00328947368421 4.60664621329e-103 5.24036671394e-103 5.19917772794e-103 7.38486710716e-103 2.70892622394e-103 4.55438807546e-103
alone 5.38374552838e-103 4.8508367556e-103 3.97990509383e-71 0.00328947368421 0.00921329242657 6.86465966219e-86 6.87351185415e-95 0.00738486710716 2.70892622394e-103 4.55438807558e-103
although 1.87499689849e-69 4.8508367556e-103 2.96971081929e-103 3.28947368421e-103 4.60664621329e-103 5.24036671394e-103 5.19917772794e-103 7.38486710716e-103 0.00541785244788 4.55792211447e-103
am 5.38374552838e-103 4.85167728405e-103 0.00296971081929 3.28947368421e-103 0.00493321619614 0.00535598229073 7.23161029569e-59 7.38652583923e-103 0.00516604814829 5.97960396243e-101
among 5.38374552838e-103 4.8508367556e-103 2.96971081929e-103 3.28947368421e-103 0.00460664621329 5.34280837251e-57 5.19917772794e-103 7.38486710716e-103 2.71156980182e-103 4.55438807546e-103
an 5.38374552838e-103 9.50665245675e-77 1.16194265854e-57 3.28947368421e-103 4.60664621329e-103 5.24036671394e-103 0.00519917772794 0.0147697342143 2.70892622394e-103 4.55438807546e-103
and 0.0405506139248 6.6292276397e-73 0.0059565890145 3.28947368421e-103 8.19493367593e-77 0.0208386869525 7.16603780002e-31 1.09935469082e-63 0.128494966216 0.0685512486383
annoy 5.38374552838e-103 4.8508367556e-103 2.96971081929e-103 0.00328947368421 4.60664621329e-103 5.24036671394e-103 5.19917772794e-103 7.38486710716e-103 2.70892622394e-103 4.55438807546e-103
another 5.38374552838e-103 4.8508367556e-103 2.96971081929e-103 0.00328947368421 4.60664621329e-103 5.24036671394e-103 5.19917772794e-103 7.38486710716e-103 2.70892622394e-103 4.55438807546e-103
appear 5.38374552838e-103 4.8508367556e-103 2.96971081929e-103 0.00328947368421 4.60664621329e-103 5.24036671394e-103 5.19917772794e-103 7.38486710716e-103 2.70892622394e-103 4.55438807546e-103
appetite 5.38374552838e-103 2.99680627844e-27 2.96971081929e-103 0.00328947368421 4.60664621329e-103 5.24036671394e-103 5.19917772794e-103 0.00738486710716 2.70892622394e-103 4.55438807566e-103
april 5.38374552838e-103 4.8508367556e-103 2.96971081929e-103 3.28947368421e-103 4.60664621343e-103 0.00524036671394 5.19917772794e-103 7.38486710716e-103 2.70892622394e-103 4.55438807546e-103
are 0.00538374552838 0.0145816733758 0.0152866362328 3.28947368421e-103 0.00460664621329 2.10258000587e-81 2.66436432217e-43 0.00625107775737 3.49168103782e-31 2.47679718806e-37
aright 5.38374552838e-103 4.8508367556e-103 2.96971081929e-103 0.00328947368421 4.60664621329e-103 5.24036671394e-103 5.19917772794e-103 7.38486710716e-103 2.70892622394e-103 4.55438807546e-103
array 5.38374552838e-103 4.8508367556e-103 2.96971081929e-103 0.00328947368421 4.60664621329e-103 5.24036671394e-103 5.19917772794e-103 7.38486710716e-103 2.70892622394e-103 4.55438807546e-103
art 1.95311356543e-10 4.85089738872e-103 0.00297113403733 0.00986842105263 7.78459041317e-13 0.021001868619 0.0103557793806 1.14981153069e-102 1.6582052633e-31 3.8707600329e-86
as 3.89561033081e-47 3.98396130693e-67 4.85335491863e-42 3.28947368421e-103 9.82742950242e-49 0.00538791447426 0.0184018932301 0.00738499769337 0.0134865348914 0.0111759547694
assistance 5.38374552838e-103 0.0048508367556 2.96971081929e-103 3.28947368421e-103 4.60664621329e-103 5.24036671394e-103 1.76932458913e-68 7.38486710716e-103 2.70892622394e-103 4.55438807547e-103
assured 5.38374552838e-103 0.000145819104118 0.0028804395053 3.28947368421e-103 4.60664621329e-103 5.24036671394e-103 5.19917772794e-103 7.38486710716e-103 2.70892622394e-103 5.26504537046e-46
astronomy 5.38374552838e-103 4.8508367556e-103 2.96971081929e-103 0.00328947368421 4.60664621329e-103 5.24036671394e-103 5.19917772794e-103 7.38486710716e-103 2.70892622394e-103 4.55438807546e-103
attaint 5.38374552838e-103 4.8508367556e-103 0.00296971081929 3.28947368421e-103 4.60664621329e-103 5.24036671394e-103 5.19917772794e-103 7.38486710716e-103 2.70892622394e-103 4.55438807546e-103
audit 0.00538374552838 4.8508367556e-103 2.96972573765e-103 3.28947368421e-103 4.60664621329e-103 5.24086910876e-103 5.19917772794e-103 7.39361913495e-103 5.98851327847e-89 8.61092119735e-103
away 5.38374552838e-103 4.8508367556e-103 2.96971081929e-103 0.00657894736842 4.60664621329e-103 5.24036671394e-103 5.19917772794e-103 7.38486710716e-103 2.70892622394e-103 4.55438807546e-103
bad 5.38374552838e-103 1.28342235557e-47 0.00296971081929 3.28947368421e-103 4.60664621329e-103 5.24036671394e-103 3.65201549439e-53 1.44082038516e-24 2.70892622394e-103 4.55438807546e-103
bail 5.38374552838e-103 4.8508367556e-103 2.96971081929e-103 3.28947368421e-103 0.00460664621329 2.00127212645e-96 5.19917772794e-103 7.38486710716e-103 2.70892622394e-103 4.55438807546e-103
bare 5.38374552838e-103 4.8508367556e-103 2.96971081929e-103 3.28947368421e-103 0.00370527211123 2.58039263554e-35 5.19917772794e-103 7.38486710716e-103 0.00323897690063 4.56007540956e-103
bareness 5.38374552838e-103 0.0048508367556 2.96971081929e-103 3.28947368421e-103 4.60664621329e-103 5.24036671394e-103 5.19917772794e-103 7.38486710717e-103 2.70892622394e-103 4.55438807548e-103
barren 5.38374552838e-103 3.10891254218e-73 0.00296995778076 3.28947368421e-103 0.0046062631241 1.50934897445e-33 9.66621690525e-68 7.38486710717e-103 1.72827660382e-37 4.55438807547e-103
bars 5.38374552838e-103 4.8508367556e-103 2.96971081929e-103 3.28947368421e-103 4.60664621329e-103 0.00524036671394 5.19917772794e-103 7.38486710716e-103 2.70892622394e-103 4.55438807546e-103
base 5.38374552838e-103 4.8508367556e-103 5.62596971071e-55 3.28947368421e-103 4.60664621329e-103 5.24036671394e-103 5.19917772794e-103 0.00738486710716 2.70892622394e-103 4.55438807546e-103
bastard 5.38374552838e-103 1.19564304098e-46 0.00296971081929 3.28947368421e-103 4.60664621329e-103 5.24036671394e-103 5.19917772794e-103 0.00738486710716 2.70892622394e-103 4.55438807566e-103
be 7.19166219901e-57 0.000108433281963 0.0115590231425 0.00657894736842 0.00460664621329 1.29896356956e-70 0.0247450590057 4.58448436413e-38 2.70892622394e-103 0.00603876660324
bear 5.38374552838e-103 4.8508367556e-103 0.00296971081929 3.28947368421e-103 4.60664621329e-103 5.24036671394e-103 5.19917772794e-103 7.38486710716e-103 2.70892622394e-103 4.55438808167e-103
bearer 5.38374552838e-103 0.0048508367556 2.96971081929e-103 3.28947368421e-103 4.61086910334e-103 5.24036671394e-103 5.19917772794e-103 7.38486710723e-103 2.70892622394e-103 4.55438807546e-103
bearing 5.38374552838e-103 4.8508367556e-103 2.96971081929e-103 0.00328947368421 4.60664621329e-103 5.24036671394e-103 5.19917772794e-103 7.38486710716e-103 2.70892622394e-103 4.55438807546e-103
beauties 5.38374552838e-103 4.8508367556e-103 2.96971081929e-103 3.28947368421e-103 0.00460664621329 3.38103232273e-92 5.19917772794e-103 7.38486710716e-103 2.70892622394e-103 4.55438807546e-103
beauty 5.38374552838e-103 0.00558708543757 0.0025189750418 3.28947368421e-103 5.42343712557e-20 3.25289104903e-18 0.00533829838839 1.7867432047e-82 0.00263644022229 1.3467384801e-46
