 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
abide 1.05925552278e-102 8.94078292041e-103 8.96313927321e-103 1.00369290988e-102 1.29954130525e-102 7.42479346815e-103 9.79889215318e-103 7.02135390787e-103 1.3396789683e-102 1.13674662729e-102 1.47048130627e-102 8.10196720371e-103 1.51510271873e-102 3.64610389206e-103 9.89852129253e-103 3.41715088341e-103 1.27668163514e-102 1.44478482135e-102 8.2051681611e-103 0.00793399746273
about 1.05925552278e-102 8.94078292041e-103 8.96313927321e-103 1.00369290988e-102 1.29954130525e-102 7.42479346815e-103 9.79889215318e-103 7.02135390787e-103 1.3396789683e-102 1.13674662729e-102 1.47048130627e-102 8.10196720371e-103 1.51510271873e-102 3.64610389206e-103 9.89852129253e-103 3.41715088341e-103 0.0127668163514 1.44478482135e-102 8.2051681611e-103 7.93399746273e-103
absence 1.05925552278e-102 8.94078292041e-103 8.96313927321e-103 1.00369290988e-102 1.29954130525e-102 7.42479346815e-103 9.79889215318e-103 7.02135390787e-103 1.3396789683e-102 1.13674662729e-102 1.47048130627e-102 8.10196720371e-103 1.51510271873e-102 0.00364610389206 9.89852129253e-103 3.41715088341e-103 1.27668163514e-102 1.44478482135e-102 8.2051681611e-103 7.93399746273e-103
absent 1.05925552278e-102 8.94078292041e-103 8.96313927321e-103 1.00369290988e-102 1.29954130525e-102 7.46460690196e-103 9.79889215318e-103 7.02135390787e-103 1.3396789683e-102 1.13674662729e-102 1.47048130627e-102 8.10196720371e-103 1.51510271876e-102 3.64610389206e-103 0.0197970425851 3.41715088341e-103 1.27668163514e-102 1.44478482135e-102 8.2051681611e-103 7.93399746273e-103
abundance 0.0105925552278 8.94078292041e-103 8.96313927321e-103 1.00369290988e-102 1.29954130525e-102 7.42479346815e-103 9.79889215318e-103 7.02135390787e-103 1.3396789683e-102 1.13674662729e-102 1.47048130627e-102 2.35862811775e-26 1.51510271873e-102 3.64610389206e-103 9.89852129253e-103 3.41715088341e-103 1.27668163514e-102 1.44478482135e-102 8.2051681611e-103 7.93399746273e-103
action 1.16760052002e-102 8.94078292041e-103 0.0179262785464 1.00369290988e-102 1.29954130525e-102 7.42479346815e-103 9.79894287147e-103 7.04290798314e-103 1.34380345842e-102 1.13674662729e-102 0.0147048130627 8.10196720371e-103 1.51510271873e-102 1.63956555851e-33 9.89852129253e-103 3.41736867286e-103 1.27668163514e-102 1.44478482135e-102 8.2051681611e-103 7.93399746273e-103
active 1.05925552278e-102 8.94078292041e-103 8.96313927321e-103 1.00369290988e-102 1.29954130525e-102 7.42479346815e-103 9.79889215318e-103 7.02135390787e-103 1.3396789683e-102 1.13674662729e-102 1.47048130627e-102 8.10196720371e-103 0.0151510271873 3.66117703877e-103 9.89852129253e-103 3.41715088341e-103 1.27668163514e-102 1.44478482135e-102 8.2051681611e-103 7.93399746273e-103
added 1.05925552278e-102 8.94078292041e-103 8.96313927321e-103 1.00369290988e-102 1.29954130525e-102 7.42479346815e-103 9.79889215318e-103 8.17598099671e-54 1.3396789683e-102 1.37383000424e-51 1.47048130627e-102 8.10571696451e-103 1.52198464993e-102 3.64610389206e-103 9.89852129253e-103 3.41715088341e-103 1.27668163514e-102 1.44478482135e-102 0.0082051681611 7.93399746273e-103
addition 1.05925552278e-102 8.94078292041e-103 8.96313927321e-103 1.00369290988e-102 1.29954130525e-102 7.42479346815e-103 9.79889215318e-103 7.02135390787e-103 0.013396789683 1.13674662729e-102 1.47048130627e-102 8.10196720371e-103 1.51510271873e-102 3.64610389206e-103 9.89852129253e-103 3.41715088341e-103 1.27668163514e-102 1.44478482135e-102 8.2051681611e-103 7.93399746273e-103
admit 1.05925552278e-102 8.9547248348e-103 8.96313927321e-103 1.00369290988e-102 1.29954130525e-102 7.42479346815e-103 9.83849998722e-103 7.02135390787e-103 1.3396789683e-102 1.13674662729e-102 1.47048130627e-102 8.10196720371e-103 1.51510271873e-102 3.64610389206e-103 9.89852129253e-103 0.00341715088341 1.27668163514e-102 1.44478482135e-102 8.2051681611e-103 7.93399746273e-103
advantage 1.05925552278e-102 8.94078292041e-103 8.96313927321e-103 1.00369290988e-102 1.29954130525e-102 7.42479346815e-103 9.79889215318e-103 7.02135390787e-103 0.013396789683 1.13674662729e-102 1.47048130627e-102 8.10196720371e-103 1.51510271873e-102 3.64610389206e-103 9.89852129253e-103 3.41715088341e-103 1.27668163514e-102 1.44478482135e-102 8.2051681611e-103 7.93399746273e-103
advised 1.05925552278e-102 8.94078292041e-103 8.96313927321e-103 1.00369290988e-102 1.29954130525e-102 7.42479346815e-103 9.79889215318e-103 7.02135390787e-103 0.013396789683 1.13674662729e-102 1.47048130627e-102 8.10196720371e-103 1.51510271873e-102 3.64610389206e-103 9.89852129253e-103 3.41715088341e-103 1.27668163514e-102 1.44478482135e-102 8.2051681611e-103 7.93399746273e-103
affections 1.05925552278e-102 8.94078292041e-103 8.96313927321e-103 1.00369290988e-102 1.29954130525e-102 7.42479346815e-103 9.79889215318e-103 7.02135390787e-103 1.3396789683e-102 1.13674662729e-102 0.0147048130627 8.10196720371e-103 1.51510271873e-102 3.64610389206e-103 9.89852129253e-103 3.41715088341e-103 1.27668163514e-102 1.44478482135e-102 8.2051681611e-103 7.93399746273e-103
after 1.05925552278e-102 8.94078292041e-103 8.96313927321e-103 1.00369290988e-102 1.29954236786e-102 0.00742479346815 1.88560679401e-76 7.02135390787e-103 0.013396789683 1.13674662729e-102 1.47048130627e-102 8.10196720371e-103 1.51510271873e-102 3.64610389206e-103 9.89852129253e-103 3.41715088341e-103 1.27668163514e-102 1.44478482135e-102 8.2051681611e-103 7.93399746273e-103
afterwards 1.05925552278e-102 8.94078292041e-103 8.96313927321e-103 1.00369290988e-102 1.29954130525e-102 7.42479346815e-103 9.79889215318e-103 7.02135390787e-103 1.3396789683e-102 1.13674662729e-102 1.47048130627e-102 8.10196720371e-103 1.51510271873e-102 3.64610389206e-103 9.89852129253e-103 3.41715088341e-103 1.27668163514e-102 1.44478482135e-102 0.0082051681611 7.93399746273e-103
against 1.34559110796e-81 8.95467011967e-103 8.96313927321e-103 1.00369290988e-102 1.31894278575e-102 7.42479346815e-103 9.84146009709e-103 7.02135390787e-103 1.3396789683e-102 1.13674662729e-102 1.47048130627e-102 8.10196720371e-103 3.22812143275e-84 0.00363188762791 9.89852129253e-103 0.00343047445318 1.27668163514e-102 1.44478482135e-102 8.2266215236e-103 7.93399746273e-103
age 1.05925552278e-102 8.94078292041e-103 8.96313927321e-103 1.00369290988e-102 1.29954130525e-102 7.42479346815e-103 9.79889215318e-103 7.02135390787e-103 1.3396789683e-102 1.13674662729e-102 1.47048130627e-102 8.10196720371e-103 1.51510271873e-102 3.64610389206e-103 9.89852129253e-103 3.41715088341e-103 1.27668163514e-102 1.44478482135e-102 8.2051681611e-103 0.00793399746273
air 1.05925552278e-102 8.94078292041e-103 8.96313927321e-103 1.00369290988e-102 1.29954130525e-102 7.42479346815e-103 9.79889215318e-103 7.02135390787e-103 1.3396789683e-102 1.13674662729e-102 1.47048130627e-102 8.10196720371e-103 1.51510271873e-102 3.64610389206e-103 9.89852129253e-103 3.41715088341e-103 1.27668163514e-102 1.44478482135e-102 8.2051681611e-103 0.00793399746273
