 0 1 2 3 4
abide 1.43862918226e-103 2.43258812381e-103 2.53261688767e-103 1.9840313168e-103 0.00284142381574
about 1.43862918226e-103 2.43258812381e-103 2.53261688767e-103 1.9840313168e-103 0.00284142381574
absence 0.00143862918226 2.43258812381e-103 7.35557026065e-100 2.00702895741e-103 2.84142381574e-103
absent 1.57384819282e-53 1.14924550503e-66 0.00506523377534 9.53645130772e-47 2.84327816191e-103
abundance 0.00143862918226 2.43258812381e-103 7.75041653937e-100 2.00702821532e-103 2.84142381574e-103
action 0.0043158873668 3.04319015404e-10 8.86963068621e-75 3.53589997801e-24 2.84533267587e-103
active 1.4386292343e-103 2.62703558621e-103 0.00253261688767 1.98871084605e-103 2.84142381574e-103
added 1.43901853982e-103 2.43318095208e-103 0.00253261688767 1.98874002323e-103 2.84142381574e-103
addition 0.00143862918226 2.43258812381e-103 2.53738536377e-103 1.9840313168e-103 2.84142381574e-103
admit 1.43862918226e-103 1.40886863025e-83 2.53261688767e-103 0.0019840313168 2.84142381574e-103
advantage 0.00143862918226 2.43258812381e-103 2.5336082158e-103 1.9840313168e-103 2.84142381574e-103
advised 0.00143862918226 2.43419255036e-103 2.53360799753e-103 1.9840313168e-103 2.84142381574e-103
affections 0.00143862918226 2.43265965611e-103 2.53360815351e-103 1.9840313168e-103 2.84142381574e-103
after 0.00287725836451 2.4328040868e-103 2.54002877175e-103 9.75297813395e-77 2.84142381574e-103
afterwards 1.43875709666e-103 2.43338577547e-103 0.00253261688767 1.18415398552e-98 2.84698760395e-103
against 1.43862918226e-103 1.78833844009e-06 2.5355443066e-103 0.00396660405561 2.84142381574e-103
age 1.43862918226e-103 2.43258812381e-103 2.53261688767e-103 1.9840313168e-103 0.00284142381574
air 1.43862918226e-103 2.43258812381e-103 2.53261688767e-103 1.9840313168e-103 0.00284142381574
alchemy 1.43862918226e-103 2.43258812381e-103 2.53261688767e-103 1.9840313168e-103 0.00568284763148
all 0.0067447972462 9.68412056808e-05 2.49076088211e-32 0.032283840081 2.84425298431e-103
allow 1.43862918226e-103 2.43258812381e-103 2.53261688767e-103 1.9840313168e-103 0.00284142381574
alone 0.00142795812078 6.44529503931e-97 0.00254660592448 5.380149272e-87 0.00568822920351
although 1.43862918226e-103 0.00486517624762 2.53261688767e-103 2.01878194302e-103 2.84142381574e-103
am 0.00373225383938 0.00220534501682 1.37234240938e-68 0.00297426842902 2.84142381574e-103
among 1.43965749911e-103 0.00243258812381 2.53261688767e-103 1.9840313168e-103 2.85944908741e-103
an 1.43862918226e-103 2.44107259712e-103 2.38328783228e-45 0.00595209395039 2.84142381574e-103
and 0.00291310400134 0.160460535379 0.00987141683649 0.00816326178818 2.90868003226e-103
annoy 1.43862918226e-103 2.43258812381e-103 2.53261688767e-103 1.9840313168e-103 0.00284142381574
another 1.43862918226e-103 2.43258812381e-103 2.53261688767e-103 1.9840313168e-103 0.00284142381574
appear 1.43862918226e-103 2.43258812381e-103 2.53261688767e-103 1.9840313168e-103 0.00284142381574
appetite 1.43862918226e-103 2.43324868873e-103 0.00253137784718 1.9840313168e-103 0.00284281393485
april 1.43862918226e-103 2.4331855662e-103 0.00253261688767 1.9840313168e-103 2.84142381574e-103
are 0.00991023245282 0.00749958924826 0.0026044654082 6.4211156818e-29 2.84153914284e-103
aright 1.43862918226e-103 2.43258812381e-103 2.53261688767e-103 1.9840313168e-103 0.00284142381574
array 1.43862918226e-103 2.43258812381e-103 2.53261688767e-103 1.9840313168e-103 0.00284142381574
art 0.00145217560674 3.38357831437e-59 2.25884169219e-19 0.0118611169985 0.00855919987229
as 1.44322660513e-103 0.0133052756151 0.00153863268534 0.0137352040307 2.84469528113e-103
assistance 0.00143862918226 9.51125327648e-22 3.21230629128e-33 5.20130512921e-38 2.84146477386e-103
assured 0.00143862918226 2.43259742868e-103 2.5374033082e-103 1.9840313168e-103 2.84142381574e-103
astronomy 1.43862918226e-103 2.43258812381e-103 2.53261688767e-103 1.9840313168e-103 0.00284142381574
attaint 0.00143862918226 2.43258812381e-103 2.5336082158e-103 1.9840313168e-103 2.84142381574e-103
audit 0.00143862918212 4.18457007855e-55 2.40064032743e-13 1.29731125646e-68 2.84705061568e-103
away 1.43862918226e-103 2.43258812381e-103 2.53261688767e-103 1.9840313168e-103 0.00568284763148
bad 1.43862918425e-103 1.63293069359e-55 0.00253261688767 1.9893701783e-103 2.84142390044e-103
bail 1.43862918226e-103 2.43291781517e-103 0.00253261688767 1.19822677705e-25 2.84142381574e-103
bare 1.4396445796e-103 0.00486517624762 2.53261688767e-103 4.70236935607e-65 2.84142381574e-103
bareness 0.00143862918226 2.43258812381e-103 2.5336082158e-103 1.9840313168e-103 2.84142381574e-103
barren 0.00287725836451 2.43258967597e-103 2.5444734781e-103 1.90251191406e-30 2.84142381574e-103
bars 1.43935080392e-103 2.43258812381e-103 3.53137233002e-33 0.0019840313168 2.84144136943e-103
base 1.43862918226e-103 2.44098171316e-103 9.37087968266e-33 0.0019840313168 2.84142381574e-103
bastard 0.00143869637925 2.43928916527e-103 2.53360760965e-103 0.00198393864459 2.84142381574e-103
be 0.00749753963128 3.34993284607e-103 0.0146587197671 4.83693059808e-13 0.00568409904793
bear 1.44028526709e-103 2.45639222399e-103 6.75174576144e-33 0.0019840313168 2.84142381574e-103
bearer 1.43862918226e-103 3.10312655149e-74 2.41424877672e-87 1.9840313168e-103 0.00284142381574
bearing 1.43862918226e-103 2.43258812381e-103 2.53261688767e-103 1.9840313168e-103 0.00284142381574
beauties 1.51825841647e-79 2.72645563171e-70 2.53261688767e-103 1.9840313168e-103 0.00284142381574
beauty 0.00288456702157 0.00232487516933 2.43091084929e-18 0.002061803094 2.8593583205e-103
beautys 0.00863177509354 2.43661761908e-103 7.20476194375e-94 1.14486998033e-55 2.84142381574e-103
been 0.00143862918226 2.43258812381e-103 2.53738536377e-103 1.9840313168e-103 2.84142381574e-103
before 1.43862918226e-103 9.22379716605e-89 2.56581568118e-103 1.9840313168e-103 0.00852427144721
beggar 0.00143862918226 2.43258812381e-103 2.5336082158e-103 1.9840313168e-103 2.84142381574e-103
beguile 0.00143862916715 7.02164456247e-91 2.65961468715e-11 6.5068715875e-78 2.84162569916e-103
beguiled 1.43862918226e-103 2.43258812381e-103 2.53261688767e-103 1.9840313168e-103 0.00284142381574
behold 0.00287725836451 1.14059041164e-96 1.6668446139e-83 4.42021197485e-102 7.91407336916e-21
being 1.43862918226e-103 0.00222662151757 2.53820243112e-103 0.00215201873439 0.00284142381574
believe 1.43862918226e-103 3.69706899278e-101 2.58005836828e-103 0.0019840313168 2.84142381574e-103
bell 1.43862918226e-103 2.43258812381e-103 2.53261688767e-103 1.9840313168e-103 0.00284142381574
beloved 0.00143862918226 2.43689683586e-103 1.73102973855e-60 2.00146580047e-103 4.81738375491e-77
bends 1.44047752453e-103 0.00243258812381 2.53261688767e-103 3.84393682082e-33 2.84225296383e-103
benefit 1.45853614424e-103 2.43320453815e-103 0.00253261688767 4.41107736086e-72 2.84378481854e-103
bent 1.43862918226e-103 2.44376495708e-103 4.16024839169e-34 0.0019840313168 2.84142381574e-103
beside 1.43862918226e-103 2.43318554492e-103 0.00253261688767 1.9840313168e-103 0.00284142381574
besmeared 1.43862918226e-103 2.89873145216e-49 0.00253261688767 1.9840313168e-103 2.84509990347e-103
best 1.15812051114e-60 2.45356786469e-103 0.00506523377534 4.65717906419e-37 2.84731835475e-103
better 0.00122793701865 2.43258846916e-103 1.20727886944e-55 0.00227459948819 2.84142381574e-103
beweep 1.43862918309e-103 3.4617291395e-51 0.00253261688767 2.00716513167e-103 2.84142391021e-103
beyond 1.43862918226e-103 0.00243258812381 2.53261688767e-103 2.00180824271e-103 2.84142381574e-103
birds 0.00143862918226 2.4327295868e-103 2.54106663511e-103 1.9840313168e-103 2.84142381574e-103
black 1.43868689471e-103 0.00243258812381 2.53261688767e-103 1.9840313168e-103 2.84243013353e-103
blessed 0.00143862918226 1.50756361212e-65 3.88957090869e-101 9.48741463379e-83 0.00284142381574
blessing 1.43862918226e-103 2.4331855662e-103 0.00253261688767 1.9840313168e-103 2.84142381574e-103
blind 0.00143862918226 2.43486588836e-103 1.66516527696e-92 1.9840313168e-103 2.84142381574e-103
blood 1.43862918226e-103 2.43258812381e-103 2.53261688767e-103 1.9840313168e-103 0.00284142381574
bloody 1.43862918226e-103 2.43315660385e-103 0.00253261688767 1.62739743061e-102 2.84142381574e-103
blunter 5.61035225663e-29 2.43267224495e-103 0.00253261688767 2.00446544392e-103 2.84142381574e-103
blunting 1.44145853696e-103 0.00243258812381 2.53261688767e-103 3.95562907656e-33 2.84142690037e-103
boast 1.43862918226e-103 2.43258812381e-103 2.53261688767e-103 1.9840313168e-103 0.00284142381574
bodys 0.00143862918226 2.44006910871e-103 6.80180067364e-74 0.0019840313168 2.84142381574e-103
bonds 0.000399236680033 2.43311765449e-103 0.00436240251729 6.22043659403e-23 2.8414238273e-103
bones 1.44575871077e-103 8.3599153745e-98 0.00253261688767 2.02844985798e-103 2.84142381574e-103
book 1.43980943832e-103 2.44138668208e-103 0.00253261688767 1.97606693461e-102 0.00284142381574
boot 1.4504931259e-103 2.28029788574e-78 1.16844923562e-94 1.98626840737e-103 0.00284142381574
bore 0.00143862918226 6.22386336299e-98 1.96320604456e-24 4.40545576067e-103 2.84193184557e-103
born 1.45369779244e-103 2.43323024361e-103 0.00253042471207 2.36913982722e-73 0.0028438832876
borne 0.00143862918226 2.43441287305e-103 2.5341058884e-103 1.9840313168e-103 2.84142381574e-103
both 1.43902315955e-103 7.87481562609e-32 2.53261688767e-103 0.0019840313168 2.84223987281e-103
bound 1.43862918226e-103 0.00486517624762 2.53261688767e-103 1.98874580917e-103 2.84142381574e-103
brains 0.00143862918226 2.43258812381e-103 2.53738536377e-103 1.9840313168e-103 2.84142381574e-103
brand 1.43862918226e-103 2.43258812381e-103 2.53261688767e-103 1.9840313168e-103 0.00284142381574
brass 0.0011885340594 2.43774054413e-103 2.66637894446e-99 0.00232894059713 2.84155956032e-103
brave 0.00143862918226 2.43635774625e-103 1.19025229071e-42 2.00820669986e-103 2.84142381574e-103
bravry 0.00143862918226 2.35398069885e-82 1.46995292697e-44 6.94364490571e-52 2.84650850501e-103
breast 1.43862918226e-103 2.43328672132e-103 0.00253261688767 4.23971041033e-89 2.84142381574e-103
breathe 1.43885372056e-103 3.2512169477e-54 0.00253261688767 1.99116033635e-103 2.84679515914e-103
breathed 1.43862918226e-103 0.00243258812381 2.53261688767e-103 2.00381931479e-103 2.84142381574e-103
breeds 1.43862918226e-103 2.43258812381e-103 2.53261688767e-103 1.9840313168e-103 0.00284142381574
bright 9.42318373239e-81 2.62431505299e-75 0.00506523377534 1.57738839398e-39 2.84225990366e-103
brightness 1.43862918226e-103 2.43779169716e-103 1.86660519263e-27 0.0019840313168 2.84142381574e-103
bring 0.00143862918226 2.43258812381e-103 2.55156967864e-103 2.00653522715e-103 2.84142381574e-103
broke 0.00143862918226 4.11724948833e-77 2.53261688767e-103 1.9840313168e-103 2.84142381574e-103
brood 1.43862918226e-103 2.43258812381e-103 2.53261688767e-103 1.9840313168e-103 0.00284142381574
brow 1.43862918226e-103 2.43258812381e-103 2.53261688767e-103 1.9840313168e-103 0.00568284763148
bud 1.43862918226e-103 2.43258812381e-103 2.53261688767e-103 1.9840313168e-103 0.00284142381574
built 1.43862918226e-103 5.94662461596e-65 1.84967091985e-45 1.9840313168e-103 0.00284142381574
buried 0.00143862918226 2.43258812381e-103 2.5336082158e-103 1.9840313168e-103 0.00284142381574
burn 0.00144729703321 0.00241793159415 2.53967473929e-103 1.34947471425e-27 2.84191146461e-103
burning 1.43897128285e-103 2.43316966957e-103 0.00253261688767 2.02814319255e-103 2.84142381574e-103
burthen 1.43862918226e-103 1.98765303709e-75 0.00253261688767 1.9840313168e-103 2.84587115135e-103
but 5.22469075884e-24 0.0221747813394 0.00983740444411 1.96484118088e-29 2.85380178978e-103
by 0.00430288647201 0.00687901329947 0.00801325385457 0.00832645109473 0.00233117312794
call 0.00143862918226 2.43258812381e-103 4.15421558734e-86 1.70115374754e-100 2.84142381574e-103
called 1.43862918226e-103 0.00243258812381 2.53261688767e-103 1.99700317686e-103 2.84142381574e-103
came 1.43862918226e-103 2.48822342964e-82 2.53261688767e-103 0.0019840313168 2.84142381574e-103
can 0.00143328292109 1.64095561419e-37 0.00504815307885 0.00200478528943 2.84409065303e-103
canker 0.00287725836451 2.62071583318e-103 6.2203202998e-71 2.02984503751e-83 2.84165212557e-103
carry 1.43989608212e-103 2.43316747442e-103 0.00253261688767 2.00316382733e-103 2.84142381574e-103
censures 0.00143862918226 2.45381521295e-103 2.53729708697e-103 1.9840313168e-103 2.84142381574e-103
change 1.43862918226e-103 4.08817159776e-51 0.00223557835361 1.9840313168e-103 0.00317468083892
charactered 1.4402640808e-103 0.00243258812381 2.53261688767e-103 4.93497622781e-37 2.84144047907e-103
child 1.45343370184e-103 2.43258812381e-103 5.88030107023e-30 0.00198403130504 0.00284142383258
choirs 0.00143862918226 2.43258812381e-103 5.61010892679e-101 2.00702820543e-103 2.84142381574e-103
churl 0.00143862918226 2.43258812381e-103 8.43943671319e-99 1.1689955298e-74 2.84142381574e-103
clearer 1.43862918226e-103 2.43258812381e-103 2.53261688767e-103 1.9840313168e-103 0.00284142381574
cloak 1.43862918226e-103 2.43258812381e-103 2.53261688767e-103 1.9840313168e-103 0.00284142381574
cold 0.00144044183046 0.00242952310431 2.33650848361e-100 2.58082589226e-45 2.85931542527e-103
coloured 0.00143862918226 2.43258812381e-103 2.53738536377e-103 1.9840313168e-103 2.84142381574e-103
come 1.43862918226e-103 2.43258812381e-103 2.53261688767e-103 1.9840313168e-103 0.00284142381574
comfort 0.00157516994942 2.67494337424e-74 0.00229224538886 1.98667614845e-103 2.02307545494e-68
commend 1.43862918226e-103 2.43258812381e-103 2.53261688767e-103 1.9840313168e-103 0.00284142381574
comment 0.00143862914929 2.43353798285e-103 1.19347699847e-92 2.01050973975e-103 0.00284142388085
comments 2.16256073796e-100 4.33316342756e-13 2.53261688767e-103 0.00198403131644 2.84173100056e-103
compiled 1.43862918226e-103 2.43258812381e-103 2.53261688767e-103 1.9840313168e-103 0.00284142381574
compounds 0.00287725836451 2.43308875076e-103 2.54581295828e-103 1.99453385112e-103 2.84142381574e-103
concord 1.43862918226e-103 5.14722737596e-61 2.24466687695e-45 1.9840313168e-103 0.00284142381574
confined 0.00143862918226 2.43352300391e-103 2.53753693652e-103 1.9840313168e-103 2.84142381574e-103
confounds 1.43862918226e-103 2.43258812381e-103 2.53261688767e-103 1.9840313168e-103 0.00284142381574
conquest 0.00143862918226 2.44358442462e-103 3.93378197461e-72 2.18184667696e-64 2.84144666228e-103
conscience 1.44071773735e-103 2.453105397e-103 0.00253261688767 1.10902649e-72 2.84142504965e-103
consumst 1.43864305189e-103 1.23976408272e-46 1.31632324585e-35 0.0019840313168 2.8414582434e-103
contend 1.43862918226e-103 2.43258812381e-103 2.53261688767e-103 1.9840313168e-103 0.00284142381574
control 1.43862918226e-103 2.44017915517e-103 0.00253261688767 1.9840313168e-103 2.84142381574e-103
convertest 1.43862918226e-103 2.43258812381e-103 2.53261688767e-103 1.9840313168e-103 0.00284142381574
coral 1.43862918226e-103 0.00243258812381 2.53261688767e-103 1.42875346664e-99 2.84142381574e-103
correspondence 2.41629174788e-97 4.80928445579e-43 0.00253261688767 2.00669312326e-103 2.84497580804e-103
cost 4.15211645418e-74 2.45422586802e-103 0.00253261688767 2.18162453428e-103 2.84142381574e-103
costly 0.00143862918226 2.43592731944e-103 2.70111255015e-103 1.9840313168e-103 2.84142381574e-103
could 1.43862918226e-103 2.44582187947e-103 0.00253261688767 1.9840313168e-103 2.8415032652e-103
cover 1.43862918226e-103 2.43258812381e-103 2.53261688767e-103 1.9840313168e-103 0.00284142381574
creatures 1.43862918226e-103 0.00243258812381 2.53261688767e-103 1.9840313168e-103 2.84142381574e-103
cross 1.43862918226e-103 2.43258812381e-103 2.53261688767e-103 1.9840313168e-103 0.00284142381574
crow 1.43862918226e-103 0.00243258812381 2.53261688767e-103 2.00128613994e-103 2.84142381574e-103
cruel 1.43862918226e-103 3.47871055647e-66 0.00253053922615 1.9840313168e-103 0.00284375481058
crushed 1.43862918226e-103 0.00243258812381 2.53261688767e-103 1.9840313168e-103 2.84142381574e-103
curls 1.43863290547e-103 2.43258812381e-103 0.00253261688767 1.12553925383e-61 2.84142381574e-103
