 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
abide 6.99053530928e-103 7.03554104237e-103 4.7618395836e-103 1.10034624987e-102 9.58240467296e-103 7.35660772032e-103 1.14304874447e-102 8.94204819997e-103 9.69357095235e-103 1.2127474966e-102 7.69138573844e-103 5.49904526826e-103 1.26871143629e-102 0.00617800613293 1.86646158149e-102 1.22497326923e-102 1.44348203411e-102 4.5118872216e-103 7.24556590726e-103 1.723706779e-102
able 6.99053531581e-103 7.03554104237e-103 4.7618395836e-103 1.10034624987e-102 9.58240467296e-103 7.35660772032e-103 1.14304874447e-102 8.94204819997e-103 9.69357095235e-103 1.2127474966e-102 7.69138573844e-103 5.49904526826e-103 1.26871143629e-102 6.17800613293e-103 1.86646158149e-102 1.22497326923e-102 1.44348203411e-102 4.5118872216e-103 7.24556590726e-103 0.01723706779
absence 6.99053531906e-103 7.03554104237e-103 4.7618395836e-103 1.10034624987e-102 9.58240467296e-103 7.35660772032e-103 1.14304874447e-102 0.00894204819997 9.69357095235e-103 1.2127474966e-102 7.69138573844e-103 5.49904526826e-103 1.26871143629e-102 6.17800613293e-103 1.86646158149e-102 1.22497326923e-102 1.44348203411e-102 4.5118872216e-103 7.24556590726e-103 1.723706779e-102
abundance 6.99053531906e-103 7.03554104237e-103 4.7618395836e-103 1.10034624987e-102 9.58240467296e-103 7.35660772032e-103 1.14304874447e-102 0.00894204819997 9.69357095235e-103 1.2127474966e-102 7.69138573844e-103 5.49904526826e-103 1.26871143629e-102 6.17800613293e-103 1.86646158149e-102 1.22497326923e-102 1.44348203411e-102 4.5118872216e-103 7.24556590726e-103 1.723706779e-102
abuse 6.99053530928e-103 0.00703554104237 4.7618395836e-103 1.10034624987e-102 9.58240467296e-103 0.00735660772032 1.14304874447e-102 8.94204819997e-103 9.69357095235e-103 1.2127474966e-102 7.69138573844e-103 5.49904526826e-103 1.26871143629e-102 6.17800613293e-103 1.86646158149e-102 1.22497326923e-102 1.44348203411e-102 4.5118872216e-103 7.24556590726e-103 1.723706779e-102
accents 1.20208354462e-72 7.03554104237e-103 4.7618395836e-103 1.11483315898e-102 9.58240467296e-103 7.35660772032e-103 0.0114304874447 8.94204819997e-103 9.69357095235e-103 1.2127474966e-102 7.69138573844e-103 5.49908628288e-103 1.26871143629e-102 6.17800613293e-103 1.86646158149e-102 1.22497326923e-102 1.44348203411e-102 4.5118872216e-103 7.24556590726e-103 1.723706779e-102
accident 6.99053530928e-103 7.03554104237e-103 4.7618395836e-103 1.10034624987e-102 9.58240467296e-103 7.35660772032e-103 1.14304874447e-102 8.94204819997e-103 9.69357095235e-103 1.2127474966e-102 7.69138573844e-103 5.49904526826e-103 1.26871143629e-102 0.00617800613293 1.86646158149e-102 1.22497326923e-102 1.44348203411e-102 4.5118872216e-103 7.24556590726e-103 1.723706779e-102
accidents 6.99053530928e-103 0.00703554104237 4.7618395836e-103 1.10034624987e-102 9.58240467296e-103 7.35660772032e-103 1.14304874447e-102 8.94204819997e-103 9.69357095235e-103 1.2127474966e-102 7.69138573844e-103 5.49904526826e-103 1.26871143629e-102 6.17800613293e-103 1.86646158149e-102 1.22497326923e-102 1.44348203411e-102 4.5118872216e-103 7.24556590726e-103 1.723706779e-102
accuse 6.99053530928e-103 7.03554104237e-103 4.7618395836e-103 1.10034624987e-102 9.58240467296e-103 0.00735660772032 1.14304874447e-102 8.94204819997e-103 9.69357095235e-103 1.2127474966e-102 7.69138573844e-103 5.49904526826e-103 1.26871241671e-102 6.17800613293e-103 1.86646158149e-102 1.22497326923e-102 1.44348203411e-102 4.5118872216e-103 7.24556590726e-103 1.723706779e-102
acquainted 6.99053530928e-103 0.00703554104237 4.7618395836e-103 1.10034624987e-102 9.58240467296e-103 7.35660772032e-103 1.14304874447e-102 8.94204819997e-103 9.69357095235e-103 1.2127474966e-102 7.69138573844e-103 5.49904526826e-103 1.26871143629e-102 6.17800613293e-103 1.86646158149e-102 1.22497326923e-102 1.44348203411e-102 4.5118872216e-103 7.24556590726e-103 1.723706779e-102
added 6.99053530928e-103 7.03554104237e-103 4.7618395836e-103 1.10034624987e-102 9.58240467296e-103 7.35660772032e-103 1.14304874447e-102 8.94204819997e-103 9.69357095235e-103 1.2127474966e-102 7.69138573844e-103 0.00549904526826 1.26871143629e-102 6.17800613293e-103 1.86646158149e-102 1.22497326923e-102 5.00365530022e-98 4.5118872216e-103 7.24556590726e-103 1.723706779e-102
adjunct 6.99053531898e-103 7.03554104237e-103 4.7618395836e-103 1.10034624987e-102 9.58240467296e-103 7.35660772032e-103 1.14304874447e-102 0.00894204819997 9.69357095235e-103 1.2127474966e-102 7.69138573844e-103 5.49904526826e-103 1.26871143629e-102 6.17800613293e-103 1.86646158149e-102 1.22497326923e-102 1.44348203411e-102 4.5118872216e-103 7.24556590726e-103 1.723706779e-102
admire 6.99053530928e-103 7.03554104237e-103 4.7618395836e-103 1.10034624987e-102 9.58240467296e-103 7.35660772032e-103 1.14304874447e-102 8.94204819997e-103 9.69357095235e-103 1.2127474966e-102 7.69138573844e-103 5.49904526826e-103 1.26871143629e-102 0.00617800613293 1.86646158149e-102 1.22497326923e-102 1.44348203411e-102 4.5118872216e-103 7.24556590726e-103 1.723706779e-102
adonis 6.99053530928e-103 7.03554104237e-103 4.7618395836e-103 1.10034624987e-102 9.58240467296e-103 7.35660772032e-103 1.14304874447e-102 8.94204819997e-103 9.69357095235e-103 1.2127474966e-102 7.69138573844e-103 0.00549904526826 1.26871143629e-102 6.17800613293e-103 1.86646158149e-102 1.22497326923e-102 1.44348203411e-102 4.5118872216e-103 7.24556590726e-103 1.723706779e-102
adore 6.99053530928e-103 7.03554104237e-103 4.7618395836e-103 0.0110034624987 9.58240467296e-103 7.35660772032e-103 1.14304874447e-102 8.94204819997e-103 4.83806019274e-75 5.47948461362e-49 7.69138573844e-103 5.49904526826e-103 1.26871143629e-102 6.17800613293e-103 1.86646158149e-102 1.22497326923e-102 1.01290372211e-64 4.5118872216e-103 7.24556590726e-103 2.36155581565e-68
adulterate 6.99053530928e-103 7.03554104237e-103 4.7618395836e-103 1.10034624987e-102 9.58240467296e-103 0.00735660772032 1.14304874447e-102 8.94204819997e-103 9.69357095235e-103 1.2127474966e-102 7.69138573844e-103 5.49904526826e-103 2.89648982554e-98 6.17800613293e-103 1.86646158149e-102 1.22497326923e-102 1.44348203411e-102 4.5118872216e-103 7.24556590726e-103 1.723706779e-102
affords 6.99053530928e-103 0.00703554104237 4.7618395836e-103 1.10034624987e-102 9.58240467296e-103 7.35660772032e-103 1.14304874447e-102 8.94204819997e-103 9.69357095235e-103 1.2127474966e-102 7.69138573844e-103 5.49904526826e-103 1.26871143629e-102 6.17800613293e-103 1.86646158149e-102 1.22497326923e-102 1.44348203411e-102 4.5118872216e-103 7.24556590726e-103 1.723706779e-102
afresh 6.99053530928e-103 7.03554104237e-103 4.7618395836e-103 1.10034624987e-102 9.58240467296e-103 7.35660772032e-103 0.0114304874447 8.94204819997e-103 9.69357095235e-103 1.2127474966e-102 7.69138573844e-103 5.50632802832e-103 1.26871143629e-102 6.17800613293e-103 1.86646158152e-102 1.22497326923e-102 1.44348203411e-102 4.5118872216e-103 7.24556590726e-103 1.723706779e-102
after 1.34857225386e-81 7.03554104237e-103 4.7618395836e-103 7.53682555042e-36 9.58240467296e-103 7.35660772032e-103 1.14304874447e-102 8.94204819997e-103 0.00969357095235 1.2127474966e-102 7.69138573844e-103 5.49904526826e-103 1.26871143629e-102 6.17800613293e-103 1.86646158149e-102 1.22497326923e-102 6.64637719907e-53 4.5118872216e-103 7.24556590726e-103 1.723706779e-102
again 6.06880075895e-66 7.03554104237e-103 4.7618395836e-103 1.10034624987e-102 9.59234662311e-103 7.35660772032e-103 0.0114304874447 8.94204819997e-103 9.69357095235e-103 1.2143943437e-102 7.69138573844e-103 5.50347121175e-103 1.26871143629e-102 6.17800613293e-103 0.0186646158149 1.22497326923e-102 1.44348203411e-102 4.5118872216e-103 7.24556590726e-103 1.723706779e-102
against 6.99053530928e-103 7.03554104237e-103 4.7618395836e-103 1.10034624987e-102 9.58240467296e-103 7.35660772032e-103 1.14304874447e-102 8.94204819997e-103 9.69357095235e-103 1.22614369305e-102 7.7583330156e-103 5.49904526826e-103 1.26871143629e-102 6.17800613293e-103 1.86646158149e-102 1.22497326923e-102 1.44348203411e-102 2.01470041838e-102 0.00724556590726 1.723706779e-102
age 6.99053530928e-103 7.03554104237e-103 4.7618395836e-103 1.10034624987e-102 9.58240467296e-103 7.35660772032e-103 1.14304874447e-102 8.94204819997e-103 9.69357095235e-103 5.5716295417e-76 7.69138573844e-103 0.00549904526826 1.26871143629e-102 6.17800613293e-103 1.86646158149e-102 1.22497326923e-102 1.45595978402e-102 4.5118872216e-103 7.24556590726e-103 1.723706779e-102
ages 0.00699053530928 7.03554104237e-103 4.7618395836e-103 1.10034624987e-102 9.58240467296e-103 7.35660772032e-103 1.14304874447e-102 8.94204819997e-103 9.69357095235e-103 1.2127474966e-102 7.69138573844e-103 5.49904526826e-103 1.26871143629e-102 6.17800613293e-103 1.86646158149e-102 1.22497326923e-102 1.44348203411e-102 4.5118872216e-103 7.24556590726e-103 1.723706779e-102
ah 6.99053530928e-103 7.03554104237e-103 4.7618395836e-103 1.10034624987e-102 9.58240467296e-103 7.35660772032e-103 1.14304874447e-102 8.94204819997e-103 9.69357095235e-103 1.2127474966e-102 4.55868882959e-68 5.49904526826e-103 1.26871143629e-102 6.17800613293e-103 1.86646158149e-102 1.22497326923e-102 1.44348203411e-102 0.0045118872216 7.97887982041e-35 1.723706779e-102
alive 6.99053530928e-103 7.03554104237e-103 4.7618395836e-103 1.10034624987e-102 9.58240467296e-103 7.35660772032e-103 1.14304874447e-102 8.94204819997e-103 9.69357095235e-103 1.2127474966e-102 7.69138573844e-103 5.49904526826e-103 1.26871143629e-102 0.00617800613293 1.86646158149e-102 1.22497326923e-102 1.44348203411e-102 4.5118872216e-103 7.24556590726e-103 1.723706779e-102
all 6.99053530953e-103 7.03554104237e-103 1.78888187348e-41 0.00847231011327 3.28521216297e-98 7.35660772032e-103 1.68794439748e-77 8.94204819997e-103 2.00423401173e-62 0.0130498188482 3.03720929979e-13 1.35803386642e-05 0.0111124289847 6.17800613293e-103 0.018646239885 2.26231424005e-91 0.106660968404 4.5118883661e-103 0.0136757591492 8.91313111266e-41
almost 6.99053530928e-103 7.03554104237e-103 0.0047618395836 1.10034624987e-102 9.58240467296e-103 7.35660772032e-103 1.14304874447e-102 8.94204819997e-103 9.69357095235e-103 1.2127474966e-102 7.69138573844e-103 5.49904526826e-103 2.14254629434e-102 6.17800613293e-103 1.86646158149e-102 1.23582629197e-102 1.44348203411e-102 4.5118872216e-103 7.24556590726e-103 1.723706779e-102
alone 6.99053530928e-103 7.03554104532e-103 4.7618395836e-103 1.10034624987e-102 9.58240467296e-103 7.35660772032e-103 1.14304874447e-102 8.94204819997e-103 9.69357095235e-103 1.2127474966e-102 7.69138573844e-103 5.49904526826e-103 1.26871143629e-102 0.0123560122659 1.86646158149e-102 1.22497326923e-102 1.44348203411e-102 4.5118872216e-103 7.24556590726e-103 1.723706779e-102
alter 6.99053530928e-103 7.03554104237e-103 4.7618395836e-103 1.10034624987e-102 0.00958240467296 7.35660772032e-103 3.88717227317e-33 8.94204819997e-103 9.54461771263e-72 1.2127474966e-102 7.69138573844e-103 5.51155964037e-103 1.26871143629e-102 6.17800613293e-103 1.86646158169e-102 1.22692984051e-102 1.48025295199e-102 4.5118872216e-103 7.24556590726e-103 1.723706779e-102
