 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
abide 1.00003388007e-102 8.71502719368e-103 9.90099010296e-103 1.33681498857e-14 1.65495377297e-102 2.49331551574e-102 2.81465255822e-102 2.63684037306e-102 2.66605008266e-102 3.7037037037e-102 3.69853124425e-102 9.37085422579e-103 1.42428527285e-102 1.20306685093e-102 3.07691884046e-102 7.29483262401e-103 3.05479157354e-102 4.20652567943e-102 4.00487110771e-102 2.63157894737e-102 2.55922780344e-102 8.80479840436e-103 1.75509283501e-102 0.00861055443251 3.4485340923e-102 2.61933940905e-102 1.53483537367e-102 1.11603952676e-102 1.27765645436e-102 2.4944413517e-102 2.63157894737e-102 8.71203451686e-103 2.17670657384e-102 1.44934310725e-102 4.37342699309e-102 3.44919301704e-102 1.94246676905e-102 1.29898795059e-102 1.569669524e-102 1.69617222638e-102
able 1.00003388007e-102 0.00871502719368 9.90099009901e-103 5.30125440649e-102 1.65495377297e-102 2.49331551574e-102 2.81465255822e-102 2.63684037306e-102 2.66605008266e-102 3.7037037037e-102 3.69853124425e-102 9.37085422579e-103 1.42428527285e-102 1.20306685093e-102 3.07691884046e-102 7.29483262401e-103 3.05479157354e-102 4.20652567943e-102 4.00487110771e-102 2.63157894737e-102 2.55922780344e-102 8.80479840436e-103 1.75509283501e-102 8.61055443251e-103 3.4485340923e-102 2.61933940905e-102 1.53483537367e-102 1.11603952676e-102 1.27765645436e-102 2.4944413517e-102 2.63157894737e-102 8.71203451686e-103 2.17670657384e-102 1.44934310725e-102 4.37342699309e-102 3.44919301704e-102 1.94246676905e-102 1.29898795059e-102 1.569669524e-102 1.69617222638e-102
absence 1.00003388007e-102 8.71502719368e-103 9.90099009901e-103 5.30125440649e-102 1.65495377297e-102 2.49331551574e-102 2.81465255822e-102 2.63684037306e-102 2.66605008266e-102 3.7037037037e-102 3.69853124425e-102 9.37085422579e-103 1.42428527285e-102 1.20306685093e-102 3.07691884046e-102 7.29483262401e-103 3.05479157354e-102 4.20652567943e-102 4.00487110771e-102 2.63157894737e-102 2.55922780344e-102 8.80479840436e-103 1.75509283501e-102 8.61055443251e-103 3.4485340923e-102 2.61933940905e-102 1.53483537367e-102 1.11603952676e-102 1.27765645436e-102 2.4944413517e-102 2.63157894737e-102 0.00871203451686 2.17670657384e-102 1.44934310725e-102 4.37342699309e-102 3.44919301704e-102 1.94246676905e-102 1.29898795059e-102 1.569669524e-102 1.69617222638e-102
abundance 1.00003388007e-102 8.71502719368e-103 9.90099009901e-103 5.30125440649e-102 1.65495377297e-102 2.49331551574e-102 2.81465255822e-102 2.63684037306e-102 2.66605008266e-102 3.7037037037e-102 3.69853124425e-102 9.37085422579e-103 1.42428527285e-102 1.20306685093e-102 3.07691884046e-102 7.29483262401e-103 3.05479157354e-102 4.20652567943e-102 4.00487110771e-102 2.63157894737e-102 2.55922780344e-102 8.80479840436e-103 1.75509283501e-102 8.61055443251e-103 3.4485340923e-102 2.61933940905e-102 1.53483537367e-102 1.11603952676e-102 1.27765645436e-102 2.4944413517e-102 0.0263157894737 8.71203451686e-103 2.17670657384e-102 1.44934310725e-102 4.37342699309e-102 3.44919301704e-102 1.94246676905e-102 1.29898795059e-102 1.569669524e-102 1.69617222638e-102
abuse 1.00003388007e-102 8.71502719368e-103 9.90099009901e-103 5.30125440649e-102 1.65495377297e-102 2.49331551574e-102 2.81465255822e-102 2.63684037306e-102 2.66605008266e-102 0.037037037037 0.0369853124425 9.37085422579e-103 1.3216014112e-25 1.20306685093e-102 3.07691884046e-102 7.29483262401e-103 3.05479157354e-102 4.20652567943e-102 4.00487110771e-102 4.45531570123e-71 2.55922780344e-102 8.80479840436e-103 1.75509283501e-102 8.61055443251e-103 3.4485340923e-102 2.61933940905e-102 1.53483537367e-102 1.11603952676e-102 1.27765645436e-102 2.4944413517e-102 2.63157894737e-102 8.71203451686e-103 2.17670657384e-102 1.44934310725e-102 4.37342699309e-102 3.44919301704e-102 1.94246676905e-102 1.29898795059e-102 1.569669524e-102 1.69617222638e-102
accents 1.00003388007e-102 8.71502719368e-103 9.90099009901e-103 5.30125440649e-102 0.0165495377297 2.49331551574e-102 2.81465255822e-102 2.63684037306e-102 2.66605008266e-102 3.7037037037e-102 3.69853124425e-102 9.37085422579e-103 1.42428527285e-102 1.20306685093e-102 3.07691884046e-102 7.29483262401e-103 3.05479157354e-102 4.20652567943e-102 4.00487110771e-102 2.63157894737e-102 2.55922780344e-102 8.80479840436e-103 1.75509283501e-102 8.61055443251e-103 3.4485340923e-102 2.61933940905e-102 1.55610099932e-102 1.11603952676e-102 1.27765645436e-102 2.4944413517e-102 2.63157894737e-102 8.71203451686e-103 2.17670657384e-102 1.44934310725e-102 4.37342699309e-102 3.44919301704e-102 1.94246676905e-102 1.29898795059e-102 1.569669524e-102 1.70577686197e-102
accident 1.00003388007e-102 8.71502719368e-103 9.90099009901e-103 1.88005470418e-12 1.65495377297e-102 2.49331551574e-102 2.81465255822e-102 2.63684037306e-102 2.66605008266e-102 3.7037037037e-102 3.69853124425e-102 9.37085422579e-103 1.42428527285e-102 1.20306685093e-102 3.07691884046e-102 7.29483262401e-103 3.05479157354e-102 4.20652567943e-102 4.00487110771e-102 2.63157894737e-102 2.55922780344e-102 8.80479840436e-103 1.75509283501e-102 0.00861055443221 3.4485340923e-102 2.61933940905e-102 1.53483537367e-102 1.11603952676e-102 1.27765645436e-102 2.4944413517e-102 2.63157894737e-102 8.71203451686e-103 2.17670657384e-102 1.44934310725e-102 4.37342699309e-102 3.44919301704e-102 1.94246676905e-102 1.29898795059e-102 1.569669524e-102 1.69617222638e-102
accidents 1.00003388007e-102 8.71502719368e-103 9.90099009901e-103 5.30125440649e-102 1.65495377297e-102 2.49331551574e-102 2.81465255822e-102 2.63684037306e-102 2.66605008266e-102 3.7037037037e-102 3.69853124425e-102 9.37085422579e-103 1.42428527285e-102 1.20306685093e-102 3.07691884046e-102 7.29483262401e-103 3.05479157354e-102 4.20652567943e-102 4.00487110771e-102 0.0263157894737 2.55922780344e-102 8.80479840436e-103 1.75509283501e-102 8.61055443251e-103 3.4485340923e-102 2.61933940905e-102 1.53483537367e-102 1.11603952676e-102 1.27765645436e-102 2.4944413517e-102 2.63157894737e-102 8.71203451686e-103 2.17670657384e-102 1.44934310725e-102 4.37342699309e-102 3.44919301704e-102 1.94246676905e-102 1.29898795059e-102 1.569669524e-102 1.69617222638e-102
accuse 1.00003388007e-102 8.71502719368e-103 9.90099009901e-103 5.30125440649e-102 1.65495377297e-102 2.49331551574e-102 2.81465255822e-102 2.63684037306e-102 2.66605008266e-102 3.7037037037e-102 3.69853124425e-102 9.37085422579e-103 1.42428527285e-102 1.20306685093e-102 3.07691884046e-102 7.29483262401e-103 2.50101273526e-52 4.20652567943e-102 4.00487110771e-102 2.63157894737e-102 2.55922780344e-102 8.80479840436e-103 1.75509283501e-102 8.61055443251e-103 3.4485340923e-102 2.61933940905e-102 1.53483537367e-102 1.11603952676e-102 1.27765645436e-102 2.4944413517e-102 3.95177244516e-63 0.00871203451686 2.17670657384e-102 1.44934310725e-102 4.37342699309e-102 3.44919301704e-102 1.94246676905e-102 1.29898795059e-102 1.569669524e-102 1.69617222638e-102
acquainted 1.00003388007e-102 8.71502719368e-103 0.00990099009901 5.30125440649e-102 1.65495377297e-102 2.49331551574e-102 2.81465255822e-102 2.63684037306e-102 2.66605008266e-102 3.7037037037e-102 3.69853124425e-102 9.37085422579e-103 1.42428527285e-102 1.20306685093e-102 3.07691884046e-102 7.29483262401e-103 3.05479157354e-102 4.20652567943e-102 4.00487110771e-102 2.63157894737e-102 2.55922780344e-102 8.80479840436e-103 1.75509283501e-102 8.61055443251e-103 3.4485340923e-102 2.61933940905e-102 1.53483537367e-102 1.11603952676e-102 1.27765645436e-102 2.4944413517e-102 2.63157894737e-102 8.71203451686e-103 2.17670657384e-102 1.44934310725e-102 4.37342699309e-102 3.44919301704e-102 1.94246676905e-102 1.29898795059e-102 1.569669524e-102 1.69617222638e-102
