 0 1 2 3 4
abide 2.08772836288e-103 1.48374159105e-103 1.83414074566e-103 0.00281951234368 3.00162400493e-103
able 2.08772869343e-103 1.48374159105e-103 0.00183414074566 2.81951234368e-103 3.00302104597e-103
absence 0.00208772836288 1.48374159105e-103 1.83414074566e-103 2.81951242249e-103 3.00162400493e-103
abundance 0.00208772836288 1.48374159105e-103 1.83414074566e-103 2.81951234368e-103 3.00162400493e-103
abuse 7.85045627496e-23 1.48374159105e-103 1.83414074566e-103 0.00563902468736 3.00162400493e-103
accents 2.08772836288e-103 0.00148374159105 8.3598809985e-33 2.81951234368e-103 3.00162400495e-103
accident 2.08772836288e-103 1.48374159105e-103 1.83414074566e-103 0.00281951234368 3.00162400493e-103
accidents 2.08772836288e-103 1.48374159105e-103 1.83414074566e-103 0.00281951234368 3.00162400493e-103
accuse 0.00208772836288 1.48374159105e-103 1.83414074566e-103 2.81951234368e-103 3.00162400493e-103
acquainted 2.08772836288e-103 1.48374159105e-103 1.83414074566e-103 0.00281951234368 3.00162400493e-103
added 2.75034552555e-78 0.00148374159105 1.83414074566e-103 2.81951234368e-103 3.00162400493e-103
adjunct 0.00208772836288 1.48374159105e-103 1.83414074566e-103 2.81951234895e-103 3.00162400493e-103
admire 2.08772836288e-103 1.48374159105e-103 1.83414074566e-103 0.00281951234368 3.00162400493e-103
adonis 9.71107612025e-75 0.00148374159105 1.83414074566e-103 2.81951234368e-103 3.00164454195e-103
adore 0.00208772836288 1.48374159105e-103 3.25615076442e-73 2.81951234368e-103 3.00162400526e-103
adulterate 0.00208772836288 1.48374159105e-103 1.83414074566e-103 2.81951234368e-103 3.00162400493e-103
affords 2.08772836288e-103 1.48374159105e-103 1.83414074566e-103 0.00281951234368 3.00162400493e-103
afresh 2.08772836288e-103 6.87887141578e-41 0.00183414074566 2.81951234368e-103 3.00162409895e-103
after 1.06346932522e-20 0.00148374159105 1.10884801649e-29 2.81951234368e-103 3.00165692352e-103
again 2.08778890709e-103 0.0017410462187 0.00151607127556 2.81951234368e-103 3.00163837019e-103
