 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
above 8.32372606607e-103 1.84490913176e-102 0.00453740168422 8.10034386773e-103 5.81839609256e-103 8.12884368956e-103 9.52379954961e-103 0.0129778786657 1.23090055486e-102 7.63449368534e-103 9.61433300182e-103 2.05755296143e-102 6.80276806685e-103 6.2017774798e-103 8.91170329339e-103 0.00502512849066 8.68309021938e-47 1.04936590698e-102 1.27833806706e-102 1.12706339357e-102
absence 9.29637656476e-90 1.84490913176e-102 4.53740168422e-103 8.13817879463e-103 5.81839609256e-103 8.12884368956e-103 9.52379924186e-103 1.29778786657e-102 1.23090055486e-102 7.63449368534e-103 9.61433300182e-103 2.05755296143e-102 6.80276806685e-103 0.0062017774798 8.91170329339e-103 5.02512849066e-103 1.04895838645e-102 1.0500207599e-102 1.27833806706e-102 1.12706339357e-102
acceptance 8.32372606607e-103 1.84490913176e-102 4.53740168422e-103 8.10034386773e-103 5.81839609256e-103 8.12884368956e-103 9.52379924186e-103 1.29778786657e-102 1.23090055486e-102 7.63449368534e-103 0.00961433300182 2.05755296143e-102 6.80276806685e-103 6.2017774798e-103 8.91170329339e-103 5.02512849066e-103 1.04895838645e-102 1.04936590698e-102 1.27833806706e-102 1.12706339357e-102
account 8.32372606607e-103 1.84490913176e-102 4.53740168422e-103 8.10034386773e-103 5.81839609256e-103 8.12884368956e-103 0.00952379924186 1.29778786657e-102 1.23090055486e-102 7.63449368534e-103 9.61433300182e-103 2.05755296143e-102 6.80276806685e-103 6.2017774798e-103 8.91170329339e-103 5.02512849066e-103 1.04895838645e-102 1.04936590698e-102 1.27833806706e-102 1.12706339357e-102
accusing 0.00832372606607 1.84490913176e-102 4.53740168422e-103 8.10034386773e-103 5.81839609256e-103 8.12884368956e-103 9.52379924186e-103 1.29778786657e-102 1.23090055486e-102 7.63449368534e-103 9.61433300182e-103 2.05755296143e-102 6.80276806685e-103 6.2017774798e-103 8.91170329339e-103 5.02512849066e-103 1.04895838645e-102 1.04936590698e-102 1.27833806706e-102 1.12706339357e-102
acquaintance 8.32372606607e-103 1.84490913949e-102 4.53740168422e-103 8.10034386773e-103 0.00581839609256 8.12884368956e-103 9.52379924186e-103 1.29778786657e-102 1.23090055486e-102 7.63449368534e-103 9.61433300182e-103 2.05755296143e-102 6.80276806685e-103 6.2017774798e-103 8.91170329339e-103 5.02512849066e-103 1.04895838645e-102 1.04936590698e-102 1.27833806706e-102 1.12706339357e-102
adieu 8.32372606607e-103 1.84490913176e-102 4.53740168422e-103 8.10034386773e-103 5.81839609256e-103 8.12884368956e-103 9.52379924186e-103 1.29778786657e-102 1.23090055486e-102 7.63449368534e-103 9.61433300182e-103 2.05755296143e-102 6.80276806685e-103 6.2017774798e-103 8.91170329339e-103 0.00502512849066 1.04895838645e-102 1.04936590698e-102 1.27833806706e-102 1.12706339357e-102
advantage 8.32372606607e-103 1.84490913176e-102 2.77077765798e-29 8.10034386773e-103 5.81839609256e-103 8.12884368956e-103 9.52379924186e-103 1.29778786657e-102 0.0123090055486 7.63449368534e-103 9.61433300182e-103 2.05755296143e-102 6.80276806685e-103 6.2017774798e-103 8.91170329339e-103 5.02512849066e-103 1.04895838645e-102 1.04936590698e-102 1.27833806706e-102 1.12706339357e-102
after 8.32372606607e-103 1.84490913176e-102 4.53740168422e-103 8.10034386773e-103 0.00581839609256 8.12884368956e-103 9.52379924186e-103 1.29778786657e-102 1.23090055486e-102 0.00763449368534 9.61433300182e-103 2.05755296143e-102 0.00680276806685 6.2017774798e-103 8.91170329339e-103 5.02512849066e-103 1.04895838645e-102 1.04936590698e-102 1.27833806706e-102 1.12706339357e-102
again 8.32372606607e-103 1.84490913176e-102 4.53740168422e-103 8.10034386773e-103 5.81839609256e-103 8.12884368956e-103 9.52379924186e-103 1.29778786657e-102 1.23090055486e-102 7.63449368534e-103 9.61433300182e-103 2.05755296143e-102 6.80276806685e-103 6.2017774798e-103 8.91170329339e-103 0.0100502569813 0.0104895838645 1.04936590698e-102 1.27833806706e-102 1.12706339357e-102
against 8.32372606607e-103 1.84490913176e-102 0.00453715366142 0.00810034386773 5.81839609256e-103 8.12884368956e-103 9.52379924186e-103 1.29778786657e-102 0.0123096783817 7.63449368534e-103 9.61433300182e-103 3.57600081124e-34 6.80276806685e-103 6.2017774798e-103 8.91170329339e-103 5.02512849066e-103 1.04895838645e-102 1.04936590698e-102 1.27833806706e-102 1.12706339357e-102
age 8.32372606607e-103 1.84490913176e-102 4.53740168422e-103 0.00810034386773 5.81839609256e-103 1.82854688284e-91 9.52379924186e-103 1.29778786657e-102 1.23090055486e-102 7.63449368534e-103 9.61433300182e-103 2.05755296143e-102 6.80276806685e-103 6.2017774798e-103 4.66559069967e-92 0.0100502569813 0.0104895838645 1.04936590698e-102 1.27833806706e-102 1.12706339357e-102
aid 8.32372606607e-103 1.84490913176e-102 4.53740168422e-103 8.1003564084e-103 5.81839609256e-103 0.00812884368956 9.52379924186e-103 1.29778786657e-102 1.23090055486e-102 7.63449368534e-103 9.61433300182e-103 2.05755296143e-102 6.80276806685e-103 6.2017774798e-103 8.91170329339e-103 5.02512849066e-103 1.04895838645e-102 1.04936590698e-102 1.27833806706e-102 1.12706339357e-102
air 8.32372606607e-103 1.84490913176e-102 6.02598238562e-59 8.10034386773e-103 5.81839609256e-103 8.12884368956e-103 9.52379924186e-103 1.29778786657e-102 1.23090055486e-102 7.63449368534e-103 9.61433300182e-103 2.05755296143e-102 6.80276806685e-103 0.0062017774798 8.91170329339e-103 5.02512849066e-103 1.04895838645e-102 1.96824056127e-93 1.27833806706e-102 1.12706339357e-102
all 0.0242208041379 1.84854005984e-102 4.53740168422e-103 8.17854051611e-103 0.0179575563845 8.20717490152e-103 9.52379924186e-103 0.0264154091456 0.0123090055486 1.46016885948e-25 3.4606780805e-78 2.05755296143e-102 0.00680276806685 0.00622838499752 0.0620619557655 5.02512849066e-103 9.11637111358e-76 3.40037416971e-08 1.27931710062e-102 1.12706339357e-102
almost 8.32372606607e-103 1.84490913176e-102 4.53740168422e-103 8.10034386773e-103 0.00581839609256 8.12884368956e-103 9.52379924186e-103 1.29778786657e-102 1.23090055486e-102 7.63449368534e-103 9.61433300182e-103 2.05755296143e-102 6.80276806685e-103 2.63569481666e-96 8.91170329339e-103 5.02512849066e-103 1.04895838645e-102 1.04936590698e-102 1.27833806706e-102 1.12706339357e-102
aloft 8.32372606607e-103 1.84490913176e-102 4.53740168422e-103 8.10034386773e-103 5.81839609256e-103 0.00812884368956 9.52379924186e-103 1.29778786657e-102 1.23090055486e-102 7.63449368534e-103 9.61433300182e-103 2.05755296143e-102 6.80276806685e-103 6.2017774798e-103 8.91170329339e-103 5.02512849066e-103 1.04895838645e-102 1.04936590698e-102 1.27833806706e-102 1.12706339357e-102
alone 8.32372606607e-103 1.84490913176e-102 4.53740168422e-103 8.10034386773e-103 5.81839609256e-103 8.12884368956e-103 9.52379924186e-103 1.29778786657e-102 1.23090055486e-102 7.63449368534e-103 9.61433300182e-103 2.05755296143e-102 6.80276806685e-103 6.2017774798e-103 8.91170329339e-103 0.015075385472 1.04895838645e-102 1.04936590698e-102 1.27833806706e-102 1.12706339357e-102
