 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
above 1.12282963749e-102 2.80027170399e-102 1.57293203317e-102 2.71922745426e-102 3.70893905129e-102 1.7483073559e-102 1.28301254441e-102 6.67210381358e-103 3.90884404678e-102 2.05381628082e-102 1.63303610478e-102 0.0222221815115 1.10669356939e-102 7.5994912212e-103 4.5231589411e-82 3.95360572214e-102 2.42800879703e-102 1.72501253442e-102 0.0223823646867 4.32648089002e-102 2.28032972028e-102 1.0919589415e-102 2.40933578714e-102 3.18140375181e-102 3.94200274147e-102 3.48301455856e-102 1.85583404545e-102 0.0075994912212 9.60389011914e-103 9.33506084568e-102 1.21176438393e-102 1.02802099e-102 2.27258760673e-102 1.66333439354e-102 2.06650103951e-102 1.14508611787e-102 2.20687125538e-102 2.83542035568e-102 7.01043595206e-64 1.39633001797e-102
absence 1.64680032465e-15 2.80027170399e-102 1.57293203317e-102 2.71922745426e-102 3.70893905129e-102 1.7483073559e-102 0.0128301254441 6.67210381358e-103 3.90884404678e-102 2.05381628082e-102 1.63303610478e-102 2.22221815115e-102 1.10669356939e-102 7.5994912212e-103 1.90096945411e-102 3.95360572214e-102 2.42800879702e-102 1.72501253442e-102 2.23823646867e-102 4.32648089002e-102 2.28032972028e-102 1.0919589415e-102 2.40933578713e-102 3.18140375181e-102 3.94200274147e-102 3.48301455856e-102 1.85583404545e-102 7.5994912212e-103 9.60389011914e-103 9.33506084568e-102 1.21176438393e-102 1.02802099e-102 2.27258760673e-102 1.66333439354e-102 2.06650103951e-102 1.14508611787e-102 2.20687125538e-102 2.83542035568e-102 5.55554312836e-102 1.39633001752e-102
acceptance 1.12282963749e-102 2.80027170399e-102 1.57293203317e-102 2.71922745426e-102 3.70893905129e-102 1.7483073559e-102 1.28301254441e-102 6.67210381358e-103 3.90884404678e-102 2.05381628082e-102 1.63303610478e-102 2.22221815115e-102 1.10669356939e-102 7.5994912212e-103 1.90096945411e-102 3.95360572214e-102 2.42800879702e-102 1.72501253442e-102 2.23823646867e-102 4.32648089002e-102 2.28032972028e-102 1.0919589415e-102 2.40933578713e-102 3.18140375181e-102 3.94200274147e-102 3.48301455856e-102 1.85583404545e-102 7.5994912212e-103 9.60389011914e-103 9.33506084568e-102 1.21176438393e-102 0.0102802099 2.27258760673e-102 1.66333439354e-102 2.06650103951e-102 1.14508611787e-102 2.20687125538e-102 2.83542035568e-102 5.55554312836e-102 1.39633001752e-102
account 1.12282963749e-102 2.80027170399e-102 1.57293203317e-102 2.71922745426e-102 3.70893905129e-102 1.7483073559e-102 1.28301254441e-102 6.67210381358e-103 3.90884404678e-102 2.05381628082e-102 1.63303610478e-102 2.22221815115e-102 1.10669356939e-102 7.5994912212e-103 1.90096945411e-102 3.95360572214e-102 2.42800879702e-102 1.72501253442e-102 2.23823646867e-102 4.32648089002e-102 2.28032972028e-102 1.0919589415e-102 2.40933578713e-102 3.18140375181e-102 3.94200274147e-102 3.48301455856e-102 1.85583404545e-102 7.5994912212e-103 9.60389011914e-103 9.33506084568e-102 1.21176438393e-102 1.02802099e-102 2.27258760673e-102 1.66333439354e-102 2.06650103951e-102 0.0114508611787 2.20687125538e-102 2.83542035568e-102 5.55554312836e-102 1.39633001752e-102
accusing 1.12282963749e-102 2.80027170399e-102 1.57293203317e-102 2.71922745426e-102 3.70893905129e-102 1.7483073559e-102 1.28301254441e-102 6.67210381358e-103 3.90884404678e-102 2.05381628082e-102 1.63303610478e-102 2.22221815115e-102 1.1066935694e-102 7.5994912212e-103 1.90096945411e-102 3.95360572214e-102 2.42800879702e-102 1.72501253442e-102 2.23823646867e-102 4.32648089002e-102 2.28032972028e-102 1.0919589415e-102 2.40933578713e-102 3.18140375181e-102 3.94200274147e-102 3.48301455856e-102 1.85583441655e-102 7.5994912212e-103 9.61205981125e-103 9.33506084568e-102 1.21176438393e-102 1.02802099e-102 2.27258760673e-102 1.66333439354e-102 2.06650103951e-102 1.14508611787e-102 0.0220687125538 2.83542035568e-102 5.55554312836e-102 5.73693870676e-93
acquaintance 1.12282963749e-102 2.80027170399e-102 1.57293203317e-102 2.71922745426e-102 3.70893905129e-102 1.7483073559e-102 1.28301254441e-102 6.67210381358e-103 3.90884404678e-102 2.05381628082e-102 1.63303610478e-102 2.22221815115e-102 1.10669356939e-102 0.0075994912212 1.90096945411e-102 3.95360572214e-102 2.42800879702e-102 1.72501253442e-102 2.23823646867e-102 4.32648089002e-102 2.28032972028e-102 1.0919589415e-102 2.40933578713e-102 3.18140375181e-102 3.94200274147e-102 3.48301455856e-102 1.85583404545e-102 7.5994912212e-103 9.60389011914e-103 9.33506084568e-102 1.21176438393e-102 1.02802099e-102 2.27258760673e-102 1.66333439354e-102 2.06650103951e-102 1.14508611787e-102 2.20687125538e-102 2.83542035568e-102 5.55554312836e-102 1.39633001752e-102
adieu 1.12282963749e-102 2.80027170399e-102 1.57293203317e-102 2.71922745426e-102 3.70893905129e-102 1.7483073559e-102 1.28301254441e-102 6.67210381358e-103 3.90884404678e-102 2.05381628082e-102 1.63303610478e-102 0.0222221815115 1.10669356939e-102 7.5994912212e-103 1.90096945411e-102 3.95360572214e-102 2.42800879702e-102 1.72501253442e-102 2.23823646867e-102 4.32648089002e-102 2.28032972028e-102 1.0919589415e-102 2.40933578713e-102 3.18140375181e-102 3.94200274147e-102 3.48301455856e-102 1.85583404545e-102 7.5994912212e-103 9.60389011914e-103 9.33506084568e-102 1.21176438393e-102 1.02802099e-102 2.27258760673e-102 1.66333439354e-102 2.06650103951e-102 1.14508611787e-102 2.20687125538e-102 2.83542035568e-102 5.55554312836e-102 1.39633001752e-102
advantage 1.12282963749e-102 2.80027170399e-102 1.57293203317e-102 2.71922745426e-102 3.70893905129e-102 1.7483073559e-102 1.28301254441e-102 6.67210381358e-103 3.90884404678e-102 2.05381628082e-102 1.63303610478e-102 2.22221815115e-102 1.10669356939e-102 7.5994912212e-103 1.90096945411e-102 3.95360572214e-102 0.0242800879702 1.72501253442e-102 2.23823646867e-102 4.32648089002e-102 2.28032972028e-102 1.0919589415e-102 2.40933578713e-102 3.18140375181e-102 3.94200274147e-102 3.48301455856e-102 1.85583404545e-102 7.5994912212e-103 1.13235625679e-31 9.33506084568e-102 1.21176438393e-102 1.02802099e-102 2.27258760673e-102 1.66333439354e-102 2.06650103951e-102 1.14508611787e-102 2.20687125538e-102 2.83542035568e-102 5.55554312836e-102 1.39633001752e-102
after 1.12282963749e-102 0.0280027169906 1.57293203317e-102 2.71922745426e-102 3.70893905129e-102 1.7483073559e-102 1.28301254441e-102 6.67210381358e-103 3.90884404678e-102 2.05381628082e-102 1.63303610478e-102 2.22221815115e-102 0.0110669356939 7.5994912212e-103 1.90096945411e-102 3.95360572214e-102 2.42800879702e-102 1.72501253442e-102 2.23823646867e-102 4.32648089002e-102 4.0115316641e-11 1.0919589415e-102 2.40933578713e-102 3.18140375181e-102 3.94200274147e-102 3.48301455856e-102 0.0185583404545 7.5994912212e-103 9.60389011914e-103 9.33506084568e-102 1.21176438393e-102 1.02802099e-102 2.27258760673e-102 1.66333439354e-102 2.06650103951e-102 1.14508611787e-102 2.20687125538e-102 1.05983834318e-95 5.55554312836e-102 1.39633001752e-102
again 1.12282963749e-102 2.80027170399e-102 1.57293203317e-102 2.71922745426e-102 3.70893905129e-102 1.74961897073e-102 1.28301254441e-102 0.0133442076272 6.14378741338e-101 0.0205381628082 1.63303610478e-102 2.22221815115e-102 1.10669356939e-102 7.5994912212e-103 1.90096945411e-102 3.95360572214e-102 2.42800879702e-102 1.72501253442e-102 2.23824136887e-102 4.32648089002e-102 2.28032972028e-102 1.0919589415e-102 2.40933578713e-102 3.18140375181e-102 3.94200274147e-102 3.48301455856e-102 1.85583404545e-102 7.5994912212e-103 9.60389011914e-103 9.33506084568e-102 1.21176438393e-102 1.02802099e-102 2.27258760673e-102 1.66333439354e-102 1.03612731509e-74 1.14508611787e-102 2.20687125538e-102 2.83542035568e-102 5.55554312836e-102 1.39633001752e-102
