 0 1 2 3 4
above 3.72577283823e-76 0.00198678688168 0.00147370532999 2.93407472209e-103 0.0033103279306
absence 1.09394109705e-52 9.59286236185e-73 1.51615711333e-103 0.00293407472209 3.23447386315e-103
acceptance 1.91623604546e-103 1.97803842431e-103 0.00151615711333 2.93407472209e-103 3.23407870581e-103
account 1.91623604546e-103 1.97803842431e-103 1.51615711333e-103 2.93407472209e-103 0.00323407870581
accusing 0.00191623604546 2.71039722884e-67 1.51615711333e-103 6.16247046529e-40 3.23407870581e-103
acquaintance 0.00191623604546 5.06203979285e-70 1.51615711333e-103 3.45690370592e-65 3.23413250288e-103
adieu 1.91623604546e-103 1.97803842431e-103 1.51615711333e-103 2.93407472209e-103 0.00323407870581
advantage 1.78750773737e-35 0.00197803842431 1.51615711333e-103 2.93407472209e-103 3.23407870581e-103
after 0.00574870813637 9.84362998266e-31 1.51615711334e-103 8.76814170678e-21 3.23407870581e-103
again 1.91623604546e-103 1.978455713e-103 0.00151579318387 2.93407472209e-103 0.00646893370092
against 0.0018685422947 0.00400530881658 1.51615711333e-103 2.05037433577e-17 3.23407870581e-103
age 0.00383247209091 6.02059009692e-71 1.51615711333e-103 1.3083597228e-76 0.00646815741163
aid 1.29292244253e-45 1.13776837928e-66 1.30348593774e-79 0.00293407472209 3.23507282972e-103
air 1.31850375888e-32 0.00197803842431 1.51615711333e-103 1.82667223262e-18 3.23542203432e-103
all 0.017139895054 0.00207452740887 0.00536846680078 0.0131030445202 3.9392641866e-60
almost 0.00191623604546 1.83685720179e-88 1.51615711333e-103 3.72894448554e-72 3.23408137331e-103
aloft 1.91623604546e-103 1.97803842432e-103 0.00151615711333 1.74491410965e-21 4.29528962584e-103
alone 1.91623604546e-103 1.97803842431e-103 1.51615711333e-103 2.93407472209e-103 0.00970223611744
although 0.00191313071465 0.00395928233245 1.51615711333e-103 5.96196367077e-64 3.23407870581e-103
altring 1.9170041302e-103 1.97803842431e-103 0.00151615711333 2.93521172889e-103 3.23407870581e-103
am 1.91623604546e-103 1.97803842431e-103 4.68248206449e-41 0.00293407472209 3.23407870581e-103
