 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
abhor 1.28655168782e-102 1.18757263281e-102 1.60313719963e-102 7.13123998593e-103 8.31302616222e-103 5.2044461818e-103 5.98727635967e-103 1.30555111589e-102 9.43809913859e-103 8.55216281134e-103 7.33151319504e-103 1.14377485129e-102 8.28593561627e-103 1.45748284951e-102 0.00780617271851 5.93868146949e-103 1.22514441589e-102 1.54091343821e-102 5.98907483086e-103 4.89192431773e-103
absence 4.65587164617e-82 1.18757263281e-102 1.93790074146e-37 7.13123998593e-103 8.31302616222e-103 5.2044461818e-103 5.98727635967e-103 1.30555111589e-102 9.43809913859e-103 8.55216281134e-103 7.33151319504e-103 1.14377485129e-102 8.28593561627e-103 1.45748284923e-102 7.80617271851e-103 5.93868146949e-103 1.22514441589e-102 1.54091343821e-102 5.98907483086e-103 0.00489192431773
absent 1.28655168782e-102 1.18757263281e-102 1.61229310601e-102 7.13123998593e-103 8.31302616222e-103 0.0052044461818 5.98727635967e-103 1.30555111589e-102 9.43809913859e-103 8.55216281134e-103 7.33151319504e-103 1.14377485129e-102 8.28593561627e-103 1.45748284923e-102 7.80617271851e-103 5.93868146949e-103 1.22514441589e-102 1.54091343821e-102 5.98907483086e-103 4.89907105096e-103
abundance 1.28655168782e-102 7.8885908665e-97 1.60313719963e-102 7.13123998593e-103 8.31302638022e-103 5.20451220625e-103 5.98727635967e-103 1.30555111589e-102 9.43809913859e-103 8.55216281134e-103 7.33151319504e-103 1.14377485129e-102 8.28593561627e-103 1.45748284923e-102 7.80617271851e-103 0.00593868146949 1.22659844293e-102 1.54091343821e-102 6.04067743479e-103 4.89192431773e-103
abundant 1.28655168782e-102 1.18757263281e-102 1.60452664293e-102 7.13123998593e-103 0.00831302616222 5.20463725673e-103 5.98727635967e-103 1.30555111589e-102 9.46877195331e-103 8.55284454555e-103 7.38146071706e-103 1.14377485129e-102 4.53693300867e-79 1.45748284923e-102 7.80617271851e-103 5.93868146951e-103 1.23544741242e-102 1.54091343821e-102 5.98907483086e-103 4.89192431773e-103
abysm 1.28655168782e-102 1.18757263281e-102 1.60313719963e-102 7.13123998593e-103 0.00831302616222 5.2044461818e-103 5.98727635967e-103 1.30555111589e-102 9.59227893673e-103 8.55216281134e-103 7.33151319504e-103 1.14377485129e-102 8.28593561627e-103 1.45748284923e-102 7.80617271851e-103 5.93868146949e-103 1.19830783032e-91 1.54091343821e-102 5.98907483086e-103 4.89192431773e-103
account 1.28655168782e-102 1.18757263281e-102 1.60313719963e-102 7.13123998593e-103 0.00831302616222 5.2044461818e-103 5.98727635967e-103 1.30555111589e-102 9.59227893673e-103 8.55216281134e-103 7.33151319504e-103 1.14377485129e-102 8.28593561627e-103 1.45748284923e-102 7.80617271851e-103 5.93868146949e-103 1.4579432419e-99 1.54091343821e-102 5.98907483086e-103 4.89192431773e-103
acknowledge 1.28655168782e-102 1.18757263281e-102 1.60313719963e-102 7.13123998593e-103 8.31302616222e-103 5.2044461818e-103 5.98727635967e-103 1.30555111589e-102 9.43809913859e-103 0.00855216281134 7.33151319504e-103 1.14377485129e-102 8.28593561627e-103 1.45748284923e-102 7.80617271851e-103 5.93868146949e-103 5.3880438752e-80 1.54091343821e-102 5.98907483086e-103 4.89192431773e-103
add 1.28655168782e-102 1.18757263281e-102 1.60313719963e-102 7.13123998593e-103 8.31302616222e-103 5.2044461818e-103 5.98727635967e-103 1.30555111589e-102 5.18610432908e-35 2.74142053521e-46 7.33151319504e-103 1.14377485129e-102 8.28593561627e-103 1.46080892379e-102 7.80617271851e-103 5.93868146949e-103 0.0122514441589 1.54094392534e-102 5.98907483086e-103 4.89192431773e-103
addition 1.28655168782e-102 0.0118757263281 1.60313719963e-102 7.13123998593e-103 8.31302616222e-103 5.20461636852e-103 5.98727635967e-103 1.30555111589e-102 9.43809913859e-103 8.55216281134e-103 7.33151319504e-103 2.33867469485e-67 8.28593561627e-103 1.45748284923e-102 7.80617271851e-103 5.93868146949e-103 1.22514441589e-102 1.54091343821e-102 5.98907483086e-103 4.89250848784e-103
affable 1.28655168782e-102 1.3151357955e-96 1.60313719963e-102 7.13123998593e-103 8.31302676199e-103 5.2044461818e-103 5.98727635967e-103 1.30555111589e-102 9.43809913859e-103 8.55216281134e-103 7.33151319504e-103 1.14377485129e-102 8.28593561627e-103 1.45748284923e-102 7.80617271851e-103 6.79427636578e-42 0.0122514441589 1.54091343821e-102 5.98907483086e-103 4.89192431773e-103
afford 1.28655168782e-102 1.18757263281e-102 1.60313719963e-102 7.13123998593e-103 8.31302616222e-103 5.2044461818e-103 5.98727635967e-103 1.30555111589e-102 9.43809913859e-103 8.55216281134e-103 7.33151319504e-103 1.14377485129e-102 8.28593561627e-103 3.33035781534e-42 0.00780617271851 5.93868146949e-103 1.22514441589e-102 1.54091343821e-102 5.98907483086e-103 4.89192431773e-103
afloat 1.28655168782e-102 1.18757263281e-102 1.60313719963e-102 7.13123998593e-103 8.31302616222e-103 5.2044461818e-103 5.98727635967e-103 1.30555111589e-102 9.43809913859e-103 8.55216281134e-103 7.33151319504e-103 1.14377485129e-102 8.28593561627e-103 1.45748284954e-102 0.00780617271851 5.93868146949e-103 1.22514441589e-102 1.54091343821e-102 5.98907483086e-103 4.89192431773e-103
after 1.29526649003e-102 1.18757263281e-102 1.60313727877e-102 7.13123998593e-103 8.31302616222e-103 5.20449652969e-103 5.98727635967e-103 2.02421669866e-62 9.43809913859e-103 8.55216281134e-103 7.33151319504e-103 0.0114377485129 8.28593561627e-103 1.45748284923e-102 7.80617271851e-103 5.93868146949e-103 1.22514441589e-102 1.54091343821e-102 5.98907483086e-103 4.91082989887e-103
again 1.28655168782e-102 0.0118757263281 1.60313719963e-102 7.13123998593e-103 8.31302616222e-103 5.2044461818e-103 5.98727635967e-103 1.30555111589e-102 9.43809913859e-103 8.55216281397e-103 7.33151319504e-103 1.14377485129e-102 8.28593561627e-103 1.45748284923e-102 7.80617271851e-103 5.93868146949e-103 1.22514441589e-102 1.54091343821e-102 5.98907483086e-103 4.89192431773e-103
against 8.8090302224e-76 1.18757263281e-102 2.54557657664e-72 7.13123998593e-103 8.31302616222e-103 5.2044461818e-103 5.98727635967e-103 1.30555111589e-102 9.43809913859e-103 4.82990889049e-39 7.33151319504e-103 1.14377485129e-102 8.28593561627e-103 0.0145748284923 7.80617271851e-103 5.93868146949e-103 1.22514441589e-102 1.54091343821e-102 5.98907483086e-103 0.00978384863546
age 1.28655168782e-102 1.18757263281e-102 1.60313719963e-102 7.13123998593e-103 8.31302616222e-103 5.2044461818e-103 0.00598727635967 1.30555111589e-102 9.43809913859e-103 8.55216281134e-103 7.33151319504e-103 1.14377485129e-102 8.28593561627e-103 1.41882359141e-79 7.80617271851e-103 5.93868146949e-103 1.24981255071e-102 0.0154091343821 5.98907483086e-103 4.89192431773e-103
ah 1.28655168782e-102 3.95860528101e-99 1.60313719963e-102 7.13123998593e-103 1.05866778786e-61 0.0052044461818 5.98727635967e-103 1.30555111589e-102 0.0188761982772 3.64636824276e-89 7.33151319504e-103 1.14377485129e-102 8.28593561627e-103 1.4574828493e-102 7.80617271851e-103 1.05094512731e-26 7.20721065965e-17 1.54091343821e-102 5.98907483086e-103 6.37460964941e-43
alack 1.28655168782e-102 1.18757263281e-102 1.60313719963e-102 0.00713123998593 8.31302616222e-103 5.2044461818e-103 0.00598727635967 1.30555111589e-102 9.43809913859e-103 8.55216281134e-103 7.33151319504e-103 1.14377485129e-102 8.28593561627e-103 1.45748284923e-102 7.86392975989e-103 5.93868146949e-103 1.22514441589e-102 1.54091343821e-102 5.98907483086e-103 4.89192431773e-103
alas 1.28655168782e-102 1.18757263281e-102 1.60313719963e-102 7.13123998593e-103 8.31302616222e-103 5.2044461818e-103 5.98727635967e-103 1.30555111589e-102 1.0680108871e-56 8.55216281134e-103 7.33151319504e-103 1.14377485129e-102 8.28593561627e-103 1.45748284923e-102 7.80617271851e-103 5.93868146949e-103 1.22514441589e-102 1.54091343821e-102 5.98907483086e-103 0.00489192431773
all 1.28655168782e-102 1.18757263281e-102 1.61910741824e-102 5.70467063587e-24 8.31801809135e-103 0.0335014944389 5.98727635967e-103 0.0131501976551 9.50890084823e-103 8.55272484559e-103 0.0115793981038 1.14576814858e-102 8.28594616741e-103 1.45979662063e-102 7.80617271851e-103 4.4088181976e-22 1.22514441589e-102 5.6635508253e-35 0.0178250163396 6.87681070215e-94
allow 1.28655168782e-102 1.18757263281e-102 1.60313719963e-102 7.13123998593e-103 8.31302616222e-103 5.2044461818e-103 5.99281327702e-103 1.30555111589e-102 9.43809913859e-103 8.55216281134e-103 7.33151319504e-103 1.14377485129e-102 8.28593561627e-103 1.45748284954e-102 0.00780617271851 5.93868146949e-103 1.22514441589e-102 1.54091343821e-102 5.98907483086e-103 4.89192431773e-103
almost 1.28655168782e-102 1.18757263281e-102 1.60313719963e-102 7.13123998593e-103 8.31302616222e-103 5.2044461818e-103 5.98727635967e-103 1.30555111589e-102 9.43809913859e-103 8.55216281134e-103 7.33151319504e-103 1.14377485129e-102 8.28593561627e-103 1.45748284923e-102 7.80617271851e-103 5.93868146949e-103 1.22514441589e-102 1.54091343821e-102 0.00598907483086 4.89192431773e-103
alone 1.28655168782e-102 1.18757263281e-102 1.60313719963e-102 7.13123998593e-103 8.31302616222e-103 5.2044461818e-103 0.00598727635967 0.0130555111589 9.50986066569e-103 8.55216281134e-103 7.33151319504e-103 1.14377485129e-102 8.28593561627e-103 1.45757921972e-102 7.80780228267e-103 2.77036547523e-93 1.22514441589e-102 1.54091343821e-102 5.98907483086e-103 4.89192431773e-103
altered 1.28655168782e-102 1.18779827555e-102 1.60313719963e-102 1.9636877664e-51 0.00831302616222 5.2044461818e-103 5.98727635967e-103 1.30555111589e-102 9.43809974433e-103 8.55216281134e-103 7.33151319504e-103 1.14377485129e-102 8.28593561627e-103 1.45748284923e-102 7.80617271851e-103 5.967863069e-103 1.22514462426e-102 1.54091343821e-102 5.98924771955e-103 4.89192431773e-103
alters 1.28655168782e-102 1.18757263281e-102 1.60313719963e-102 7.13123998593e-103 8.31302616222e-103 4.51910083437e-72 5.98727635967e-103 1.30555111589e-102 9.43809913859e-103 8.55216281134e-103 7.87622425081e-78 1.14377485129e-102 0.00828593561627 1.45748284923e-102 7.80617271851e-103 5.9826717093e-103 1.22514441589e-102 1.54091343821e-102 5.98907483086e-103 4.89192431773e-103
although 1.28655168782e-102 1.18757263281e-102 1.60313719963e-102 7.13123998593e-103 0.00831302616222 5.2044461818e-103 5.98727635967e-103 1.30555111589e-102 9.44467807071e-103 8.55374860999e-103 7.33151319504e-103 1.49383420649e-29 8.28593561627e-103 1.45748284923e-102 7.80617271851e-103 5.93868146951e-103 1.22794239643e-102 1.54091343821e-102 5.98907483086e-103 4.89192431773e-103
always 1.28655168782e-102 1.18757263281e-102 1.60313719963e-102 7.13123998593e-103 9.50714613139e-50 5.2044461818e-103 5.98727635967e-103 1.30555111589e-102 9.43809913859e-103 8.55216281134e-103 7.33151319504e-103 1.14377485129e-102 8.28593561627e-103 1.45748284923e-102 7.80617271851e-103 1.50027401396e-73 1.22514441589e-102 0.0154091343821 9.75699909797e-102 4.89192431773e-103
am 1.20637410913e-43 1.18757263281e-102 2.50116596261e-95 0.0213541769727 8.31302616222e-103 0.0104088923636 5.98727635967e-103 0.013127904443 9.43809913859e-103 8.55216281134e-103 3.60841633212e-14 1.14377485129e-102 1.77482505282e-82 2.20088193886e-73 7.80617271851e-103 5.93868146949e-103 1.22514441589e-102 4.31129783755e-34 0.00598907483086 4.93614570094e-103
ambush 1.28655168782e-102 1.18757263281e-102 1.60313719963e-102 7.13123998599e-103 8.31302616222e-103 5.20444618181e-103 5.98727635967e-103 1.30555111589e-102 9.49464601255e-103 8.55216281134e-103 7.33151319504e-103 1.14377485129e-102 2.78721171081e-56 1.45748284923e-102 7.80617271851e-103 0.00593868146949 1.22514441589e-102 1.54091343821e-102 5.98907483086e-103 4.89192431773e-103
an 1.28655168782e-102 1.18757263281e-102 1.60313719963e-102 7.13123998593e-103 0.00831302616222 1.23746716889e-80 5.98727635967e-103 1.30555111589e-102 9.43809913859e-103 8.55216281134e-103 7.4361326661e-103 1.14515963181e-102 8.28593561627e-103 1.45748284923e-102 7.80617271851e-103 5.94014555054e-103 0.0122514441589 1.54091343821e-102 0.0119781496617 4.89192431773e-103
and 0.0449556743596 0.0240166840246 2.67600365207e-11 7.13123998593e-103 0.0142155497614 5.20444618302e-103 5.98727635967e-103 0.0222083821762 0.377005236856 0.0252549381099 7.33151319504e-103 1.14377485129e-102 8.28593561627e-103 1.45992020177e-102 7.80617271851e-103 1.00537931971e-58 0.0281107730825 1.54091343821e-102 5.98907483086e-103 0.00430347862376
anew 1.28655168782e-102 1.18757263281e-102 1.60313719963e-102 7.13123998593e-103 8.31302616222e-103 5.2044461818e-103 0.00598727635967 1.30555111589e-102 9.43809913859e-103 8.55216281134e-103 7.33151319504e-103 1.14377485129e-102 8.28593561627e-103 1.45748284923e-102 7.80617271851e-103 5.93868146949e-103 1.22514441589e-102 1.54091343821e-102 5.98907483086e-103 4.89192431773e-103
angel 1.28655168782e-102 1.18826086127e-102 1.61418398684e-102 9.45684804116e-59 8.31302616222e-103 1.42017260768e-88 5.98727635967e-103 1.30555111589e-102 9.43809913859e-103 8.55216281134e-103 7.33151319504e-103 1.14377485129e-102 0.00828593561627 1.45748284923e-102 7.80617271851e-103 5.93868146949e-103 1.22514441589e-102 1.54091343821e-102 5.99117924071e-103 4.89192431773e-103
