 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
abhor 0.00980209189542 1.88667224403e-102 5.51441902594e-102 2.12437922198e-102 1.42997410837e-102 1.75077939872e-102 1.9085569063e-102 1.38876379325e-102 2.98975443892e-102 8.29242717555e-102 1.1485525477e-102 1.19703002692e-102 2.03028401234e-102 3.70534789599e-102 1.11172363961e-102 1.38079327064e-102 1.0032791444e-102 1.63421657782e-102 2.18317351554e-102 1.5439858393e-102 5.02349168696e-102 1.70964018899e-102 3.44395480072e-102 2.95554620631e-102 8.9645811029e-103 1.23118305125e-102 5.51334916831e-103 1.09556992116e-102 2.93798727032e-102 3.4140035973e-102 2.50216330102e-102 1.82135118953e-102 2.51683454387e-102 2.18516599078e-102 5.88250882519e-102 1.55813634479e-102 1.89997278348e-102 1.115009799e-102 2.65406448116e-102 1.62362306841e-102
absence 9.80209189542e-103 1.88667224403e-102 5.51441902594e-102 2.12437878378e-102 1.42997410837e-102 1.75077939872e-102 1.9085569063e-102 1.38876379325e-102 2.98975443892e-102 8.29242717555e-102 1.1485525477e-102 1.19703002692e-102 2.03028401234e-102 3.70534789599e-102 1.11172363961e-102 1.38079327064e-102 1.0032791444e-102 1.63421657782e-102 2.18317351554e-102 1.5439858393e-102 5.02349168696e-102 1.70964018899e-102 3.44395480072e-102 2.95554620631e-102 2.46281053459e-28 1.23118305125e-102 0.00551334916831 1.09556992116e-102 2.93798727032e-102 3.4140035973e-102 2.50216330102e-102 1.82135118953e-102 2.51683454387e-102 2.18516599078e-102 5.88250882519e-102 1.55813634479e-102 1.89997278348e-102 1.115009799e-102 2.65406448116e-102 1.62362306841e-102
absent 9.80209189542e-103 1.88667224403e-102 5.51441902594e-102 2.12437878378e-102 1.42997410837e-102 1.75077939872e-102 1.9085569063e-102 1.38876379325e-102 3.23687574658e-102 8.29242717555e-102 1.1485525477e-102 1.19703002692e-102 2.03028401234e-102 3.70534789599e-102 1.11172363961e-102 1.38079327064e-102 1.0032791444e-102 1.63421657782e-102 2.18317351554e-102 1.5439858393e-102 5.02349168696e-102 0.0170964018899 3.44395480072e-102 2.95554620631e-102 8.9645811029e-103 1.23118305125e-102 5.51334916831e-103 1.0955699237e-102 2.93798727032e-102 3.4140035973e-102 2.50216330102e-102 1.82135118953e-102 2.51683454387e-102 2.18516599078e-102 5.88250882519e-102 1.55813634479e-102 1.89997278348e-102 1.115009799e-102 2.65406448116e-102 1.62362306841e-102
abundance 9.80209189542e-103 1.8874771486e-102 5.51441902594e-102 2.12437878378e-102 1.42997410837e-102 0.0175077939872 1.9085569063e-102 1.38876379325e-102 2.98975443892e-102 8.29242717555e-102 1.1485525477e-102 1.19703002692e-102 2.03028401234e-102 3.70534789599e-102 1.11201318978e-102 1.38079327064e-102 1.0032791444e-102 1.63630552595e-102 2.18317351554e-102 1.5439858393e-102 5.02349168696e-102 1.70964018899e-102 3.44395480072e-102 2.95554620631e-102 8.9645811029e-103 1.23118305125e-102 5.51334916831e-103 1.09556992116e-102 2.93798727032e-102 3.4140035973e-102 2.50216330102e-102 1.82135118953e-102 2.51683454387e-102 2.18516599078e-102 5.88250882519e-102 1.55813634479e-102 6.36462232542e-99 1.1150710174e-102 2.65406448116e-102 1.62362306841e-102
abundant 9.80209189542e-103 1.88667224403e-102 5.51441902594e-102 2.12437878378e-102 0.0142997410837 1.75077939872e-102 1.9085569063e-102 1.38876379325e-102 2.98975443943e-102 8.29242717555e-102 1.1485525477e-102 1.19703002692e-102 2.03028401234e-102 3.70534789599e-102 9.15814879447e-52 1.38079327064e-102 1.0032791444e-102 1.63421657782e-102 2.18317351554e-102 1.5439858393e-102 5.02349168696e-102 1.70964018899e-102 3.44395480072e-102 2.95554620631e-102 8.9645811029e-103 1.23118305125e-102 5.51334916831e-103 1.09556992116e-102 2.93798727032e-102 3.4140035973e-102 2.50216330102e-102 1.82135118953e-102 2.51683454387e-102 2.18516599078e-102 5.88250882519e-102 1.55813634479e-102 1.89997278348e-102 1.11604791953e-102 2.65406448116e-102 1.62362306841e-102
abysm 9.80209189542e-103 1.88667224403e-102 5.51441902594e-102 2.12437878378e-102 1.42997410837e-102 1.75077939872e-102 1.9085569063e-102 1.38876379325e-102 2.98975443892e-102 8.29242717555e-102 1.1485525477e-102 1.19703002692e-102 2.03028401234e-102 3.70534789599e-102 0.0111172363961 1.38079327064e-102 1.0032791444e-102 1.63421703729e-102 2.18317351554e-102 1.5439858393e-102 5.02349168696e-102 1.70964018899e-102 3.44395480072e-102 2.95554620631e-102 8.9645811029e-103 1.23118305125e-102 5.51334916831e-103 1.09556992116e-102 2.93798727032e-102 3.4140035973e-102 2.50216330102e-102 1.82135118953e-102 2.51683454387e-102 2.18516599078e-102 5.88250882519e-102 1.55813634479e-102 1.89997278348e-102 1.115009799e-102 2.65406448116e-102 1.62362306841e-102
account 9.80209189542e-103 1.88667224403e-102 5.51441902594e-102 2.12437878378e-102 1.42997410837e-102 1.75077939872e-102 1.91345119378e-102 1.38876379325e-102 2.98975443892e-102 8.29242717555e-102 1.14855254773e-102 4.48987751011e-19 2.03028401234e-102 3.70534789599e-102 1.11172363961e-102 1.38079327064e-102 1.0032791444e-102 1.63421657782e-102 2.18317351562e-102 1.5439858393e-102 5.02349168696e-102 1.70964018899e-102 3.44395480072e-102 2.95554620631e-102 8.9645811029e-103 1.23118305125e-102 5.51334916831e-103 1.09556992116e-102 2.93798727032e-102 3.4140035973e-102 2.50216330102e-102 1.82135118953e-102 8.38731679053e-67 0.0218516599078 5.88250882519e-102 1.55813634479e-102 1.89997278348e-102 1.115009799e-102 2.65406448116e-102 1.62362306841e-102
acknowledge 9.80209189542e-103 1.88667224403e-102 5.51441902594e-102 2.12437878378e-102 7.49257703592e-83 1.75077939872e-102 1.9085569063e-102 1.38876379325e-102 2.98975443892e-102 8.29242717555e-102 1.1485525477e-102 1.19703002692e-102 2.03028401234e-102 3.70534789599e-102 1.11172363961e-102 0.0138079327064 2.68830256646e-28 1.63421657782e-102 2.18317351554e-102 1.5439858393e-102 5.02349168696e-102 1.70964018899e-102 3.44395480072e-102 2.95554620631e-102 8.9645811029e-103 1.23118305125e-102 5.51334916831e-103 1.09556992116e-102 2.93798727032e-102 3.30065443399e-89 2.50216330102e-102 1.82135118953e-102 2.51683454387e-102 2.18516599078e-102 5.88250882519e-102 1.55813634479e-102 1.89997278348e-102 1.115009799e-102 2.65406448116e-102 1.62362306841e-102
add 9.80209189542e-103 1.88667224403e-102 5.51441902594e-102 2.12437878378e-102 1.42997410837e-102 1.75077939872e-102 1.9085569063e-102 1.38876379325e-102 2.98975443892e-102 8.29242717555e-102 1.1485525477e-102 1.19703002692e-102 2.03028401234e-102 3.70534789599e-102 1.11172363961e-102 1.38079327064e-102 1.00327915128e-102 0.0163421657782 2.18317351554e-102 1.5439858393e-102 5.02349168696e-102 1.70964018899e-102 3.44395480072e-102 2.24332120394e-58 8.9645811029e-103 1.23118305125e-102 5.51334916831e-103 1.09556992116e-102 2.93798727032e-102 3.4140035973e-102 2.50216330102e-102 1.82135118953e-102 2.51683454387e-102 2.18516599078e-102 5.88250882519e-102 1.55813634479e-102 1.89997278348e-102 1.11509856482e-102 2.65406448116e-102 1.62362306841e-102
addition 9.80209189542e-103 1.88667224403e-102 5.51441902594e-102 2.12437878378e-102 1.42997410837e-102 1.75077939872e-102 1.91021809898e-102 1.38876379325e-102 3.07582798004e-102 8.29242717555e-102 1.1485525477e-102 1.19703002692e-102 2.03028401234e-102 3.70534789599e-102 1.11172363961e-102 1.38079327064e-102 1.0032791444e-102 1.63421657782e-102 2.75917950849e-83 1.5439858393e-102 5.02349168696e-102 1.70964018899e-102 3.44395480072e-102 2.95554620631e-102 8.9645811029e-103 1.23297399921e-102 5.51334916831e-103 1.09556992116e-102 2.93798727032e-102 3.4140035973e-102 2.50216330102e-102 1.82135118953e-102 2.51683454395e-102 0.0218516599078 5.88250882519e-102 1.55813634479e-102 1.89997278348e-102 1.115009799e-102 2.65406448116e-102 1.62362306841e-102
affable 9.80209189542e-103 1.88667224403e-102 5.51441902594e-102 2.12437878378e-102 1.42997410837e-102 0.0175077939872 1.9085569063e-102 1.38876379325e-102 2.98975443892e-102 8.29242717555e-102 1.1485525477e-102 1.19703002692e-102 2.03028401234e-102 3.70534789599e-102 1.11172363961e-102 1.38079327064e-102 1.0032791444e-102 1.63421657782e-102 2.18317351554e-102 1.5439858393e-102 5.02349168696e-102 1.70964018899e-102 3.44395480072e-102 2.95554620631e-102 8.9645811029e-103 1.23118305125e-102 5.51334916831e-103 1.09556992116e-102 2.93798727032e-102 3.4140035973e-102 2.50216330102e-102 1.82135118953e-102 2.51683454387e-102 2.18516599078e-102 5.88250882519e-102 1.55813634479e-102 1.89997278348e-102 1.115009799e-102 2.65406448116e-102 1.62362306841e-102
