 0 1 2 3 4
abhor 2.04413604353e-103 0.00328947368421 1.50640275952e-103 1.92599357273e-103 2.53324795189e-103
absence 2.04413604353e-103 3.28947368421e-103 1.50640275952e-103 1.92599357273e-103 0.00253324795189
absent 0.00204413604353 3.28947368421e-103 1.50640276026e-103 1.92599357273e-103 7.56091932583e-54
abundance 1.23795946208e-36 3.28947368421e-103 0.00150640275952 6.56592000674e-15 3.70617296453e-57
abundant 2.04413604511e-103 3.28947368421e-103 0.00150640275952 1.92599357542e-103 2.61866596084e-23
abysm 2.04413604353e-103 3.28947368421e-103 0.00150640275952 1.92599357273e-103 2.53324795189e-103
account 2.044136044e-103 3.28947368421e-103 0.00150640275952 2.41551799822e-78 8.33515503122e-43
acknowledge 2.04413604353e-103 3.28947368421e-103 0.00150640275952 1.92599358104e-103 2.53324795189e-103
add 2.04413604353e-103 3.28947368421e-103 2.4216837178e-09 0.00192599047652 1.19791429616e-29
addition 0.00204413604353 3.28947368421e-103 7.84805824226e-30 2.04455758546e-26 4.60538208989e-33
affable 2.04413604418e-103 3.28947368421e-103 0.00150640275952 2.69387345191e-19 2.53324795189e-103
afford 2.04413604353e-103 0.00328947368421 1.50640275952e-103 1.92599357273e-103 2.53324795189e-103
afloat 2.04413604353e-103 0.00328947368421 1.50640275952e-103 1.92599357273e-103 2.53324795189e-103
after 2.74483546899e-30 3.28947368421e-103 0.00150640275952 1.362776764e-43 6.05533501061e-46
again 2.04413604353e-103 3.28947368421e-103 1.50640291816e-103 0.00192599357273 2.53324795189e-103
against 0.00166520756545 3.28947368421e-103 1.50640276084e-103 1.57768456779e-09 0.00553609065125
age 2.04413604474e-103 0.00328947368421 1.50640276136e-103 0.00192599357273 2.53324795189e-103
ah 0.00191179058461 3.28947368421e-103 3.97864192637e-39 5.93824111681e-35 0.00523050840373
alack 5.14992421216e-45 0.00328947368421 0.00150640275952 5.08085143499e-49 1.33970123031e-37
alas 2.04413604353e-103 3.28947368421e-103 1.50640275952e-103 1.92599357273e-103 0.00253324795189
all 6.02069754776e-71 3.28947368421e-103 0.0164273765406 0.00210889334835 4.57526535158e-36
allow 2.04413604353e-103 0.00328947368421 1.50640275952e-103 1.92599357273e-103 2.53324795189e-103
almost 2.04414791264e-103 3.28947368421e-103 3.61152217925e-79 0.00192599357273 2.53324795189e-103
alone 0.00204413604353 0.00328947368421 1.50640275952e-103 1.31338316468e-93 5.86330555107e-36
altered 0.00204413604353 3.28947368421e-103 8.44269649291e-23 8.59291835568e-27 3.94314193415e-36
alters 2.10899991738e-56 3.28947368421e-103 0.00150640275952 1.92599357274e-103 6.99170775058e-35
although 2.04413604464e-103 3.28947368421e-103 1.50640340504e-103 0.00192599357273 2.53324795257e-103
always 0.00204413604353 3.28947368421e-103 1.50640275976e-103 8.52912154048e-92 6.68819327971e-34
am 1.8031909638e-26 3.28947368421e-103 0.00898101812579 0.00199937966366 2.25472696011e-42
ambush 1.08254017899e-17 3.28947368421e-103 0.00150640275952 1.92603852865e-103 7.02954278629e-56
an 0.00204413166113 3.28947368421e-103 1.50640281287e-103 0.00577798484733 4.02357865426e-38
and 0.0141528378198 3.28947368421e-103 1.36649672195e-17 0.0195369112188 0.0960925868206
anew 2.04413604353e-103 0.00328947368421 1.50640275952e-103 1.92599357273e-103 2.53324795189e-103
angel 0.00204413604353 3.28947368421e-103 1.63004234741e-36 7.2317659823e-18 3.88589519925e-30
another 2.04413604353e-103 0.00328947368421 1.50640275952e-103 1.92599357273e-103 2.53324795189e-103
anothers 2.04413604629e-103 3.28947368421e-103 0.00166572595719 0.00172229276779 2.53324795189e-103
answers 3.40515284065e-12 3.28947368421e-103 1.5064028685e-103 0.00192599356953 4.3317936674e-46
anticipate 2.04413604353e-103 0.00328947368421 1.50640275952e-103 1.92599357273e-103 2.53324795189e-103
antique 0.00204413604353 3.28947368421e-103 1.50640275982e-103 2.44749242649e-31 3.30194328218e-37
any 0.00408827212567 3.28947368421e-103 6.61815366084e-33 0.00192599353636 7.7837257062e-55
apparel 2.04413604353e-103 3.28947368421e-103 0.00150640275952 1.92599357302e-103 2.53324795189e-103
appear 2.04413604353e-103 0.00328947368421 1.50640275952e-103 1.92599357273e-103 2.53324795189e-103
are 2.63952627422e-43 0.00986842105263 0.00226933613829 0.00479708581966 0.00254042337967
argument 2.04413604353e-103 0.00328947368421 1.50640275952e-103 1.92599357273e-103 2.53324795189e-103
arising 2.04413604353e-103 0.00328947368421 1.50640275952e-103 1.92599357273e-103 2.53324795189e-103
art 0.00204413600834 0.00657894736842 0.00602561106313 1.16017890592e-12 4.94981876291e-42
as 0.00731161183891 3.28947368421e-103 3.16850512074e-18 0.00213254888342 0.0185329442365
assured 2.04413604353e-103 0.00328947368421 1.50640275952e-103 1.92599357273e-103 2.53324795189e-103
at 0.00197055518221 3.28947368421e-103 0.00596656935409 1.9260078029e-103 0.00272372259236
authority 2.04413604353e-103 0.00328947368421 1.50640275952e-103 1.92599357273e-103 2.53324795189e-103
away 2.04413604353e-103 0.00328947368421 1.50640275952e-103 1.92599357273e-103 2.53324795189e-103
ay 2.04413604353e-103 3.28947368421e-103 1.50640275952e-103 1.92599357273e-103 0.00253324795189
back 2.04413604425e-103 0.00328947368421 6.6073513422e-28 0.00385198714547 2.53324795922e-103
bad 2.04413604353e-103 0.00328947368421 1.50640275952e-103 1.92599357273e-103 2.53324795189e-103
balmy 2.04413604353e-103 3.28947368421e-103 0.00150640275952 1.92599358104e-103 2.53324795189e-103
