 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79
abhor 2.67666448481e-102 2.3358627193e-102 4.54545454545e-102 2.5e-102 8.32324988841e-102 1.11111111111e-101 5.53736436349e-102 2.71253535211e-102 2.7027027027e-102 9.99999998717e-102 5.65359823688e-102 4.37070888447e-102 4.55750417983e-102 1.56951572835e-102 7.15995475678e-102 5.96099734682e-102 5.57864207864e-102 2e-101 4.34782608696e-102 9.01795140163e-102 5.46714045241e-102 1.00003685913e-101 6.66666666667e-102 1.92826040105e-102 3.38413284317e-102 3.838335393e-102 8.94467469711e-102 7.33818508125e-102 6.69256189853e-102 1.11692062341e-101 2.17322622124e-102 1.00000003866e-101 5.36100570177e-102 2.71752211905e-102 2.49618296097e-102 4.16666666667e-102 3.84075333465e-102 5.12254536006e-102 0.0120481927711 2.02891586785e-102 5.88235294118e-102 3.42900242848e-102 7.14285714286e-102 2.5e-102 3.8179261122e-102 1.20481927711e-102 2.66120309777e-102 4.7619047619e-102 2.5e-102 3.18652999553e-102 3.29720812922e-102 1.65289169884e-102 1.2936007426e-102 1.92112082642e-102 3.125e-102 4.14916338365e-102 4.02319399243e-102 1.16070047701e-102 1.66666666667e-101 4.34782608696e-102 7.20196243227e-102 1.31066117496e-101 4.16666666667e-102 4.59444748536e-102 6.66666666572e-102 7.69230769231e-102 6.626081504e-102 4.70742960891e-102 1.21563626541e-102 4.1128720672e-102 2.94117663934e-102 5.55555495345e-102 1.2461514396e-102 9.94524167216e-102 2.27272727273e-102 2.95351698823e-102 4e-102 6.66666666667e-102 5.3045708965e-102 1.50903676947e-102
absence 2.67666448481e-102 2.3358627193e-102 4.54545454545e-102 2.5e-102 8.32324988841e-102 1.11111111111e-101 5.53736436349e-102 2.71253535211e-102 2.7027027027e-102 9.99999998717e-102 5.65359823688e-102 4.37070888447e-102 4.55750417983e-102 1.56951572835e-102 7.15995475678e-102 5.96099734682e-102 5.57864207864e-102 2e-101 4.34782608696e-102 9.01795140163e-102 5.46714045241e-102 1.00003685913e-101 6.66666666667e-102 1.92826040105e-102 3.38413284317e-102 3.838335393e-102 8.94467469711e-102 7.33818508125e-102 6.69256189853e-102 1.11692062341e-101 2.17322622124e-102 1.00000003866e-101 5.36100570177e-102 2.71752211905e-102 2.49618296097e-102 4.16666666667e-102 3.84075333465e-102 5.12254536006e-102 1.20481927711e-102 2.02891586785e-102 5.88235294118e-102 3.42900242848e-102 7.14285714286e-102 2.5e-102 3.8179261122e-102 1.20481927711e-102 2.66120309777e-102 4.7619047619e-102 2.5e-102 3.18652999553e-102 3.29720812922e-102 1.65289169884e-102 1.2936007426e-102 1.92112082642e-102 3.125e-102 4.14916338365e-102 4.02319399243e-102 1.16070047701e-102 1.66666666667e-101 4.34782608696e-102 7.20196243227e-102 1.31066117496e-101 4.16666666667e-102 4.59444748536e-102 6.66666666572e-102 7.69230769231e-102 6.626081504e-102 4.70742960891e-102 0.0121563626541 4.1128720672e-102 2.94117663934e-102 5.55555495345e-102 1.2461514396e-102 9.94524167216e-102 2.27272727273e-102 2.95351698823e-102 4e-102 6.66666666667e-102 5.3045708965e-102 1.50903676947e-102
absent 2.67666448481e-102 2.3358627193e-102 4.54545454545e-102 2.5e-102 8.32324988841e-102 1.11111111111e-101 5.53986637766e-102 2.71253535211e-102 2.7027027027e-102 9.99999998717e-102 5.65359823688e-102 4.37070888447e-102 4.55750417983e-102 1.56951572835e-102 7.15995475678e-102 5.96099734682e-102 5.57864207864e-102 2e-101 4.34782608696e-102 9.01795140163e-102 5.46714045241e-102 1.00003685913e-101 6.66666666667e-102 1.92826040105e-102 3.38413284317e-102 3.838335393e-102 8.94467469711e-102 7.33818508125e-102 6.69256189853e-102 1.11692062341e-101 2.17322622124e-102 1.00000003866e-101 5.36100570177e-102 2.71752211905e-102 2.49618296097e-102 4.16666666667e-102 3.84075333465e-102 5.12254536006e-102 1.20481927711e-102 2.02891586785e-102 5.88235294118e-102 3.42900242848e-102 7.14285714286e-102 2.5e-102 3.8179261122e-102 1.20481927711e-102 2.66120309777e-102 4.7619047619e-102 2.5e-102 3.18652999553e-102 3.29720812922e-102 0.0165289162557 1.2936007426e-102 1.92112082642e-102 3.125e-102 4.14916338365e-102 4.02319399243e-102 1.16070047701e-102 1.66666666667e-101 4.34782608696e-102 7.20196243227e-102 1.31066117496e-101 4.16666666667e-102 4.59444748536e-102 6.66666666572e-102 7.69230769231e-102 6.626081504e-102 4.70742960891e-102 1.21563626541e-102 4.1128720672e-102 2.94117663934e-102 5.55555495345e-102 1.2461514396e-102 9.94524167216e-102 2.27272727273e-102 1.30913194333e-09 4e-102 6.66666666667e-102 5.3045708965e-102 1.50903676947e-102
abundance 0.0267666448481 2.3358627193e-102 4.54545454545e-102 2.5e-102 8.32324988841e-102 1.11111111111e-101 5.53736436349e-102 2.71253535211e-102 2.7027027027e-102 9.99999998717e-102 5.65359823688e-102 4.37070888447e-102 4.55750417983e-102 1.56951572835e-102 7.15995475678e-102 5.96099734682e-102 5.57864207864e-102 2e-101 4.34782608696e-102 9.01795140163e-102 5.46714045241e-102 1.00003685913e-101 6.66666666667e-102 1.92826040105e-102 3.38413284317e-102 3.838335393e-102 8.94467469711e-102 7.33818508125e-102 6.69256189853e-102 1.11692062341e-101 2.17322622124e-102 1.00000003866e-101 5.36100570177e-102 2.71921193825e-102 2.49618296097e-102 4.16666666667e-102 3.84075333465e-102 5.12254536006e-102 1.20481927711e-102 2.02891586785e-102 5.88235294118e-102 3.42900242848e-102 7.14285714286e-102 2.5e-102 3.8179261122e-102 1.20481927711e-102 2.66120309777e-102 4.7619047619e-102 2.5e-102 3.18709249851e-102 3.29720812922e-102 1.65289169884e-102 1.2936007426e-102 1.92112082642e-102 3.125e-102 4.14916338365e-102 4.02319399243e-102 1.16070047701e-102 1.66666666667e-101 4.34782608696e-102 7.20196243227e-102 1.31066117496e-101 4.16666666667e-102 4.59444748536e-102 6.66666666572e-102 7.69230769231e-102 6.626081504e-102 4.70742960891e-102 1.21563626541e-102 4.1128720672e-102 2.94117663934e-102 5.55555495345e-102 1.2461514396e-102 9.94524167216e-102 2.27272727273e-102 2.95351698823e-102 4e-102 6.66666666667e-102 5.3045708965e-102 1.50903676947e-102
abundant 2.67666448481e-102 2.3358627193e-102 4.54545454545e-102 2.5e-102 8.32324988841e-102 1.11111111111e-101 5.53736436349e-102 2.71253535211e-102 2.7027027027e-102 9.99999998717e-102 5.65359823688e-102 4.37070888447e-102 0.0455750417983 1.56951572835e-102 7.15995475678e-102 5.96099734682e-102 5.57864207864e-102 2e-101 4.34782608696e-102 9.01795140163e-102 5.46714045241e-102 1.00003685913e-101 6.66666666667e-102 1.92826040105e-102 3.38413284317e-102 3.838335393e-102 8.94467469711e-102 7.33818508125e-102 6.69256189853e-102 1.11692062341e-101 2.17322622124e-102 1.00000003866e-101 5.36100570177e-102 2.71752211905e-102 2.49618296097e-102 4.16666666667e-102 3.84075333465e-102 5.12254536006e-102 1.20481927711e-102 2.02891586785e-102 5.88235294118e-102 3.42900242848e-102 7.14285714286e-102 2.5e-102 3.8179261122e-102 1.20481927711e-102 2.66120309777e-102 4.7619047619e-102 2.5e-102 3.18652999553e-102 3.29720812922e-102 1.65289169884e-102 1.2936007426e-102 1.92112082642e-102 3.125e-102 4.14916338365e-102 4.02319399243e-102 1.16070047701e-102 1.66666666667e-101 4.34782608696e-102 7.31059269192e-102 1.31066117496e-101 4.16666666667e-102 4.59444748536e-102 6.66666666572e-102 7.69230769231e-102 6.626081504e-102 4.70742960891e-102 1.21563626541e-102 4.1128720672e-102 2.94117663934e-102 5.55555495345e-102 1.2461514396e-102 9.94524167216e-102 2.27272727273e-102 2.95351698823e-102 4e-102 6.66666666667e-102 5.3045708965e-102 1.50903676947e-102
abysm 2.67666448481e-102 2.3358627193e-102 4.54545454545e-102 2.5e-102 8.32324988841e-102 1.11111111111e-101 5.53736436349e-102 2.71253535211e-102 2.7027027027e-102 9.99999998717e-102 5.65359823688e-102 0.0437070888447 4.55750417983e-102 1.56951572835e-102 7.15995475678e-102 5.96099734682e-102 5.57864207864e-102 2e-101 4.34782608696e-102 9.01795140163e-102 5.46714045241e-102 1.00003685913e-101 6.66666666667e-102 1.92833203024e-102 3.38413284317e-102 3.838335393e-102 8.94467469711e-102 7.33818508125e-102 6.69256189853e-102 1.11692062341e-101 2.17322622124e-102 1.00000003866e-101 5.36100570177e-102 2.71752211905e-102 2.49618296097e-102 4.16666666667e-102 3.84075333465e-102 5.12254536006e-102 1.20481927711e-102 2.02891586785e-102 5.88235294118e-102 3.42900242848e-102 7.14285714286e-102 2.5e-102 3.8179261122e-102 1.20481927711e-102 2.66120309777e-102 4.7619047619e-102 2.5e-102 3.18652999553e-102 3.29720812922e-102 1.65289169884e-102 1.2936007426e-102 1.92112082642e-102 3.125e-102 4.14916338365e-102 4.02319399243e-102 1.16070047701e-102 1.66666666667e-101 4.34782608696e-102 7.20196243227e-102 1.31066117496e-101 4.16666666667e-102 4.59444748536e-102 6.66666666572e-102 7.69230769231e-102 6.626081504e-102 4.70742960891e-102 1.21563626541e-102 4.1128720672e-102 2.94117663934e-102 5.55555495345e-102 1.2461514396e-102 9.94524167216e-102 2.27272727273e-102 2.95351698823e-102 4e-102 6.66666666667e-102 5.3045708965e-102 1.50903676947e-102
account 2.67666448481e-102 2.3358627193e-102 4.54545454545e-102 2.5e-102 8.32324988841e-102 1.11111111111e-101 5.53736436349e-102 2.71253535211e-102 2.7027027027e-102 9.99999998717e-102 5.65359823688e-102 1.19323178889e-35 4.55750417983e-102 1.56951572835e-102 0.0715995475678 5.96099734682e-102 5.57864207864e-102 2e-101 4.34782608696e-102 9.01795140163e-102 5.46714045241e-102 1.00003685913e-101 6.66666666667e-102 1.92826433899e-102 3.38413284317e-102 3.838335393e-102 8.94467469711e-102 7.33818508125e-102 6.69256189853e-102 1.11692062341e-101 2.17322622124e-102 1.00000003866e-101 5.36100570177e-102 2.71752211905e-102 2.49618296097e-102 4.16666666667e-102 3.84075333465e-102 5.12254536006e-102 1.20481927711e-102 2.02891586785e-102 5.88235294118e-102 3.42900242848e-102 7.14285714286e-102 2.5e-102 3.8179261122e-102 1.20481927711e-102 2.66120309777e-102 4.7619047619e-102 2.5e-102 3.18652999553e-102 3.29720812922e-102 1.65289169884e-102 1.2936007426e-102 1.92112082642e-102 3.125e-102 4.14916338365e-102 4.02319399243e-102 1.16070047701e-102 1.66666666667e-101 4.34782608696e-102 7.20196243227e-102 1.31066117496e-101 4.16666666667e-102 4.59444748536e-102 6.66666666572e-102 7.69230769231e-102 6.626081504e-102 4.70742960891e-102 1.21563626541e-102 4.1128720672e-102 2.94117663934e-102 5.55555495345e-102 1.2461514396e-102 9.94524167216e-102 2.27272727273e-102 2.95351698823e-102 4e-102 6.66666666667e-102 5.3045708965e-102 1.50903676947e-102
acknowledge 2.67666448481e-102 2.3358627193e-102 4.54545454545e-102 2.5e-102 8.32324988841e-102 1.11111111111e-101 5.53736436349e-102 2.71253535211e-102 2.7027027027e-102 9.99999998717e-102 5.65359823688e-102 4.37070888447e-102 4.55750417983e-102 1.56951572835e-102 7.15995475678e-102 5.96099734682e-102 5.57864207864e-102 2e-101 4.34782608696e-102 9.01795140163e-102 5.46714045241e-102 1.00003685913e-101 6.66666666667e-102 1.92826040105e-102 3.38413284317e-102 3.838335393e-102 8.94467469711e-102 7.33818508125e-102 6.69256189853e-102 1.11692062341e-101 0.0217322622124 1.00000003866e-101 5.36100570177e-102 2.71752211905e-102 2.49618296097e-102 4.16666666667e-102 3.84075333465e-102 5.12254536006e-102 1.20481927711e-102 2.02891586785e-102 5.88235294118e-102 3.42900242848e-102 7.14285714286e-102 2.5e-102 3.8179261122e-102 1.20481927711e-102 2.66120309777e-102 4.7619047619e-102 2.5e-102 3.18652999553e-102 3.29720812922e-102 1.65289169884e-102 1.2936007426e-102 1.92112082642e-102 3.125e-102 4.14916338365e-102 4.02319399243e-102 1.16070047701e-102 1.66666666667e-101 4.34782608696e-102 7.20196243227e-102 1.31066117496e-101 4.16666666667e-102 4.59444748536e-102 6.66666666572e-102 7.69230769231e-102 6.626081504e-102 4.70742960891e-102 1.21563626541e-102 4.1128720672e-102 2.94117663934e-102 5.55555495345e-102 1.2461514396e-102 9.94524167216e-102 2.27272727273e-102 2.95351698823e-102 4e-102 6.66666666667e-102 5.3045708965e-102 1.50903676947e-102
add 2.67666448481e-102 2.3358627193e-102 4.54545454545e-102 2.5e-102 8.32324988841e-102 1.11111111111e-101 5.53736436349e-102 2.71253535211e-102 2.7027027027e-102 9.99999998717e-102 5.65359823688e-102 4.37070888447e-102 4.55750417983e-102 1.56951572835e-102 7.15995475678e-102 5.96099734682e-102 5.57864207864e-102 2e-101 4.34782608696e-102 9.01795140163e-102 5.46714045241e-102 1.00003685913e-101 6.66666666667e-102 1.92826040105e-102 3.38413284317e-102 3.838335393e-102 8.94467469711e-102 7.33818508125e-102 6.69256189853e-102 1.11692062341e-101 2.17322622124e-102 1.00000003866e-101 0.0536100570177 2.71752211905e-102 2.49618296097e-102 4.16666666667e-102 3.84075333465e-102 5.12254536006e-102 1.20481927711e-102 2.02891586785e-102 5.88235294118e-102 3.42900242848e-102 7.14285714286e-102 2.5e-102 3.8179261122e-102 1.20481927711e-102 2.66120309777e-102 4.7619047619e-102 2.5e-102 3.18652999553e-102 3.29720812922e-102 1.65289169884e-102 1.2936007426e-102 1.92112082642e-102 3.125e-102 4.14916338365e-102 4.02319399243e-102 1.16070047701e-102 1.66666666667e-101 4.34782608696e-102 7.20196243227e-102 1.31066117496e-101 4.16666666667e-102 4.59444748536e-102 6.66666666572e-102 7.69230769231e-102 6.626081504e-102 4.70742960891e-102 1.21563626541e-102 4.1128720672e-102 2.94117663934e-102 5.55555495345e-102 1.2461514396e-102 9.94524167216e-102 2.27272727273e-102 2.95351698823e-102 4e-102 6.66666666667e-102 5.3045708965e-102 1.50903676947e-102
addition 2.67666448481e-102 2.3358627193e-102 0.0454545454545 2.5e-102 8.32324988841e-102 1.11111111111e-101 5.53736436349e-102 2.71253535211e-102 2.7027027027e-102 9.99999998717e-102 5.65359823688e-102 4.37070888447e-102 4.55750417983e-102 1.56951572835e-102 7.15995475678e-102 5.96099734682e-102 5.57864207864e-102 2e-101 4.34782608696e-102 9.01795140163e-102 5.46714045241e-102 1.00003685913e-101 6.66666666667e-102 1.92826040105e-102 3.38413284317e-102 3.838335393e-102 8.94467469711e-102 7.33818508125e-102 6.69256189853e-102 1.11692062341e-101 2.17322622124e-102 1.00000003866e-101 5.36100570177e-102 2.71752211905e-102 2.49618296097e-102 4.16666666667e-102 3.84075333465e-102 5.12254536006e-102 1.20481927711e-102 2.02891586785e-102 5.88235294118e-102 3.42900242848e-102 7.14285714286e-102 2.5e-102 3.8179261122e-102 1.20481927711e-102 2.66120309777e-102 4.7619047619e-102 2.5e-102 3.18652999553e-102 3.29720812922e-102 1.65289169884e-102 1.2936007426e-102 1.92112082642e-102 3.125e-102 4.14916338365e-102 4.02319399243e-102 1.16070047701e-102 1.66666666667e-101 4.34782608696e-102 7.20196243227e-102 1.31066117496e-101 4.16666666667e-102 4.59444748536e-102 6.66666666572e-102 7.69230769231e-102 6.626081504e-102 4.70742960891e-102 1.21563626541e-102 4.1128720672e-102 2.94117663934e-102 5.55555495345e-102 1.2461514396e-102 9.94524167216e-102 2.27272727273e-102 2.95351698823e-102 4e-102 6.66666666667e-102 5.3045708965e-102 1.50903676947e-102
