 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
abhor 7.55210426204e-103 1.54543585545e-102 1.41727675376e-102 1.15389766588e-102 8.54412882309e-103 4.48324932163e-103 4.35729442881e-103 1.25674310487e-102 6.22011571947e-103 1.92916127016e-102 7.19647058285e-103 9.099888789e-103 7.4430998975e-103 5.41512659209e-103 8.2838945963e-103 1.9894760918e-102 4.20638288451e-70 1.19239802767e-102 0.00837830852055 1.09388879542e-102
abundance 7.55210426204e-103 1.54543585545e-102 1.41727675376e-102 1.15389766588e-102 8.54412882309e-103 4.48324932163e-103 4.35729442881e-103 1.25674310487e-102 6.25383744346e-103 1.92916127016e-102 7.19647058285e-103 9.099888789e-103 0.0074430998975 5.41512659209e-103 8.2838945963e-103 1.9894760918e-102 6.60481940446e-103 1.19239802767e-102 8.37830852055e-103 1.09388879542e-102
abuse 7.55210426204e-103 1.54543585545e-102 1.41727675376e-102 1.15389766588e-102 8.54412882309e-103 4.48324932163e-103 0.00435729442881 1.25674310487e-102 6.22011571947e-103 1.92916127016e-102 7.19647058285e-103 9.099888789e-103 7.4430998975e-103 5.41512659209e-103 8.2838945963e-103 1.9894760918e-102 6.60481940446e-103 1.19239802767e-102 8.37830852055e-103 1.09388879542e-102
abuses 7.55210426204e-103 1.54543585545e-102 1.41727675376e-102 1.15389766588e-102 8.54412882309e-103 4.48324932163e-103 4.35729442881e-103 1.25674310487e-102 6.22011571947e-103 1.93138888955e-102 7.19647058285e-103 9.099888789e-103 7.4430998975e-103 5.41512659209e-103 8.2838945963e-103 0.019894760918 6.60481940446e-103 1.19239802767e-102 8.37830852055e-103 1.09388879542e-102
acceptable 7.55210426204e-103 1.54543585545e-102 1.41727675376e-102 1.15389766588e-102 8.54412882309e-103 0.00448324932163 4.35729442881e-103 1.25674310487e-102 6.22011571947e-103 1.92916127016e-102 7.19647058285e-103 9.09988878903e-103 7.4430998975e-103 5.41512659209e-103 8.2838945963e-103 1.9894760918e-102 6.60481940446e-103 1.19239802767e-102 8.37830852055e-103 1.09388879542e-102
account 7.55210426204e-103 1.55859018051e-102 1.41727675376e-102 1.15389766588e-102 8.54412882309e-103 4.48324932163e-103 4.35729442881e-103 1.25674310487e-102 6.22011571947e-103 1.92916127016e-102 7.19647058285e-103 9.099888789e-103 7.4430998975e-103 5.41512659209e-103 8.2838945963e-103 1.9894760918e-102 6.60481940446e-103 1.19239802767e-102 0.00837830852055 1.09388879542e-102
accumulate 7.55210426204e-103 1.54543585545e-102 1.41727675376e-102 1.15389766588e-102 8.54412882309e-103 4.48324932163e-103 4.35729442881e-103 0.0125674310487 6.22011571947e-103 1.92916127016e-102 7.19647058285e-103 9.099888789e-103 7.4430998975e-103 5.41512659209e-103 8.2838945963e-103 1.9894760918e-102 6.60481940446e-103 1.19239802767e-102 8.37830852055e-103 1.09388879542e-102
acquaintance 0.00755210426204 1.54543585545e-102 1.41727675376e-102 1.15389766588e-102 0.00854412882309 4.48324932163e-103 4.35729442881e-103 1.25674310896e-102 6.22011571947e-103 1.92924359128e-102 7.19647058285e-103 9.099888789e-103 7.4430998975e-103 5.41614920806e-103 8.2838945963e-103 1.9894760918e-102 6.60481956614e-103 1.19239802767e-102 8.37830852055e-103 1.09388879542e-102
add 0.00755210426204 1.54543585545e-102 1.41727675376e-102 1.15389766588e-102 8.54412882309e-103 4.48324932163e-103 4.35729442881e-103 1.25674310487e-102 6.22011571947e-103 1.92916127016e-102 0.00719647058285 9.09988934407e-103 7.4430998975e-103 5.41512659209e-103 8.2838945963e-103 1.9894760918e-102 6.60481940446e-103 1.19239803578e-102 8.38734623789e-103 7.63038960045e-23
adders 7.55210426204e-103 1.54543585545e-102 1.41727675376e-102 1.15389766588e-102 0.00854412882309 4.48324932163e-103 4.35729442881e-103 1.25674310487e-102 3.48914424213e-53 1.92916127016e-102 7.19647058285e-103 9.099888789e-103 7.4430998975e-103 5.41512659209e-103 8.2838945963e-103 1.9894760918e-102 6.60481940446e-103 1.19239802767e-102 8.37830852055e-103 1.09388879542e-102
addeth 7.55210426204e-103 1.54543585545e-102 1.41727675376e-102 1.15389766588e-102 8.54412882309e-103 4.48324932163e-103 4.35729442881e-103 1.25674310487e-102 6.22011571947e-103 1.92916132653e-102 0.00719647058285 9.099888789e-103 7.4430998975e-103 5.41512659209e-103 8.2838945963e-103 1.9894760918e-102 6.60481940446e-103 1.19365590569e-102 2.20025746356e-68 1.09388879542e-102
