 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
abhor 1.46246341662e-102 1.42695342122e-102 4.17433115904e-102 9.79021327244e-103 2.85826500905e-102 3.00295368217e-102 1.71517927216e-102 1.44233448618e-102 9.08798032646e-103 6.22884333446e-102 2.77884049773e-102 1.62483350376e-102 6.78727017463e-103 8.84678217927e-103 4.98731766616e-102 0.0160218296585 9.48134532196e-103 2.90321977648e-102 1.81461986663e-102 2.05407778596e-102 2.86266595793e-102 1.95909366255e-102 2.73208132033e-102 1.89265104328e-102 1.55214063166e-102 2.38893080012e-102 2.37749930788e-102 4.16654185166e-102 2.17583263245e-102 2.82282011347e-102 2.52588703246e-102 4.21864902249e-103 3.36371588331e-102 2.12676334227e-102 3.3501684025e-102 1.29804091522e-102 2.38010912122e-102 1.95985323956e-102 1.11305484118e-102 1.72376199307e-102
abundance 1.46246341662e-102 1.42695342122e-102 4.17433115904e-102 0.00979021327244 2.85826500905e-102 3.00295368217e-102 1.71648815391e-102 1.44233448618e-102 9.08798032646e-103 6.22884333446e-102 2.77884049773e-102 1.62483350376e-102 6.78727017463e-103 8.84678217927e-103 5.02210188662e-102 1.60218296585e-102 9.48134532196e-103 2.90321977648e-102 1.81461986663e-102 2.05407778596e-102 2.86266595793e-102 1.95730770049e-102 2.73208132033e-102 1.89265104328e-102 1.55214063166e-102 2.38893080012e-102 2.37749930788e-102 4.16654185166e-102 2.17583263245e-102 1.14674909785e-57 2.52588703246e-102 4.21864902249e-103 3.36371588331e-102 2.12676334227e-102 3.3501684025e-102 1.29804091522e-102 2.38010912122e-102 1.95985323956e-102 1.11305484118e-102 1.72376199307e-102
abuse 1.46246341662e-102 1.42695342122e-102 4.17433115904e-102 9.79021327244e-103 2.85826500905e-102 3.00295368217e-102 1.71517927216e-102 1.44233448618e-102 9.08798032646e-103 6.22884333446e-102 2.77884049773e-102 1.62483350376e-102 6.78727017463e-103 8.84678217927e-103 4.98731766616e-102 1.60218296585e-102 9.48134532196e-103 2.90321977648e-102 1.81461986663e-102 2.05407778596e-102 2.86266595793e-102 1.95730770049e-102 2.73208132033e-102 1.89265104328e-102 1.55214063166e-102 2.38893080012e-102 2.37749930788e-102 4.16654185166e-102 2.17583263245e-102 2.82282011347e-102 2.52588703246e-102 4.21864902249e-103 3.36371588331e-102 2.12676334227e-102 3.3501684025e-102 1.29804091522e-102 2.38010912122e-102 1.95985323956e-102 0.0111305484118 1.72376199307e-102
abuses 1.50189070532e-102 1.42695342122e-102 4.17433115904e-102 9.79021327244e-103 2.85826500905e-102 3.00295368217e-102 1.71517927216e-102 1.44233448618e-102 9.08798032646e-103 6.22884333446e-102 2.77884049773e-102 1.62483350376e-102 6.78727017463e-103 8.84678217927e-103 4.98731766616e-102 1.60218296585e-102 9.48567621181e-103 2.90321977648e-102 1.81461986663e-102 2.05407778596e-102 2.86266595793e-102 1.95730770049e-102 2.73208132033e-102 1.89265104328e-102 6.25990500406e-82 2.38893080012e-102 2.37749930788e-102 4.16654185166e-102 2.17583263245e-102 2.82282011347e-102 2.52588703246e-102 4.21864902249e-103 3.36371588331e-102 0.0212676334227 3.3501684025e-102 1.29804091522e-102 1.34445747259e-56 1.95985323956e-102 1.11305484118e-102 1.72376199307e-102
acceptable 1.46246341662e-102 1.42695342122e-102 4.17433115904e-102 9.79021327244e-103 2.85826500905e-102 3.00295368217e-102 1.71517927216e-102 1.44233448618e-102 9.08798032646e-103 6.22884333446e-102 2.77884049773e-102 1.6248335095e-102 0.00678727017463 8.84678217927e-103 4.98731766616e-102 1.60218296585e-102 9.48134532196e-103 2.90321977648e-102 1.81461986663e-102 2.05407778596e-102 2.86266595793e-102 1.95730770049e-102 2.73208132033e-102 1.89265104328e-102 1.55214063166e-102 2.38893080012e-102 2.37749930788e-102 4.16654185166e-102 2.17583263247e-102 2.82282011347e-102 2.52588703246e-102 4.21864902249e-103 3.36371588331e-102 2.12676334227e-102 3.3501684025e-102 1.29804091522e-102 2.38010912122e-102 1.95985323956e-102 1.11305484118e-102 1.72376199307e-102
account 1.46246341662e-102 1.42695342122e-102 4.17433115904e-102 0.00979021327244 2.85826500905e-102 3.00295368217e-102 1.71517927216e-102 1.44233448618e-102 9.08798032646e-103 6.22884333446e-102 2.77884049773e-102 1.62483350376e-102 6.78727017463e-103 8.84678217927e-103 4.98731766616e-102 1.60218296585e-102 9.48134532196e-103 2.90321977648e-102 1.81461986663e-102 2.05407778596e-102 2.86266595793e-102 1.95730770049e-102 2.73208132033e-102 1.89265104328e-102 1.55214063166e-102 2.38893080012e-102 2.37749930788e-102 4.16654185166e-102 2.17583263245e-102 2.82282011347e-102 2.52588703246e-102 4.21864902249e-103 3.36371588331e-102 2.12676334227e-102 3.3501684025e-102 1.29804091522e-102 2.38010912122e-102 1.95985323956e-102 1.11305484118e-102 7.28199881079e-52
accumulate 1.46246341662e-102 1.42695342122e-102 4.17433115904e-102 9.79021327244e-103 2.85826500905e-102 3.00295368217e-102 1.71517927216e-102 1.44233448618e-102 0.00908798032646 6.22884333446e-102 2.77884049773e-102 1.62483350376e-102 6.78727017463e-103 8.84678217927e-103 4.98731766616e-102 1.60218296585e-102 9.48134532196e-103 2.90321977648e-102 1.81461986663e-102 2.05407778596e-102 2.86266595793e-102 1.95730770049e-102 2.73208132033e-102 1.89265104328e-102 1.55214063166e-102 2.38893080012e-102 2.37749930788e-102 4.16654185166e-102 2.17583263245e-102 2.82282011347e-102 2.52588703246e-102 4.21864902249e-103 3.36371588331e-102 2.12676334227e-102 3.3501684025e-102 1.29804091522e-102 2.38010912122e-102 1.95985323956e-102 1.11305484118e-102 1.72376199307e-102
acquaintance 1.46246341662e-102 1.42695342122e-102 4.17433115904e-102 0.00979021327244 2.85826500905e-102 3.00295368217e-102 1.71517927216e-102 1.44483477314e-102 9.08798032646e-103 6.22884333446e-102 2.77884049773e-102 1.62483350376e-102 6.78727017463e-103 0.00884678217927 4.98731766616e-102 1.60218296585e-102 9.48134532196e-103 2.90321977648e-102 1.81461986663e-102 2.05407778596e-102 2.86266595793e-102 1.95730770049e-102 2.73208132033e-102 1.89265104328e-102 1.55214063166e-102 2.38893080012e-102 2.37749930788e-102 4.16654185166e-102 2.17583263245e-102 2.82282011347e-102 4.02307095566e-78 4.21864902249e-103 3.36371588331e-102 2.14146270712e-102 3.3501684025e-102 1.29804091522e-102 2.38010912122e-102 1.95985323956e-102 1.11305484118e-102 1.72376199307e-102
add 1.46246341662e-102 1.42695342122e-102 4.17433115904e-102 9.79021327244e-103 2.85826500905e-102 3.00295368217e-102 1.71517927216e-102 1.44233448618e-102 9.08798032646e-103 6.22884333446e-102 2.77884049773e-102 1.62483350376e-102 6.78727017463e-103 8.84678217927e-103 4.98731766616e-102 0.032043659317 9.48134532196e-103 2.90321977648e-102 1.81461986663e-102 2.05407778596e-102 2.86266595793e-102 1.95730770049e-102 2.73208132033e-102 1.89265104328e-102 1.55214063166e-102 2.38893080012e-102 2.37749930788e-102 4.16654185166e-102 2.17583263245e-102 2.82282011347e-102 2.52588703246e-102 4.21864902249e-103 3.36371588331e-102 2.12676334227e-102 3.3501684025e-102 1.29804091522e-102 2.38010912122e-102 1.95985323956e-102 1.11305484118e-102 1.72376199307e-102
adders 1.46246341662e-102 1.42695342122e-102 4.17433115904e-102 9.79021327244e-103 2.85826500905e-102 3.00295368217e-102 1.71517927216e-102 1.44233448618e-102 9.08798032646e-103 6.22884333446e-102 2.77884049773e-102 1.62483350376e-102 6.78727017463e-103 8.84678217927e-103 4.98731766616e-102 1.60218296585e-102 9.48134532196e-103 2.90321977648e-102 1.81461986663e-102 2.05407778596e-102 2.86266595793e-102 1.95730770049e-102 2.73208132033e-102 0.0189265104328 1.55214063166e-102 2.38893080012e-102 2.37749930788e-102 4.16654185166e-102 2.17583263245e-102 2.82282011347e-102 2.52588703246e-102 4.21864902249e-103 3.36371588331e-102 2.12676334227e-102 3.3501684025e-102 1.29804091522e-102 2.38010912122e-102 1.95985323956e-102 1.11305484118e-102 1.72376199307e-102
