 0 1 2 3 4
abhor 2.29379246764e-103 1.13452940243e-72 0.00237846991215 1.44045056727e-103 3.65045796749e-103
abundance 2.29379246764e-103 1.96179946557e-103 2.37846991215e-103 0.00143854947796 2.95176291497e-103
abuse 0.00229379246764 1.96179946557e-103 2.37846991215e-103 1.43854947796e-103 2.94358639852e-103
abuses 2.294812076e-103 0.00196179946557 2.37846991215e-103 1.44195263205e-103 2.94358639852e-103
acceptable 0.00229379246764 1.96179946557e-103 2.37846991215e-103 1.43854947796e-103 1.82109531475e-22
account 2.29379246764e-103 1.96179946557e-103 2.37861164677e-103 0.00143854947796 2.94358639852e-103
accumulate 0.00229379246764 1.96179946557e-103 2.37846991215e-103 1.43854947796e-103 2.94358639852e-103
acquaintance 2.29923339901e-103 0.00196179946557 2.37846991215e-103 1.43854947796e-103 0.00294358639852
add 4.03177257354e-86 4.34494682093e-93 0.00475693982429 1.43862928582e-103 4.84069427851e-70
adders 2.29603665514e-103 0.00196179946557 2.37846991215e-103 1.4399174658e-103 2.94358639852e-103
addeth 2.30334796012e-103 1.96179946557e-103 1.18992970284e-57 0.00143854947796 2.94358639852e-103
adding 2.29379246764e-103 1.96180016459e-103 2.37846991479e-103 0.00143854947796 2.96310701192e-103
admired 2.29379246764e-103 1.98298149451e-103 0.00237846991215 1.44052784876e-103 1.55120079272e-31
adoting 0.00229379246764 1.96179946557e-103 2.37846991215e-103 1.43854947796e-103 2.94358639852e-103
adverse 2.29379246764e-103 1.96179946557e-103 2.37846991215e-103 0.00143854947796 2.96356167781e-103
advocate 0.00229379246764 1.96179946557e-103 2.37846991215e-103 1.43854947796e-103 2.94358639852e-103
afar 2.29392872637e-103 0.00196179946557 2.37846991215e-103 1.446282162e-103 2.94358639852e-103
affairs 2.29570147137e-103 0.00174983333505 2.37846991215e-103 0.00159398012812 2.943696501e-103
affords 0.00229379246764 1.96179946557e-103 2.37846991215e-103 1.43854947796e-103 2.94358639852e-103
after 2.29379246764e-103 1.96179946557e-103 2.37846991215e-103 0.00287709895592 2.9772541548e-103
again 2.297679537e-103 1.96265351154e-103 2.37847021437e-103 1.46226862552e-92 0.00588717279704
against 2.29733415681e-103 1.96179946557e-103 2.37846991215e-103 1.43854947796e-103 0.00588717279704
age 0.00468565459059 1.96340184104e-103 1.38476402703e-22 0.00281559467712 1.51980005608e-96
ages 2.29379246764e-103 4.04288336627e-63 0.00152008721059 1.10670697066e-87 0.00400591795552
aggravate 2.29379312239e-103 1.96794502522e-103 0.00237846991215 1.43854947796e-103 2.94358639852e-103
air 0.00229379246764 1.96179946557e-103 2.37846991215e-103 1.43854947796e-103 2.94358639852e-103
all 2.86895372974e-96 0.00159345641954 0.0136034781628 0.00828769661423 0.0167995936691
alone 0.00229379246764 1.96179946557e-103 2.37846991215e-103 1.43854947796e-103 2.94358639852e-103
already 2.2967310202e-103 0.00196179946557 2.37846991215e-103 1.44163482611e-103 2.94358639852e-103
although 2.29379246764e-103 1.96188746799e-103 2.37846991215e-103 0.00143854947796 9.92381346689e-76
am 2.30977950656e-103 0.00200817336198 0.00235254345382 0.00285877475417 3.09790689892e-39
among 2.29379246764e-103 1.96308024955e-103 0.00237846991215 1.46920104039e-103 2.99083778082e-103
an 2.29379246764e-103 1.9679402269e-103 0.00237846991215 1.43854947796e-103 2.94358639852e-103
and 2.31004048453e-103 0.00974622213025 2.79094732862e-20 0.0938011163787 0.0436435336139
angel 2.32591411311e-103 1.38511205316e-34 3.96868562414e-78 0.00143854947796 2.94358639852e-103
anger 2.29379246764e-103 1.96179946557e-103 2.37846991215e-103 0.00143854947796 2.94358639852e-103
another 2.29379927652e-103 0.00196179946557 2.37846991215e-103 1.43854947796e-103 2.94358639852e-103
anothers 2.29569418256e-103 0.00196179946557 2.37846991215e-103 3.48303832518e-67 2.94358639852e-103
answer 2.29763708549e-103 1.96179946557e-103 2.39982423789e-103 0.00143854947796 2.94358639852e-103
antique 2.29550023872e-103 0.00392359893114 2.37846991215e-103 1.43854947796e-103 2.94358639852e-103
antiquity 0.00265649490438 1.96179946557e-103 0.00200237798359 6.95287550253e-39 2.94358639852e-103
any 2.29379246764e-103 6.87286380729e-25 2.37854070847e-103 0.00287709895592 2.9461580881e-103
appetite 2.29379246764e-103 1.96179946557e-103 2.37846991215e-103 0.00143854947796 2.94358639852e-103
april 2.29379246764e-103 0.00196179946557 2.37848177072e-103 1.43854947796e-103 2.94358639852e-103
are 2.29379246764e-103 0.00777184653905 2.37847516254e-103 0.00149380314104 4.14577149286e-96
argument 0.00229379246764 1.96179946557e-103 2.37846991215e-103 1.43854947796e-103 2.94358639852e-103
art 0.00692021795981 0.00180451999069 2.37854506287e-103 0.00296807012927 3.03482573582e-103
arts 1.89815344164e-36 1.96690497807e-103 0.00237846991215 1.58852072458e-80 1.90275930839e-51
as 2.29751346701e-103 0.00389309296967 0.0059216064255 0.00531583422354 0.0142193050863
ashes 0.00229379246764 1.96622376225e-103 2.38699427478e-103 1.4385669845e-103 2.95107854355e-103
aspect 0.00229379246764 1.96179946557e-103 2.37846991215e-103 1.43854947796e-103 2.94358639852e-103
assailed 2.29379246769e-103 1.96179946557e-103 2.37846991215e-103 0.00143854947796 2.94358639852e-103
assured 0.00229379246764 1.96179946557e-103 2.37846991215e-103 1.43854947796e-103 2.94358639852e-103
at 5.09383765446e-66 1.08047416328e-37 0.0023744707645 0.00551891011226 0.0122607451485
attend 0.00229379246764 1.96179946557e-103 2.37846991215e-103 1.43854947796e-103 2.34439382172e-20
attending 2.29379246764e-103 1.96179946557e-103 0.00237846991215 1.43854947796e-103 1.88415210701e-90
audit 2.29379246764e-103 1.96179946557e-103 2.37846991215e-103 1.43854947796e-103 0.00294358639852
awake 0.00229379246764 1.96179946557e-103 2.37846991215e-103 1.43854947796e-103 2.94358639852e-103
away 0.0068820381909 0.00196123431701 3.665656995e-34 9.15181832914e-57 2.49127348872e-81
aye 2.29379246764e-103 1.97030433054e-103 0.00237846991215 1.43854947796e-103 6.62770616308e-96
babe 2.29379246764e-103 4.71240143234e-63 6.30148318242e-81 0.00147517370112 0.00286864523953
back 2.14539402519e-51 1.96179946557e-103 0.00237846991215 2.1496332885e-103 2.94358639852e-103
bail 0.00229379246764 1.96179946557e-103 2.37846991215e-103 1.43854947796e-103 2.94358639852e-103
barren 0.00229379246764 1.96179946557e-103 2.37846991215e-103 1.43854947796e-103 1.42675690705e-24
barrenly 2.29379246764e-103 0.00196179946557 2.37846991215e-103 1.43854947796e-103 2.94358639852e-103
base 0.00229379246764 2.01769509458e-103 2.49364812748e-35 1.43854947796e-103 2.94358639852e-103
basest 2.29379246764e-103 1.96619533057e-103 0.00237846991215 1.43854947796e-103 4.06242407164e-100
be 0.0181674821832 0.0196146285776 0.00454772610805 0.00168223360896 1.32647569278e-15
bear 2.29379246764e-103 1.96179946557e-103 2.37846991215e-103 0.00143854947796 2.95883308869e-103
bears 9.07561568242e-88 2.14608924644e-71 0.00177171243093 0.00180552938077 5.799416788e-13
beated 2.29379246764e-103 1.96179946557e-103 2.37846991215e-103 0.00143854947796 8.5814825236e-80
beauteous 2.30704972314e-103 1.96179946557e-103 2.37846991215e-103 1.43854947796e-103 0.00294358639852
beauty 1.1206865991e-100 0.00433592540554 0.0066541158631 0.00118543040746 0.00343849480042
beautys 2.29569487961e-103 0.00175068832928 2.37846991215e-103 0.00159335317744 3.04618612466e-75
been 2.29507423657e-103 1.52370618368e-75 2.37846991215e-103 0.00143854947796 7.33559235157e-32
