 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
abused 1.40959917228e-102 9.98335661851e-103 1.60367307901e-102 6.59177736607e-103 8.36533006119e-103 8.53004986087e-103 6.68900900166e-103 7.56278456769e-103 0.00491606935993 7.73665796169e-103 5.39113543036e-103 1.30627700611e-102 8.96216914219e-103 7.81664439093e-103 7.29728044582e-103 5.29433051574e-103 2.0546488241e-85 5.95230775027e-103 9.63364296894e-103 4.45848203199e-103
accessary 1.40959917228e-102 9.98335661851e-103 1.60367307901e-102 6.59177736607e-103 8.36533006119e-103 8.53004986087e-103 6.68900900166e-103 7.56278456769e-103 4.91606935993e-103 7.73665796169e-103 5.39113543036e-103 1.30627700611e-102 8.96216914219e-103 7.81664439093e-103 7.29728044582e-103 5.29433051574e-103 3.69123398574e-102 5.95230775027e-103 9.63364296894e-103 0.00445848203199
add 1.40959917228e-102 9.98335661851e-103 1.60367307901e-102 6.59177736607e-103 8.36533006119e-103 0.00853004986087 6.68900900166e-103 7.56278456769e-103 4.91606935993e-103 7.73665796169e-103 5.39113543036e-103 1.30627700611e-102 8.96216914219e-103 7.81664439093e-103 7.29728044582e-103 5.29433051574e-103 3.69123398574e-102 5.95230775027e-103 9.63364296894e-103 4.45848203199e-103
adjunct 1.40959917228e-102 9.98335661851e-103 1.60367307901e-102 6.59177736607e-103 8.36533006119e-103 8.53004986087e-103 0.00668900900166 7.56278456769e-103 4.91606935993e-103 7.73665796169e-103 5.39113543036e-103 1.30627700611e-102 8.96216914219e-103 7.81664439093e-103 7.29728044582e-103 5.29433051574e-103 3.69123398574e-102 5.95230775027e-103 9.63364296894e-103 4.45848203199e-103
admiring 1.40959917228e-102 9.98335661851e-103 1.60367307901e-102 0.00659177736607 8.36533006119e-103 8.53004986088e-103 6.68900900166e-103 7.56278456769e-103 4.91606935993e-103 7.73665796169e-103 5.39113543036e-103 1.30627700611e-102 8.96216914219e-103 7.81664439093e-103 7.29728044582e-103 5.29433051574e-103 3.69123398574e-102 5.95230775027e-103 9.63364296894e-103 4.45848203199e-103
advance 1.40959917228e-102 9.98335661851e-103 1.60367307901e-102 6.59177736607e-103 8.36533006119e-103 8.53004986087e-103 6.68900900166e-103 7.56278456769e-103 4.91606935993e-103 7.73665796169e-103 5.39113543036e-103 1.30627700611e-102 8.96216914219e-103 7.81664439093e-103 7.29728044582e-103 5.29433051574e-103 3.69123398574e-102 5.95230775027e-103 0.00963364296894 4.45848203199e-103
after 1.40959917228e-102 9.98335661851e-103 1.60367307901e-102 6.59177736607e-103 8.36533006119e-103 8.53004986087e-103 0.00668900900166 7.56278456769e-103 4.91606935993e-103 7.9058968249e-103 5.39113543036e-103 1.30627700611e-102 1.02541055526e-102 7.8167288574e-103 7.29728044582e-103 5.29433051574e-103 3.75431273589e-102 5.95230775027e-103 9.63364296894e-103 4.45848203199e-103
again 1.40959917228e-102 9.98335734808e-103 1.60367307901e-102 6.59177736607e-103 0.00836533006119 8.53004986087e-103 6.68900900179e-103 7.56278456769e-103 0.00491606935993 7.84647533879e-41 5.39113543036e-103 1.30627700611e-102 8.96216914219e-103 7.81664439093e-103 7.29728044582e-103 5.29433051574e-103 1.06293429915e-79 5.95230775027e-103 9.63364296894e-103 4.45848203199e-103
against 1.40959917228e-102 9.98335661851e-103 1.60367307901e-102 6.59177736607e-103 8.36533006119e-103 8.53004986087e-103 6.68900900776e-103 7.56336784471e-103 4.91606935993e-103 7.73665863561e-103 0.0107822708607 1.58216367804e-29 8.96216914219e-103 7.81664439225e-103 7.29728044582e-103 5.29433051574e-103 3.69123398574e-102 5.95230775027e-103 9.63364296894e-103 4.45848203199e-103
age 0.0140959917228 9.98335661851e-103 1.64979365098e-67 6.59177736607e-103 8.36533006119e-103 8.53004986087e-103 6.68900900166e-103 7.56278456769e-103 4.91606935993e-103 2.3556396758e-89 5.39113543036e-103 1.30627700611e-102 0.00896216914219 4.34241741115e-91 7.29728044582e-103 5.29433051574e-103 3.69123398574e-102 5.95230775027e-103 9.63364296894e-103 4.45848203199e-103
