 0 1 2 3 4
abused 2.03952552396e-103 1.74002790684e-103 2.11664657776e-103 1.3717485447e-103 0.00311969218148
accessary 3.20057546395e-87 0.00174002790684 2.11670671784e-103 1.37274538105e-103 3.11969218148e-103
add 7.80163813142e-61 1.96282061159e-82 5.88262040735e-35 0.0013717485447 3.11969218516e-103
adjunct 9.68946674049e-60 0.00174002790684 2.11664746835e-103 3.04836234796e-37 2.25809211832e-71
admiring 2.03952552396e-103 1.74002790684e-103 2.41502880539e-62 0.0013717485447 3.11969222001e-103
advance 2.03952552396e-103 1.74002790684e-103 2.11664657776e-103 1.3717485447e-103 0.00311969218148
after 1.03992594103e-55 5.86354740824e-47 2.60730272153e-40 0.0013717485447 2.67105642732e-70
again 2.22355139256e-38 6.20232915898e-84 0.00211569242848 8.4998226628e-59 0.00312109848713
against 4.21354759924e-14 1.3762252091e-13 4.8745967892e-08 0.00274346549816 3.11995001243e-103
age 3.55735874867e-27 2.34322640184e-83 3.18768042451e-05 0.00272283848712 3.11969218342e-103
ah 3.10033542487e-75 0.00174002790684 2.11664658103e-103 1.3717485447e-103 3.11969218148e-103
alive 0.00203952552396 1.74002790684e-103 2.11664781779e-103 1.37174859622e-103 2.42887914158e-92
all 0.00815967525558 0.0190420462589 1.88067777387e-05 0.00965994038992 0.00313451301123
allege 6.24811932862e-40 1.74002790684e-103 2.11664658152e-103 0.0013717485447 6.16859728835e-82
alone 0.00222262958003 0.00148735685597 1.30095870295e-25 2.37731743163e-76 0.00953201090085
am 0.00871609170557 0.0030538637687 1.31316925378e-21 0.00407593965724 3.55961544025e-83
an 2.03952891846e-103 0.00348005581367 2.11664657776e-103 1.3717485447e-103 2.38126249217e-67
and 0.0931472968762 0.0501447323843 0.0130407061648 0.01282525405 1.19940645293e-58
angel 2.36180394559e-45 8.87206642979e-102 0.00211664657776 1.3717485447e-103 3.11969218148e-103
another 4.13696492026e-23 1.41161853572e-59 1.37657723779e-19 0.0013717485447 1.37275908648e-88
answer 5.27446700481e-56 0.00174002790684 1.68147268637e-97 1.61441693383e-20 6.05636047581e-62
any 0.0040790510477 1.8601571579e-13 9.45179323796e-100 6.22171774497e-81 3.11969218149e-103
